CO839_LIGHT 1 2 3 4 5
angle -0.012 1.763 -1.023 -0.661 2.357
whole 294.404 293.517 294.058 293.747 295.629
RPEtoOLM 69.734 69.437 70.467 70.364 69.535
RNFL 26.569 27.09 26.956 27.449 29.017
-3.75 1072.656 1032.852 1015.525 1278.9 970.668
-2.5 1262.825 1269.79 1218.717 1534.097 1208.434
-1.25 1812.261 1774.568 1686.79 2043.918 1752.424
0 2580.085 2495.202 2367.31 2738.879 2451.738
1.25 3196.205 3079.027 2890.572 3348.412 3014.328
2.5 3672.283 3509.375 3293.226 3798.981 3434.78
3.75 3931.736 3773.422 3513.831 4063.988 3633.075
5 4081.101 3954.231 3588.479 4243.46 3686.781
6.25 4078.776 4031.399 3573.74 4265.166 3692.892
7.5 3946.589 3905.607 3481.001 4110.103 3606.622
8.75 3657.433 3588.236 3217.059 3771.594 3354.907
10 3238.113 3119.714 2842.703 3351.24 2950.293
11.25 2924.142 2805.572 2567.913 3052.341 2685.216
12.5 2754.406 2607.859 2406.123 2872.327 2503.205
13.75 2694.323 2538.518 2334.406 2786.898 2416.828
15 2689.341 2543.069 2314.674 2778.343 2398.937
16.25 2699.218 2573.235 2324.507 2794.036 2414.922
17.5 2710.603 2593.194 2336.65 2804.501 2433.39
18.75 2720.717 2598.439 2352.879 2803.52 2435.223
20 2726.391 2580.292 2346.824 2783.474 2428.017
21.25 2719.638 2577.822 2328.118 2765.623 2431.327
22.5 2721.302 2572.437 2330.444 2764.293 2440.829
23.75 2727.405 2581.736 2338.493 2774.501 2462.164
25 2732.143 2592.965 2348.447 2797.433 2467.065
26.25 2738.641 2606.798 2361.383 2813.229 2471.808
27.5 2752.692 2637.092 2376.934 2830.418 2466.345
28.75 2770.195 2658.638 2400.553 2846.34 2469.567
30 2775.623 2660.612 2412.51 2865.009 2487.943
31.25 2783.062 2686.38 2414.329 2866.416 2494.479
32.5 2800.929 2686.233 2400.819 2859.968 2495.427
33.75 2776.906 2679.643 2362.191 2815.933 2469.251
35 2686.065 2600 2294.702 2741.177 2394.014
36.25 2569.727 2475.121 2191.216 2616.043 2285.171
37.5 2441.764 2350.216 2075.126 2485.738 2182.35
38.75 2289.004 2211.447 1939.687 2314.329 2049.904
40 2186.577 2113.995 1847.46 2200.519 1952.345
41.25 2146.04 2054.371 1803.292 2148.217 1906.777
42.5 2123.52 2020.88 1780.545 2134.758 1883.983
43.75 2116.448 2017.673 1779.384 2133.178 1886.818
45 2141.185 2047.665 1812.733 2165.168 1901.041
46.25 2197.11 2115.59 1873.568 2247.308 1938.357
47.5 2301.573 2204.292 1959.691 2346.121 2018.745
48.75 2400.612 2294.012 2021.973 2423.353 2106.983
50 2472.356 2364.848 2057.268 2465.303 2177.149
51.25 2516.633 2395.167 2071.26 2485.607 2218.9
52.5 2535.942 2402.442 2071.205 2480.787 2219.4
53.75 2514.033 2395.112 2064.995 2464.093 2182.462
55 2444.364 2329.661 2026.57 2423.81 2123.61
56.25 2314.831 2202.183 1926.615 2313.485 2005.996
57.5 2131.829 2024.216 1802.807 2148.445 1866.611
58.75 1967.698 1834.551 1695.256 2009.644 1705.745
60 1868.025 1734.979 1611.993 1909.311 1602.746
61.25 1808.849 1666.954 1543.163 1847.126 1551.164
62.5 1767.969 1638.703 1484.935 1794.178 1507.276
63.75 1733.307 1616.415 1439.685 1742.578 1480.956
65 1693.275 1598.648 1407.756 1706.506 1457.263
66.25 1669.25 1581.362 1379.736 1673.845 1436.711
67.5 1651.072 1573.105 1352.982 1647.977 1432.236
68.75 1638.962 1557.64 1331.432 1609.774 1431.113
70 1628.613 1543.162 1310.52 1599.313 1431.784
71.25 1620.062 1540.083 1296.249 1588.23 1430.058
72.5 1599.515 1534.968 1285.291 1580.124 1425.603
73.75 1600.578 1519.821 1280.564 1576.492 1413.408
75 1655.775 1575.375 1341.012 1645.446 1460.172
76.25 1843.879 1758.13 1494.474 1841.802 1634.548
77.5 1982.609 1872.924 1575.898 1926.292 1738.526
78.75 1924.474 1804.366 1514.165 1849.186 1693.497
80 1883.71 1772.745 1492.253 1834.323 1675.015
81.25 2210.537 2156.776 1839.637 2327.269 2045.42
82.5 3081.101 3047.705 2616.329 3319.436 2945.024
83.75 4019.458 3978.606 3364.197 4274.646 3897.246
85 4487.093 4362.082 3653.512 4553.067 4331.826
86.25 4267.784 4080.57 3380.476 4100.762 4050.881
87.5 3562.739 3431.715 2843.117 3400.847 3433.8
88.75 3183.793 3157.731 2579.585 3135.92 3003.579
90 3347.257 3343.043 2747.952 3355.404 3083.648
91.25 3684.435 3627.63 3015.3 3725.16 3457.435
92.5 4055.004 3905.901 3248.434 4034.889 3812.514
93.75 4230.74 4093.446 3383.749 4136.15 3949.658
95 4234.763 4145.99 3454.73 4120.906 3850.786
96.25 4276.749 4134.793 3506.649 4173.456 3774.811
97.5 4550.751 4266.021 3652.701 4471.88 3856.686
98.75 4826.492 4510.15 3894.334 4781.152 4082.212
100 4937.476 4638.31 3974.97 4871.793 4185.526
101.25 4761.133 4470.709 3797.113 4652.976 4002.289
102.5 4347.11 4063.457 3446.096 4240.387 3601.45
103.75 3787.882 3469.543 3015.558 3757.301 3108.4
105 3299.62 2964.345 2634.64 3343.402 2688.77
106.25 3015.01 2694.827 2373.369 3053.984 2414.288
107.5 2792.873 2480.359 2169.417 2803.334 2188.141
