YA315_LIGHT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle 1.488 -0.308 0.072 1.209 0.182 0.29 0.748 -0.323 0.464 1.216 -1.576 -1.195 -0.84 -1.217 -1.83
whole 326.703 325.422 326.724 325.883 325.953 326.038 326.261 326.238 326.4 327.329 327.036 326.898 325.765 325.92 325.686
RPEtoOLM 68.546 68.586 68.067 68.843 68.475 68.924 68.633 68.336 68.478 68.612 68.762 68.226 67.815 68.349 67.668
RNFL 31.717 30.678 32.288 32.762 32.54 31.337 31.79 30.391 31.689 32.306 32.034 31 31.608 31.854 31.516
-3.75 1240.548 1236.873 1202.081 993.943 1301.752 1390.491 1340.263 1106.135 1362.744 1276.845 1395.07 1170.119 1392.941 1511.229 1452.886
-2.5 1372.001 1350.32 1407.523 1179.409 1448.377 1547.214 1489.279 1247.403 1508.552 1443.577 1543.236 1293.229 1513.813 1655.365 1634.419
-1.25 1841.093 1774.328 1896.521 1647.637 1955.362 2030.419 1978.173 1687.077 1999.85 1910.628 2065.624 1702.616 1954.102 2119.011 2142.63
0 2611.7 2427.863 2645.837 2311.96 2750.688 2805.762 2768.959 2319.953 2815.356 2671.761 2877.951 2373.673 2683.382 2868.038 2954.907
1.25 3266.52 2960.557 3293.766 2929.803 3497.511 3460.704 3424.843 2870.033 3584.695 3387.086 3589.106 2941.824 3313.446 3561.134 3659.255
2.5 3639.482 3262.963 3721.491 3314.323 3891.733 3836.983 3826.856 3205.322 4037.815 3772.949 4036.293 3267.961 3652.776 3936.207 4110.146
3.75 3749.324 3382.822 3880.334 3417.041 3959.261 3940.407 3944.841 3347.109 4156.449 3855.885 4203.911 3385.344 3773.618 4060.24 4242.922
5 3726.856 3371.94 3874.534 3459.962 3957.425 3954.759 3963.248 3379.17 4180.597 3863.064 4240.428 3394.087 3776.037 4107.985 4264.892
6.25 3669.659 3313.428 3790.508 3443.92 3931.114 3909.523 3939.738 3331.852 4176.298 3830.975 4211.961 3344.61 3686.775 4072.586 4232.231
7.5 3545.881 3203.15 3662.323 3324.878 3822.847 3804.386 3820.565 3169.567 4027.69 3745.903 4052.957 3224.163 3516.308 3908.587 4059.398
8.75 3265.87 2963.79 3387.755 3070.89 3523.412 3491.268 3534.054 2914.626 3690.643 3437.899 3740.229 2966.967 3269.391 3568.605 3754.889
10 2855.3 2574 2933.94 2633.521 3014.483 3034.8 3008.765 2569.503 3185.903 2945.736 3253.556 2579.351 2847.971 3113.468 3241.15
11.25 2462.107 2213.379 2515.262 2240.574 2551.073 2605.67 2559.389 2210.311 2746.643 2522.019 2819.716 2210.987 2450.378 2679.047 2773.502
12.5 2281.817 2043.542 2338.29 2086.641 2385.895 2421.085 2388.385 2049.402 2551.306 2332.091 2636.637 2063.686 2265.787 2519.132 2563.938
