YA315_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
41.25 1518.311 1911.63 1543.48 1833.843 1958.302 1865.961 1971.561 2031.914 2032.934 2011.478 1950.827 1742.34 1904.886 2010.055 2213.532
42.5 1503.441 1896.819 1529.722 1821.674 1947.257 1845.686 1957.703 2014.913 2014.123 1992.725 1922.682 1729.57 1892.272 1992.898 2194.131
43.75 1507.584 1893.051 1511.789 1817.801 1944.666 1845.92 1955.269 2002.244 2011.268 2001.236 1921.534 1722.587 1884.56 1996.839 2190.171
45 1517.12 1897.304 1503.266 1825.75 1948.376 1852.821 1956.288 2000.467 2023.175 2013.477 1932.237 1727.957 1897.104 2010.33 2199.949
46.25 1535.274 1930.707 1529.799 1850.258 1975.578 1888.673 1986.445 2027.811 2057.274 2045.811 1977.085 1779.151 1958.517 2045.011 2270.81
47.5 1581.472 2015.547 1596.194 1912.004 2067.06 1967.603 2059.83 2104.406 2144.482 2136.763 2080.983 1889.165 2055.437 2134.587 2404.303
48.75 1654.343 2135.614 1682.42 2033.904 2185.641 2070.847 2180.604 2225.89 2255.797 2251.466 2189.842 1982.595 2160.922 2253.163 2522.254
50 1739.024 2243.677 1783.634 2141.687 2285.297 2174.088 2289.091 2336.681 2342.187 2348.877 2270.869 2046.647 2261.353 2345.37 2600.93
51.25 1813.361 2315.964 1839.93 2219.79 2369.675 2254.842 2359.905 2418.175 2426.391 2401.507 2313.775 2085.132 2300.513 2415.133 2625.855
52.5 1842.203 2329.156 1850.851 2248.784 2415.111 2282.984 2389.184 2450.446 2461.113 2438.352 2381.716 2170.773 2334.87 2458.053 2684.867
53.75 1821.643 2339.484 1850.958 2234.079 2403.181 2280.129 2377.524 2443.085 2460.885 2535.522 2524.023 2302.927 2421.202 2517.689 2799.33
55 1776.495 2328.081 1844.777 2236.737 2363.909 2261.308 2359.67 2407.174 2437.918 2595.231 2582.232 2324.641 2421.867 2524.116 2801.628
56.25 1688.662 2204.437 1756.216 2115.467 2249.748 2154.53 2246.116 2287.568 2316.081 2478.561 2470.967 2241.775 2294.99 2381.68 2649.054
57.5 1541.693 2032.86 1599.866 1914.032 2067.096 1958.417 2056.416 2097.794 2115.795 2297.914 2325.624 2128.073 2151.278 2205.118 2450.415
58.75 1417.079 1893.365 1477.86 1778.231 1929.052 1794.914 1914.542 1955.635 1960.925 2188.659 2220.504 2052.691 2033.091 2082.524 2303.743
60 1349.233 1775.45 1403.633 1697.92 1833.623 1709.775 1830.37 1846.708 1866.242 2076.062 2116.022 1964.197 1918.214 1977.958 2192.359
61.25 1299.927 1693.531 1342.562 1636.941 1762.265 1661.991 1761.436 1773.869 1797.138 1986.911 2024.96 1867.178 1827.167 1903.436 2099.073
62.5 1262.136 1636.779 1292.483 1591.813 1703.581 1619.687 1713.01 1724.584 1745.501 1911.327 1943.014 1785.24 1766.742 1836.063 2016.216
63.75 1233.216 1585.293 1259.65 1545.568 1659.565 1588.255 1668.955 1680.442 1696.199 1831.029 1868.792 1715.183 1710.727 1779.23 1949.475
65 1210.264 1550.986 1228.65 1506.714 1619.217 1559.414 1640.497 1646.177 1661.188 1756.287 1771.235 1639.386 1644.157 1725.306 1891.757
66.25 1203.078 1522.889 1209.087 1483.255 1586.199 1536.977 1617.322 1615.152 1647.257 1673.034 1682.062 1553.588 1598.145 1674.752 1833.093
67.5 1202.024 1503.116 1201.328 1469.784 1568.353 1519.204 1600.307 1605.333 1625.723 1615.222 1600.373 1476.468 1555.326 1636.466 1772.245
68.75 1200.216 1484.23 1191.295 1455.665 1550.252 1509.302 1583.292 1595.991 1609.497 1576.031 1531.585 1400.24 1513.197 1605.092 1717.317
70 1195.503 1464.175 1178.392 1444.03 1534.083 1492.524 1562.424 1575.301 1591.224 1525.604 1476.004 1335.294 1470.939 1578.526 1672.272
