YA315_DARK-dim 1 2 3 4 5
angle -1.661 -0.185 0.789 2.378 -3.109
whole 325.739 325.508 326.126 325.901 326.138
RPEtoOLM 67.061 67.266 67.373 66.508 66.269
RNFL 29.583 30.131 29.7 29.927 30.911
-3.75 1406.074 1279.656 1462.847 1419.206 1266.613
-2.5 1548.447 1425.37 1643.53 1629.752 1429.865
-1.25 2016.708 1894.532 2169.389 2199.795 1927.025
0 2804.811 2676.397 3033.047 3089.031 2743.542
1.25 3476.761 3395.198 3708.078 3850.118 3573.096
2.5 3870.12 3826.034 4200.147 4279.543 4040.644
3.75 4018.413 4029.927 4423.74 4522.639 4255.629
5 4055.561 4087.509 4539.905 4583.832 4326.241
6.25 3990.694 4015.116 4551.898 4539.513 4305.696
7.5 3830.809 3855.754 4329.364 4343.555 4129.029
8.75 3546.799 3569.153 3959.822 3954.607 3814.63
10 3125.048 3077.219 3413.104 3386.194 3336.959
11.25 2706.249 2674.171 2939.821 2898.616 2902.789
12.5 2537.848 2529.142 2747.435 2715.884 2738.012
13.75 2464.385 2479.973 2670.403 2674.555 2679.82
15 2451.176 2472.035 2650.714 2654.593 2669.24
16.25 2465.187 2483.166 2652.227 2640.695 2662.535
17.5 2465.103 2486.647 2655.824 2644.053 2669.263
18.75 2470.237 2498.963 2660.641 2662.084 2686.325
20 2465.201 2517.04 2669.855 2678.444 2698.646
21.25 2476.744 2533.39 2688.269 2674.988 2722.33
22.5 2483.204 2534.256 2699.043 2683.979 2710.971
23.75 2494.646 2534.837 2698.536 2705.35 2698.921
25 2536.504 2576.189 2744.354 2726.484 2760.136
26.25 2570.009 2624.101 2785.397 2746.945 2807.722
27.5 2572.424 2606.91 2796.293 2758.776 2803.076
28.75 2595.302 2600.634 2817.747 2776.318 2794.623
30 2622.085 2631.98 2812.471 2814.722 2812.082
31.25 2610.245 2627.373 2808.518 2792.601 2784.244
32.5 2591.699 2633.646 2801.399 2748.553 2742.921
33.75 2595.26 2638.206 2812.527 2741.991 2752.192
35 2580.838 2638.489 2809.439 2746.393 2744.271
36.25 2447.783 2522.975 2684.881 2621.458 2615.027
37.5 2255.815 2312.116 2467.657 2406.312 2408.21
38.75 2082.636 2135.516 2249.03 2242.233 2220.39
40 1975.084 2037.44 2132.216 2132.621 2105.789
41.25 1918.426 1993.52 2083.385 2069.022 2067.529
42.5 1907.476 1983.348 2077.872 2048.681 2065.438
43.75 1918.47 1981.936 2090.585 2050.602 2065.92
45 1939.513 1989.499 2092.859 2072.215 2081.503
46.25 1991.189 2031.856 2121.979 2116.41 2158.445
47.5 2086.533 2128.644 2202.703 2186.796 2273.973
48.75 2193.393 2242.789 2308.662 2279.753 2389.419
50 2284.413 2330.52 2424.99 2380.508 2478.335
51.25 2338.38 2385.15 2496.093 2483.271 2516.078
52.5 2369.522 2428.755 2529.371 2533.683 2550.359
53.75 2427.075 2460.983 2544.049 2497.964 2636.091
55 2423.167 2452.916 2524.835 2435.999 2622.018
56.25 2283.557 2320.335 2386.324 2304.565 2482.301
57.5 2093.46 2119.512 2160.593 2088.61 2298.304
58.75 1962.883 1969.35 1980.879 1910.379 2171.724
60 1867.854 1880.024 1887.934 1816.265 2068.767
61.25 1799.97 1811.366 1830.864 1739.429 1980.205
62.5 1750.551 1756.573 1767.838 1699.362 1913.436
63.75 1698.207 1695.059 1728.121 1679.733 1850.073
65 1643.831 1654.719 1690.735 1660.7 1790.207
66.25 1596.101 1632.834 1662.037 1646.704 1708.115
67.5 1559.109 1609.343 1642.998 1632.581 1642.793
68.75 1523.533 1593.309 1617.802 1620.108 1588.169
70 1496.597 1564.29 1596.739 1600.894 1564.083
71.25 1475.46 1542.022 1580.943 1578.835 1544.527
72.5 1465.269 1528.615 1567.078 1554.974 1537.53
73.75 1477.844 1540.195 1587.438 1570.376 1572.167
75 1553.038 1620.821 1679.869 1647.941 1665.242
76.25 1667.371 1746.422 1780.625 1758.664 1755.45
77.5 1701.994 1788.622 1824.884 1793.123 1784.352
78.75 1678.672 1759.782 1795.282 1783.828 1776.577
80 1669.016 1746.354 1778.79 1819.265 1825.898
81.25 1892.554 1922.827 2011.382 2127.446 2119.252
82.5 2572.732 2631.296 2854.022 2908.114 2843.405
83.75 3519.045 3631.534 3912.913 3863.995 3675.743
85 4198.6 4434.341 4561.117 4411.7 4139.148
86.25 4189.438 4562.357 4452.293 4310.176 3975.948
87.5 3607.54 3990.216 3735.901 3651.664 3364.604
88.75 2853.17 3213.986 2987.61 2911.251 2726.799
90 2514.058 2740.264 2704.682 2600.034 2440.815
91.25 2636.127 2847.877 2850.617 2690.052 2510.535
92.5 2877.239 3158.322 3112.972 2890.57 2734.052
93.75 3085.478 3415.123 3337.818 3117.175 3056.408
95 3313.841 3569.559 3583.072 3465.221 3391.479
96.25 3579.218 3722.366 3904.638 3825.578 3658.939
97.5 3833.864 4016.178 4215.578 4156.933 3914.947
98.75 4084.281 4253.487 4457.753 4425.994 4167.946
100 4186.276 4361.947 4550.258 4565.628 4226.003
101.25 4103.962 4300.93 4448.967 4499.541 4087.37
102.5 3864.858 4070.332 4189.642 4237.617 3805.742
103.75 3461.526 3636.865 3710.979 3777.72 3367.165
105 3090.548 3253.624 3314.236 3357.894 3002.221
106.25 2913.836 3093.384 3139.556 3145.604 2841.413
107.5 2802.074 2969.64 2980.26 2985.893 2717.722
