AD620_DARK 1 2 3 4 5
angle -6.323 -4.109 -1.8 -1.651 -5.428
whole 318.31 319.519 317.862 317.933 318.402
RPEtoOLM 66.791 66.838 66.689 67.265 66.903
RNFL 37.021 36.886 36.793 36.348 36.77
-3.75 622.934 740.465 525.749 587.572 564.824
-2.5 723.63 1021.499 756.364 854.99 808.75
-1.25 1265.486 1650.134 1340.698 1447.191 1396.293
0 1924.24 2334.221 2035.971 2092.691 2004.385
1.25 2567.369 3122.797 2767.007 2828.183 2622.621
2.5 3008.614 3611.845 3238.492 3318.392 3090.225
3.75 3219.582 3849.862 3471.697 3535.015 3316.309
5 3320.537 3974.081 3593.597 3625.39 3430.57
6.25 3360.916 4001.719 3620.419 3658.522 3488.405
7.5 3321.984 3934.905 3579.862 3629.404 3471.569
8.75 3200.026 3730.526 3391.936 3423.684 3336.041
10 2950.462 3341.113 3008.928 3026.9 3058.313
11.25 2761.813 3068.048 2739.497 2745.564 2848.598
12.5 2662.548 2949.428 2604.993 2617.455 2750.117
13.75 2605.609 2895.608 2536.065 2557.369 2685.804
15 2592.357 2874.181 2507.502 2534.405 2686.055
16.25 2617.531 2890.882 2519.358 2546.175 2706.204
17.5 2647.563 2937.34 2549.984 2574.429 2721.82
18.75 2659.362 2958.142 2574.717 2590.434 2735.315
20 2684.928 2972.809 2594.895 2606.08 2724.807
21.25 2705.29 2988.139 2626.879 2627.256 2710.515
22.5 2694.374 2972.224 2624.971 2622.748 2713.505
23.75 2667.556 2937.087 2599.112 2586.459 2705.039
25 2656.124 2950.842 2601.292 2580.576 2690.301
26.25 2690.97 2969.076 2633.673 2602.38 2717.376
27.5 2723.287 2980.488 2653.028 2631.91 2751.508
28.75 2704.743 2975.753 2641.59 2643.645 2755.018
30 2690.374 3004.018 2656.871 2668.249 2769.77
31.25 2726.533 3031.941 2693.419 2675.584 2815.305
32.5 2768.457 3045.523 2693.442 2684.917 2822.823
33.75 2777.67 3041.897 2685.697 2687.921 2824.582
35 2736.532 2993.784 2651.327 2649.766 2788.458
36.25 2618.967 2852.645 2536.897 2531.852 2666.997
37.5 2437.529 2654.287 2356.875 2370.174 2481.956
38.75 2257.962 2448.294 2169.432 2185.101 2299.898
40 2148.489 2327.828 2050.444 2066.24 2180.072
41.25 2101.073 2278.089 2005.675 2021.215 2138.958
42.5 2087.869 2263.265 2021.005 2024.372 2131.561
43.75 2100.21 2276.902 2045.782 2052.396 2135.457
45 2141.61 2315.787 2068.087 2092.31 2168.47
46.25 2211.195 2401.955 2123.129 2148.93 2230.416
47.5 2301.937 2514.924 2226.622 2238.227 2326.399
48.75 2394.516 2631.603 2336.079 2353.839 2422.115
50 2464.622 2702.879 2421.761 2437.158 2471.941
51.25 2511.884 2744.433 2489.759 2483.694 2526.215
52.5 2575.884 2804.903 2514.733 2490.949 2618.21
53.75 2616.898 2848.42 2506.348 2484.223 2701.449
55 2644.976 2828.375 2461.351 2446.949 2712.089
56.25 2610.957 2732.156 2357.597 2351.371 2651.951
57.5 2495.822 2578.83 2199.205 2195.482 2553.914
58.75 2427.794 2479.902 2095.762 2072.541 2481.552
60 2369.646 2392.241 2013.589 1986.853 2387.648
61.25 2316.986 2317.064 1937.841 1911.463 2326.141
62.5 2270.045 2242.577 1879.672 1855.236 2271.154
63.75 2197.942 2150.944 1819.074 1796.379 2230.47
65 2127.901 2072.221 1769.912 1758.671 2167.056
66.25 2044.904 2005.604 1722.961 1726.327 2060.261
67.5 1938.931 1933.642 1685.99 1691.776 1942.844
68.75 1826.67 1858.466 1659.074 1652.783 1818.183
70 1721.956 1803.498 1638.709 1627.842 1712.754
71.25 1671.93 1792.034 1638.885 1632.132 1673.709
72.5 1690.435 1844.017 1672.902 1675.537 1694.198
73.75 1761.737 1941.613 1750.982 1760.102 1752.558
75 1887.414 2083.133 1907.052 1910.084 1881.486
76.25 2022.349 2224.565 2078.802 2079.352 2016.135
77.5 2086.327 2281.728 2154.616 2158.388 2085.447
78.75 2047.073 2221.534 2100.968 2096.3 2048.994
80 1955.056 2149.506 1993.27 1993.66 1961.716
81.25 2020.849 2328.536 2103.661 2122.444 2007.759
82.5 2424.047 2999.778 2780.045 2780.282 2406.042
83.75 3012.306 3864.168 3717.557 3735.379 3052.433
85 3433.527 4433.678 4361.892 4460.912 3541.266
86.25 3456.341 4460.289 4464.108 4642.742 3600.607
87.5 3145.683 4087.16 4090.127 4303.194 3316.19
88.75 2782.311 3722.409 3699.331 3865.278 2987.539
90 2598.246 3565.043 3626.041 3761.466 2813.114
91.25 2612.971 3526.89 3686.344 3848.853 2803.344
92.5 2802.059 3591.938 3730.062 3877.637 2949.351
93.75 3080.127 3745.356 3786.646 3879.988 3169.412
95 3359.783 3944.801 3852.057 3884.966 3419.503
96.25 3663.833 4211.416 3946.708 3977.113 3730.732
97.5 4017.819 4530.918 4218.032 4229.817 4096.347
98.75 4283.668 4788.455 4496.212 4480.218 4362.791
100 4328.504 4820.572 4625.617 4528.121 4382.988
101.25 4142.166 4617.662 4541.719 4380.105 4199.566
102.5 3760.45 4229.55 4227.04 4020.653 3846.783
103.75 3280.201 3733.314 3757.745 3517.519 3379.793
105 2880.184 3268.269 3297.075 3052.859 2971.45
106.25 2637.431 2976.636 2971.474 2764.601 2706.087
107.5 2466.024 2792.187 2749.937 2573.164 2520.544
