AD807_LIGHT 1 2 3 4 5
angle 4.176 3.117 3.028 3.06 2.976
whole 350.655 349.285 351.456 352.241 350.885
RPEtoOLM 65.728 66.009 65.478 65.479 65.144
RNFL 34.374 34.192 35.565 35.314 33.898
-3.75 536.289 488.293 432.342 545.027 452.275
-2.5 605.071 626.034 502.294 575.675 515.441
-1.25 1169.467 1063.707 1058.702 1012.655 936.849
0 2045.478 1959.185 1938.913 1820.854 1693.826
1.25 2942.572 2788.912 2761.304 2513.349 2380.741
2.5 3170.729 3071.329 3025.314 2816.618 2676.916
3.75 3331.406 3258.884 3180.56 3010.309 2885.5
5 3453.927 3331.116 3277.223 3121.289 3005.216
6.25 3436.61 3351.45 3271.63 3068.13 2964.735
7.5 3323.58 3232.644 3186.45 2966.787 2794.089
8.75 3108.607 3034.113 2977.044 2710.988 2581.665
10 2719.588 2624.993 2611.279 2382.888 2254.845
11.25 2398.934 2347.534 2339.493 2123.296 2007.613
12.5 2334.947 2307.647 2268.146 2051.211 1940.73
13.75 2284.653 2287.175 2219.787 2034.285 1910.691
15 2236.797 2232.279 2161.21 2018.841 1896.421
16.25 2172.923 2131.415 2087.087 1987.619 1825.069
17.5 2137.532 2095.746 2034.756 1945.824 1790.409
18.75 2100.299 2084.549 2009.227 1919.714 1759.18
20 2069.556 2042.57 1995.595 1884.943 1745.303
21.25 2059.672 2025.67 1984.731 1881.936 1735.209
22.5 2089.681 2031.835 2009.996 1890.599 1743.307
23.75 2110.558 2047.608 2016.801 1907.293 1744.701
25 2096.995 2045.954 2021.713 1911.134 1726.19
26.25 2093.777 2060.046 2026.536 1888.308 1730.412
27.5 2095.932 2056.763 2044.804 1892.897 1736.73
28.75 2107.459 2063.696 2056.527 1910.935 1748.889
30 2119.974 2062.956 2070.281 1919.238 1764.09
31.25 2114.553 2068.274 2062.744 1922.933 1780.948
32.5 2126.638 2080.19 2066.253 1960.039 1790.002
33.75 2139.083 2096.502 2083.364 1962.529 1772.902
35 2111.618 2084.526 2066.837 1933.586 1745.308
36.25 2026.416 2004.021 1975.73 1855.772 1687.397
37.5 1895.261 1860.861 1851.575 1719.738 1567.254
38.75 1775.468 1757.664 1740.194 1607.076 1459.608
40 1695.254 1686.06 1661.024 1530.232 1385.722
41.25 1656.104 1631.929 1625.685 1502.329 1361.914
42.5 1643.249 1616.518 1615.177 1491.309 1358.567
43.75 1643.94 1618.411 1623.351 1499.046 1362.765
45 1658.423 1618.635 1627.252 1519.439 1371.84
46.25 1702.219 1629.452 1648.504 1560.74 1400.96
47.5 1761.344 1662.643 1701.539 1602.7 1452.674
48.75 1804.213 1707.114 1753.098 1653.659 1501.195
50 1839.258 1775.599 1799.765 1686.305 1519.02
51.25 1882.386 1840.963 1843.566 1718.112 1549.789
52.5 1920.773 1890.028 1877.045 1751.89 1582.947
53.75 1924.329 1900.122 1875.273 1748.888 1579.891
55 1882.7 1854.257 1826.522 1699.988 1557.727
56.25 1777.308 1736.726 1727.143 1611.622 1476.601
57.5 1617.867 1584.051 1588.007 1482.365 1327.34
58.75 1475.299 1434.116 1434.471 1348.475 1199.821
60 1388.639 1335.36 1343.428 1258.111 1127.975
61.25 1337.885 1270.667 1285.595 1212.839 1088.395
62.5 1299.783 1262.308 1264.714 1189.167 1063.128
63.75 1281.121 1240.07 1263.316 1152.794 1051.866
65 1271.917 1238.046 1240.12 1129.507 1035.508
66.25 1260.45 1223.516 1242.55 1159.725 1022.571
67.5 1258.229 1188.685 1242.78 1139.786 1017.202
68.75 1268.362 1203.318 1239.233 1137.367 1025.985
70 1279.866 1209.595 1266.999 1153.206 1020.162
71.25 1278.207 1206.905 1274.947 1124.681 994.74
72.5 1256.199 1213.106 1263.037 1120.018 976.237
73.75 1276.05 1229.343 1276.312 1144.106 991.017
75 1422.406 1343.418 1397.875 1254.962 1126.419
76.25 1671.914 1585.36 1636.622 1507.346 1335.449
77.5 1795.71 1715.945 1764.762 1630.706 1456.874
78.75 1716.669 1646.154 1705.522 1575.47 1398.56
80 1608.579 1520.139 1595.913 1457.117 1295.038
81.25 1788.306 1637.943 1711.898 1572.549 1430.744
82.5 2439.256 2258.2 2317.56 2112.047 1903.36
83.75 3182.374 3050.87 3001.257 2833.711 2544.366
85 3657.358 3573.671 3501.102 3330.859 2949.841
86.25 3619.418 3567.08 3501.061 3339.073 2968.874
87.5 3212.9 3122.943 3147.081 2961.813 2642.557
88.75 2822.416 2702.762 2755.653 2587.958 2286.131
90 2775.831 2683.257 2689.096 2527.492 2226.748
91.25 2976.94 2944.231 2860.404 2698.379 2389.309
92.5 3209.087 3204.436 3085.51 2940.678 2597.591
93.75 3348.055 3294.949 3224.176 3088.482 2729.584
95 3379.6 3254.544 3266.813 3139.669 2799.295
96.25 3394.548 3273.279 3314.737 3169.942 2814.747
97.5 3583.639 3480.247 3543.553 3360.909 2955.777
98.75 3831.681 3731.802 3799.596 3586.097 3143.834
100 3964.006 3887.396 3941.467 3675.359 3216.15
101.25 3824.772 3782.012 3829.419 3552.902 3113.385
102.5 3514.888 3497.818 3560.359 3288.385 2890.635
103.75 3127.776 3125.329 3190.295 2948.743 2591.224
105 2785.212 2789.315 2828.909 2648.532 2289.54
106.25 2566.85 2559.054 2611.999 2445.949 2102.817
107.5 2408.578 2392.929 2461.247 2290.261 1979.09
