AD807_DARK 1 2 3 4 5
angle 1.309 2.109 4.568 3.868 3.106
whole 350.823 350.768 351.384 350.252 353.602
RPEtoOLM 66.039 65.97 65.65 65.244 66.137
RNFL 34.414 35.399 35.212 35.784 36.213
-3.75 354.924 527.48 582.114 494.96 423.339
-2.5 536.373 674.109 585.101 547.523 621.171
-1.25 1206.132 1297.799 1239.122 1101.573 1298.703
0 2116.433 2188.225 2204.777 2098.716 2263.616
1.25 3011.843 3011.793 3130.216 3000.606 3184.703
2.5 3412.09 3368.194 3484.483 3373.619 3489.217
3.75 3647.943 3604.13 3762.454 3628.656 3745.143
5 3816.346 3765.929 3824.108 3695.827 3844.274
6.25 3802.51 3697.486 3840.309 3646.054 3795.286
7.5 3607.827 3575.014 3734.533 3588.899 3681.915
8.75 3309.26 3239.388 3479.514 3338.674 3412.311
10 2899.93 2874.787 3033.078 2889.635 2964.112
11.25 2526.704 2553.716 2703.407 2581.482 2687.305
12.5 2481.549 2479.053 2650.233 2547.672 2622.654
13.75 2448.024 2450.373 2647.048 2527.762 2571.139
15 2408.223 2414.603 2618.598 2489.718 2542.86
16.25 2392.602 2390.642 2561.538 2458.39 2495.138
17.5 2346.586 2361.964 2500.29 2408.698 2431.851
18.75 2317.099 2309.941 2470.044 2376.223 2396.038
20 2289.404 2270.569 2454.005 2327.466 2365.158
21.25 2270.799 2261.544 2433.611 2319.223 2350.157
22.5 2283.962 2273.515 2453.568 2351.624 2350.151
23.75 2305.628 2291.826 2483.519 2371.765 2368.944
25 2293.533 2289.941 2480.413 2368.9 2377.377
26.25 2285.757 2276.219 2458.356 2363.534 2360.471
27.5 2282.754 2291.384 2464.529 2348.901 2357.045
28.75 2291.02 2313.413 2484.965 2362.9 2385.016
30 2294.599 2320.149 2497.168 2391.006 2410.679
31.25 2304.207 2314.02 2483.809 2400.565 2393.163
32.5 2339.763 2336.034 2520.378 2402.855 2406.468
33.75 2348.108 2343.051 2518.183 2379.807 2411.908
35 2298.179 2303.891 2450.791 2350.961 2396.254
36.25 2218.149 2224.839 2365.02 2258.95 2288.92
37.5 2064.329 2069.456 2215.951 2110.399 2122.12
38.75 1922.55 1926.192 2069.332 1963.746 1993.952
40 1827.429 1842.419 1979.528 1880.072 1905.276
41.25 1793.378 1793.835 1949.328 1846.489 1866.36
42.5 1775.229 1777.827 1929.612 1821.047 1846.779
43.75 1763.869 1777.004 1906.416 1823.433 1845.408
45 1777.386 1785.962 1915.598 1834.921 1860.609
46.25 1825.918 1819.468 1957.321 1881.64 1898.54
47.5 1892.803 1880.588 2025.728 1940.517 1959.569
48.75 1941.406 1933.47 2095.653 1996.689 2017.72
50 1987.351 1979.318 2128.119 2031.624 2064.202
51.25 2049.179 2036.118 2162.083 2084.298 2127.354
52.5 2087.912 2070.043 2215.592 2145.74 2190.426
53.75 2074.604 2070.265 2242.962 2159.903 2194.274
55 2030.991 2040.037 2188.456 2105.273 2131.773
56.25 1945.948 1946.842 2049.041 1986.8 2005.459
57.5 1800.655 1785.612 1863.363 1818.98 1819.694
58.75 1656.941 1644.547 1682.203 1639.017 1641.767
60 1557.96 1543.764 1590.897 1537.507 1542.001
61.25 1493.654 1473.762 1530.67 1483.025 1488.318
62.5 1451.639 1422.07 1491.428 1439.887 1455.034
63.75 1417.003 1383.744 1459.974 1424.919 1430.388
65 1386.887 1362.728 1446.234 1415.089 1412.332
66.25 1380.691 1351.873 1430.906 1419.73 1406.861
67.5 1371.351 1351.61 1432.646 1422.803 1409.006
68.75 1372.43 1366.902 1452.133 1409.021 1422.198
70 1381.549 1373.071 1455.922 1412.435 1425.359
71.25 1373.211 1365.708 1457.848 1394.088 1418.729
72.5 1355.038 1349.37 1453.013 1388.743 1419.744
73.75 1363.654 1353.009 1474.658 1424.13 1427.309
75 1484.143 1488.574 1621.361 1565.495 1561.07
76.25 1787.346 1770.234 1892.146 1833.549 1841.339
77.5 1921.199 1904.819 2035.301 1984.362 1984.436
78.75 1837.942 1840.329 1954.818 1906.245 1907.539
80 1703.183 1718.985 1802.183 1770.483 1761.512
81.25 1819.719 1880.855 1898.923 1887.502 1900.573
82.5 2431.556 2558.547 2489.318 2442.088 2540.23
83.75 3321.869 3376.998 3295.883 3188.155 3333.405
85 3931.8 3900.668 3818.043 3670.017 3792.915
86.25 3983.15 3905.313 3815.697 3655.625 3766.525
87.5 3511.359 3479.941 3418.422 3282.992 3366.072
88.75 3049.764 3019.399 3018.95 2922.392 2981.62
90 3018.903 2974.492 3001.217 2904.704 2943.258
91.25 3270.309 3240.291 3208.113 3100.991 3165.534
92.5 3628.879 3527.206 3437.496 3321.752 3410.501
93.75 3811.681 3650.335 3601.018 3496.086 3572.032
95 3737.686 3634.134 3717.677 3619.82 3652.043
96.25 3639.218 3613.783 3867.233 3746.953 3778.034
97.5 3751.972 3781.557 4147.295 3993.604 4041.284
98.75 3950.147 3986.78 4405.129 4251.059 4272.223
100 4046.49 4089.472 4513.566 4353.802 4324.69
101.25 3888.579 3964.056 4326.599 4189.626 4129.531
102.5 3564.853 3629.815 3961.306 3842.662 3772.129
103.75 3163.494 3206.672 3516.876 3417.895 3362.267
105 2755.124 2815.787 3111.165 3025.69 2990.333
106.25 2502.654 2567.581 2860.63 2771.168 2754.808
107.5 2364.186 2407.486 2685.328 2591.994 2593.124
