YA604_DARK-dim 1 2 3 4 5
angle -1.879 0.558 -1.243 -1.015 -0.31
whole 332.812 332.819 332.695 333.979 331.414
RPEtoOLM 71.368 71.058 70.922 71.915 70.935
RNFL 34.005 35.101 33.057 33.186 32.118
-3.75 1028.666 1414.736 1611.037 1601.168 1893.3
-2.5 1213.277 1554.476 1746.149 1756.246 2052.725
-1.25 1618.61 2049.531 2153.554 2237.608 2521.251
0 2186.29 2710.435 2788.807 3002.859 3235.908
1.25 2743.264 3316.756 3318.813 3658.713 3831.637
2.5 3055.211 3616.156 3585.868 3973.841 4145.937
3.75 3225.513 3801.946 3708.869 4121.609 4271.67
5 3314.201 3895.363 3767.846 4152.122 4328.724
6.25 3322.625 3886.468 3735.892 4142.701 4283.706
7.5 3202.121 3763.146 3603.185 4035.285 4092.658
8.75 2967.913 3519.935 3374.574 3730.146 3857.225
10 2626.144 3068.363 2990.789 3288.859 3432.774
11.25 2319.404 2690.673 2655.306 2908.657 3051.589
12.5 2194.076 2510.49 2510.036 2737.303 2880.057
13.75 2138.033 2443.174 2467.036 2670.617 2820.62
15 2115.177 2426.167 2445.733 2661.775 2800.747
16.25 2110.277 2428.397 2438.361 2660.202 2786.916
17.5 2121.12 2436.839 2444.316 2667.172 2788.637
18.75 2119.445 2451.509 2445.083 2673.182 2787.127
20 2116.879 2462.472 2459.829 2687.097 2802.625
21.25 2132.225 2470.151 2478.847 2706.906 2830.28
22.5 2140.203 2476.336 2484.434 2686.025 2833.665
23.75 2139.105 2487.715 2491.06 2699.523 2858.102
25 2154.152 2513.811 2528.441 2709.925 2892.139
26.25 2183.507 2542.56 2564.095 2734.771 2917.143
27.5 2175.461 2548.387 2550.168 2745.99 2899.858
28.75 2165.985 2542.67 2539.859 2764.666 2878.367
30 2193.565 2565.576 2558.732 2806.038 2904.619
31.25 2199.083 2569.911 2572.33 2845.429 2934.881
32.5 2196.465 2553.814 2562.314 2822.41 2935.58
33.75 2192.077 2552.252 2559.476 2782.309 2925.515
35 2170.565 2519.057 2529.458 2731.697 2889.281
36.25 2073.924 2407.362 2401.699 2599.365 2760.233
37.5 1913.643 2242.355 2234.964 2418.55 2556.531
38.75 1759.88 2084.869 2073.596 2245.984 2373.85
40 1667.527 1978.43 1975.678 2146.155 2265.826
41.25 1635.471 1927.234 1933.401 2105.948 2219.046
42.5 1628.834 1915.375 1918.566 2094.164 2194.258
43.75 1630.208 1915.066 1914.572 2082.789 2190.847
45 1652.408 1934.437 1927.684 2112.079 2207.913
46.25 1712.374 1988.016 1983.855 2180.057 2257.333
47.5 1814.545 2068.491 2091.434 2274.379 2361.752
48.75 1889.503 2152.054 2200.921 2386.657 2474.921
50 1941.745 2231.663 2259.306 2453.5 2553.948
51.25 1967.109 2271.017 2285.857 2479.673 2594.262
52.5 1994.177 2280.378 2310.491 2509.829 2628.882
53.75 2011.8 2270.807 2322.398 2546.235 2643.679
55 1941.636 2198.807 2258.963 2474.62 2570.149
56.25 1836.441 2061.122 2138.743 2317.076 2425.962
57.5 1736.423 1923.649 2002.72 2168.604 2267.606
58.75 1658.389 1814.384 1904.451 2062.097 2146.266
60 1572.747 1730.377 1819.885 1975.946 2047.262
61.25 1496.967 1665.326 1753.535 1915.301 1971.561
62.5 1436.275 1612.221 1697.68 1859.782 1919.262
63.75 1396.991 1565.179 1643.804 1805.935 1871.148
65 1355.825 1530.818 1605.495 1753.067 1830.504
66.25 1312.448 1508.103 1564.986 1713.47 1806.02
67.5 1275.609 1486.227 1511.182 1679.416 1772.226
68.75 1252.264 1469.33 1478.943 1665.423 1743.001
70 1231.844 1453.937 1460.906 1646.816 1726.265
71.25 1210.795 1450.556 1458.369 1625.124 1705.741
72.5 1203.667 1434.309 1452.377 1607.638 1695.46
73.75 1208.378 1414.466 1454.547 1598.421 1695.662
75 1269.706 1452.406 1508.491 1665.499 1764.229
76.25 1378.219 1600.429 1629.672 1779.93 1897.235
77.5 1427.444 1687.394 1694.846 1835.726 1948.338
78.75 1377.813 1629.539 1646.797 1789.152 1896.934
80 1315.125 1560.013 1570.791 1714.057 1844.916
81.25 1445.632 1662.673 1676.117 1825.57 2029.373
82.5 1974.19 2382.492 2275.604 2386.845 2788.444
83.75 2819.407 3488.25 3275.912 3292.679 3838.9
85 3377.365 4392.371 4052.036 3932.887 4458.55
86.25 3359.243 4560.139 4167.531 3951.525 4339.783
87.5 2837.263 3985.382 3613.128 3385.793 3661.424
88.75 2325.648 3169.937 2894.873 2788.516 3045.522
90 2253.378 2980.754 2755.434 2665.281 3010.265
91.25 2489.874 3467.981 3027.469 2868.562 3302.352
92.5 2749.232 3987.52 3369.274 3137.933 3624.549
93.75 2904.626 4172.796 3600.202 3410.469 3829.421
95 2946.24 4005.097 3627.91 3628.588 3950.617
96.25 3068.699 3801.989 3645.843 3890.874 4144.616
97.5 3358.477 3902.483 3905.725 4246.177 4527.478
98.75 3557.254 4120.656 4181.229 4501.798 4795.846
100 3561.246 4248.395 4261.204 4557.964 4818.737
101.25 3425.276 4196.623 4160.882 4447.727 4661.697
102.5 3198.937 3978.988 3951.968 4217.485 4367.231
103.75 2908.692 3665.831 3610.939 3853.061 3988.509
105 2657.345 3340.84 3278.495 3534.881 3668.799
106.25 2465.25 3113.26 3044.543 3293.179 3423.541
107.5 2283.027 2915.505 2836.898 3055.575 3181.619
