YA604_LIGHT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle -2.519 -1.936 -0.631 -0.979 -0.411 -1.885 -0.691 -1.447 -0.953 -1.478 -1.15 -3.225 -1.808 -0.868 -1.464
41.25 1532.254 1645.658 1670.537 1488.044 1615.072 1817.862 2167.673 2050.886 1977.135 2031.187 2253.212 1749.859 1763.724 1865.389 1748.896
42.5 1523.647 1643.319 1654.502 1469.169 1608.791 1809.552 2158.725 2033.134 1971.375 2019.721 2241.179 1733.952 1762.826 1850.716 1727.339
43.75 1519.4 1648.73 1653.583 1463.42 1609.563 1817.417 2161.211 2044.476 1976.954 2025.446 2240.754 1739.881 1777.472 1850.03 1736.27
45 1544.7 1652.737 1667.392 1475.911 1610.214 1828.655 2184.405 2075.549 1985.603 2033.505 2268.438 1766.316 1791.586 1868.032 1759.685
46.25 1605.784 1707.531 1718.579 1515.948 1635.364 1872.126 2237.35 2141.556 2040.427 2086.541 2330.793 1824.418 1841.186 1943.593 1803.194
47.5 1696.436 1795.602 1803.653 1587.818 1705.16 1974.875 2342.075 2251.342 2141.713 2189.756 2446.061 1909.931 1938.595 2059.51 1897.675
48.75 1777.609 1877.233 1879.476 1669.263 1798.411 2069.843 2450.241 2353.659 2239.368 2302.713 2576.73 1986.004 2029.924 2146.577 2002.734
50 1812.59 1933.226 1938.946 1733.993 1868.322 2132.26 2517.767 2393.281 2307.918 2357.536 2658.836 2037.747 2065.673 2196.357 2062.767
51.25 1835.923 1954.607 1977.928 1771.151 1906.957 2172.357 2555.824 2423.944 2337.065 2385.806 2698.358 2059.459 2089.942 2239.827 2080.658
52.5 1857.105 1967.37 1989.397 1794.965 1930.225 2192.436 2558.401 2457.332 2353.536 2404.429 2711.988 2100.257 2123.943 2255.787 2096.342
53.75 1874.616 1994.952 1975.264 1803.948 1924.31 2213.983 2563.279 2493.369 2371.126 2422.05 2715.936 2158.874 2142.5 2246.854 2126.703
55 1860.025 1978.987 1948.964 1765.574 1883.871 2176.241 2517.602 2459.198 2328.67 2403.01 2682.494 2172.518 2127.186 2224.926 2113.473
56.25 1791.935 1899.113 1865.669 1696.938 1795.962 2076.304 2378.935 2343.432 2208.165 2289.858 2579.834 2105.173 2038.616 2130.485 2024.341
57.5 1696.137 1792.259 1736.997 1608.048 1665.115 1953.862 2227.157 2213.688 2092.588 2151.639 2434.998 1981.988 1912.611 1999.908 1890.852
58.75 1606.983 1701.459 1635.703 1518.962 1572.479 1861.429 2087.277 2094.417 1989.896 2047.409 2325.609 1903.225 1814.681 1887.897 1797.413
60 1538.349 1616.624 1563.102 1447.147 1496.468 1784.128 1992.489 1996.966 1891.36 1957.24 2221.241 1833.439 1741.906 1802.923 1724.253
61.25 1479.892 1556.714 1507.237 1405.423 1437.806 1717.697 1921.837 1922.826 1823.972 1887.092 2124.978 1767.676 1673.342 1728.949 1657.684
62.5 1427.986 1499.796 1454.837 1359.265 1383.78 1661.459 1851.617 1855.005 1759.73 1817.103 2050.931 1706.481 1611.764 1670.238 1597.079
63.75 1365.564 1437.366 1407.302 1305.94 1341.972 1608.129 1787.344 1777.486 1703.244 1757.112 1964.189 1635.178 1557.806 1618.945 1542.486
65 1301.986 1377.328 1350.305 1245.038 1297.287 1541.58 1738.033 1700.569 1632.433 1695.286 1885.406 1558.451 1497.688 1565.696 1484.794
66.25 1252.897 1323.179 1300.248 1194.292 1264.89 1482.856 1693.545 1640.123 1570.737 1629.623 1828.277 1486.484 1436.435 1505.841 1428.295
67.5 1208.723 1286.713 1269.362 1156.739 1237.399 1429.326 1658.504 1605.835 1521.272 1579.797 1785.348 1402.491 1383.784 1464.07 1377.619
68.75 1171.624 1246.652 1253.21 1122.457 1205.132 1388.553 1626.614 1578.868 1490.77 1546.461 1735.479 1340.609 1347.19 1419.677 1341.408
