YA604_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
11.25 2182.096 2255.549 2376.772 2327.113 2195.803 2725.806 2871.758 2956.397 2999.591 2919.468 2816.358 3108.618 2480.207 2514.859 2888.856
12.5 2033.795 2115.202 2214.29 2163.509 2029.33 2606.172 2708.294 2783.376 2803.199 2731.985 2646.515 2907.216 2350.415 2381.16 2700.551
13.75 1982.021 2073.253 2159.286 2098.469 1990.401 2549.86 2648.653 2731.174 2759.259 2675.146 2584.516 2848.317 2305.872 2333.302 2652.165
15 1976.291 2064.81 2137.568 2072.102 1984.593 2526.861 2638.49 2710.174 2752.072 2661.579 2558.817 2812.715 2297.175 2323.402 2643.256
16.25 1975.564 2062.783 2123.958 2073.693 1985.243 2520.906 2650.771 2701.384 2736.27 2648.603 2560.588 2794.966 2291.961 2335.579 2640.099
17.5 1971.179 2060.536 2134.3 2078.063 1983.444 2524.331 2650.475 2715.66 2734.983 2645.369 2561.538 2807.783 2290.749 2339.971 2641.425
18.75 1957.883 2071.824 2142.7 2077.003 1989.514 2523.2 2643.547 2735.58 2732.066 2650.739 2563.427 2817.972 2297.612 2337.622 2655.433
20 1959.676 2081.599 2157.988 2080.459 2003.781 2525.984 2658.335 2747.574 2747.66 2668.557 2587.724 2837.006 2312.85 2334.563 2669.648
21.25 1974.076 2076.866 2168.44 2088.689 2012.889 2530.935 2678.224 2760.783 2777.121 2687.916 2610.042 2860.163 2323.245 2347.826 2673.985
22.5 1972.757 2073.676 2170.18 2103.517 2019.945 2523.606 2674.258 2758.281 2783.206 2681.217 2621.872 2851.33 2328.74 2351.796 2679.989
23.75 1972.985 2092.421 2172.323 2111.413 2030.007 2539.855 2698.678 2770.989 2805.565 2689.775 2638.401 2852.763 2333.961 2352.569 2691.289
25 2003.36 2134.483 2198.135 2138.519 2061.839 2592.473 2733.504 2808.197 2837.458 2719.754 2655.053 2891.272 2359.558 2382.946 2711.337
26.25 2022.558 2152.54 2227.037 2174.658 2103.88 2634.374 2780.704 2837.296 2875.892 2758.019 2683.671 2941.824 2386.587 2427.039 2738.762
27.5 2009.546 2127.03 2224.571 2178.261 2103.204 2628.477 2783.033 2841.321 2870.847 2737.615 2690.194 2937.91 2364.49 2422.482 2733.55
28.75 2001.009 2122.535 2209.452 2157.629 2078.122 2611.145 2774.861 2848.225 2853.232 2724.536 2681.478 2920.396 2354.659 2412.352 2717.153
30 2011.966 2154.637 2236.743 2179.239 2086.634 2643.54 2796.855 2876.195 2887.552 2740.148 2699.009 2967.974 2399.984 2429.884 2746.092
31.25 2045.142 2165.123 2242.275 2204.548 2106.994 2668.629 2803.315 2895.77 2900.748 2742.181 2701.317 2999.131 2427.781 2447.016 2779.293
32.5 2039.991 2147.07 2231.697 2182.41 2101.445 2640.556 2782.392 2884.003 2868.56 2722.269 2675.044 2976.641 2425.445 2438.973 2759.499
33.75 2024.809 2136.083 2238.474 2172.656 2087.813 2612.267 2778.539 2857.455 2859.503 2743.942 2667.843 2946.861 2410.809 2437.986 2750.68
35 1999.506 2122.045 2218.547 2167.385 2079.23 2586.079 2766.286 2831.434 2846.388 2733.888 2643.642 2883.105 2376.136 2424.904 2730.933
36.25 1902.066 2026.074 2101.34 2063.494 1999.563 2475.31 2657.066 2709.208 2720.547 2598.557 2534.843 2758.676 2267.418 2328.247 2614.773
37.5 1748.072 1858.886 1924.579 1891.932 1841.919 2285.193 2470.943 2489.278 2523.547 2370.461 2344.444 2554.701 2078.678 2156.079 2403.347
38.75 1614.174 1709.834 1785.559 1740.383 1722.1 2119.557 2322.38 2301.91 2343 2187.348 2169.635 2339.989 1918.709 1994.652 2240.353
40 1530.757 1629.498 1700.277 1651.8 1646.565 2015.958 2231.014 2198.109 2228.009 2094.072 2075.103 2204.651 1819.985 1901.121 2136.25
41.25 1487.58 1587.478 1648.715 1608.757 1614.974 1953.72 2172.727 2141.182 2173.569 2049.999 2031.493 2146.154 1770.874 1856.01 2075.254
42.5 1472.932 1579.395 1637.482 1592.058 1590.838 1945.066 2152.867 2120.795 2161.362 2030.695 2011.755 2140.34 1762.378 1842.615 2053.558
43.75 1472.032 1580.984 1645.4 1597.954 1587.866 1955.374 2158.412 2119.036 2171.06 2019.185 2011.758 2151.43 1767.45 1854.507 2059.766
45 1482.243 1606.607 1656.419 1610.289 1589.876 1974.494 2161.353 2128.251 2178.812 2024.646 2027.327 2169.895 1793.951 1852.621 2067.756
46.25 1536.623 1665.408 1682.048 1661.792 1607.397 2039.936 2172.897 2172.749 2210.36 2059.11 2077.79 2226.558 1879.956 1890.855 2102.104
47.5 1623.299 1747.498 1767.344 1749.972 1674.645 2170.165 2253.823 2287.507 2294.618 2155.687 2187.399 2344.535 1991.426 1983.449 2194.081
48.75 1698.192 1832.175 1860.345 1831.692 1767.304 2282.363 2375.509 2423.026 2416.523 2294.665 2290.135 2442.917 2076.87 2073.059 2324.612
50 1744.461 1892.476 1926.66 1889.377 1842.443 2346.117 2481.393 2498.464 2522.723 2375.656 2355.221 2528.973 2126.874 2141.653 2434.115
51.25 1778.331 1923.85 1983.01 1932.201 1897.254 2393.236 2549.575 2569.867 2576.957 2421.323 2396.362 2586.27 2184.689 2197.844 2480.591
52.5 1799.323 1942.275 1997.68 1937.903 1896.732 2427.695 2571.737 2582.749 2592.012 2430.57 2398.91 2597.456 2210.307 2217.756 2470.699
53.75 1814.444 1980.308 1982.021 1923.022 1870.73 2474.833 2560.399 2569.811 2604.355 2419.614 2399.118 2589.752 2230.084 2223.366 2470.135
55 1831.95 1983.674 1941.288 1861.951 1814.573 2482.122 2512.604 2509.862 2574.261 2378.116 2370.402 2545.684 2227.006 2197.762 2430.296
56.25 1808.329 1908.136 1840.815 1770.351 1718.324 2402.057 2396.524 2383.326 2442.502 2259.465 2271.719 2416.133 2166.849 2115.331 2306.389
57.5 1725.755 1803.289 1715.644 1660.55 1614.868 2280.679 2253.028 2240.088 2276.343 2110.939 2139.387 2247.31 2043.919 1986.699 2157.221
58.75 1653.613 1720.687 1618.457 1572.628 1521.931 2178.002 2127.043 2095.381 2143.565 1976.086 2024.711 2114.314 1932.55 1876.437 2027.458
60 1594.759 1644.905 1534.621 1490.886 1455.26 2097.192 2031.998 1971.668 2044.361 1872.955 1927.177 1997.081 1851.604 1793.17 1936.683
61.25 1539.051 1582.303 1468.518 1417.654 1397.806 2028.043 1961.373 1912.893 1969.648 1795.891 1845.806 1903.22 1802.387 1725.102 1866.179
62.5 1490.053 1510.762 1412.611 1363.243 1349.823 1951.421 1913.109 1864.563 1911.431 1732.291 1779.011 1823.917 1735.502 1668.463 1809.938
63.75 1429.084 1440.597 1360.851 1319.159 1318.698 1861.687 1868.813 1807.796 1848.409 1669.412 1723.672 1748.365 1647.761 1606.334 1754.984
65 1350.085 1378.868 1316.907 1283.351 1296.813 1756.649 1829.89 1749.444 1788.225 1615.591 1673.844 1700.344 1557.968 1545.503 1711.209
66.25 1267.547 1307.024 1281.715 1259.12 1276.798 1650.213 1791.71 1702.019 1756.595 1582.957 1620.841 1667.254 1470.96 1495.404 1668.532
67.5 1173.233 1251.072 1253.474 1228.178 1260.105 1553.496 1764.715 1666.17 1723.572 1552.683 1579.682 1635.166 1392.587 1461.43 1637.086
68.75 1102.025 1206.731 1234.445 1212.755 1246.408 1478.474 1747.092 1640.158 1699.118 1540.562 1562.477 1616.018 1340.138 1432.616 1616.187
70 1066.129 1179.36 1217.593 1197.22 1233.008 1441.617 1725.865 1607.149 1679.921 1522.769 1540.328 1584.805 1314.153 1413.413 1587.314
71.25 1049.706 1159.3 1207.552 1185.842 1231.161 1428.108 1710.962 1596.312 1669.984 1518.13 1522.333 1568.866 1300.926 1397.326 1570.365
72.5 1040.461 1151.048 1198.734 1176.163 1230.76 1426.848 1705.124 1577.222 1663.952 1494.327 1508.598 1557.462 1296.149 1386.837 1567.169
73.75 1053.78 1160.726 1202.387 1180.305 1226.505 1432.957 1707.112 1574.151 1664.803 1486.062 1513.897 1556.631 1302.621 1393.435 1567.913
75 1106.682 1223.491 1279.481 1242.054 1274.973 1492.332 1759.919 1644.622 1716.717 1546.785 1588.36 1618.401 1366.746 1444.971 1625.138
76.25 1206.862 1342.469 1454.758 1426.462 1408.755 1619.097 1887.88 1794.219 1862.855 1689.464 1711.036 1769.972 1484.873 1552.015 1760.688
77.5 1247.788 1397.693 1546.323 1556.727 1476.842 1679.944 1941.634 1874.166 1927.135 1768.458 1775.802 1844.637 1536.487 1607.705 1833.677
78.75 1208.851 1343.906 1475.928 1511.062 1417.466 1629.01 1880.289 1809.475 1863.195 1717.779 1729.455 1785.197 1490.831 1563.36 1777.182
80 1146.824 1282.703 1369.567 1379.631 1354.059 1558.443 1806.839 1728.085 1794.216 1641.548 1655.605 1715.955 1429.04 1519.951 1708.605
81.25 1196.637 1356.222 1422.769 1379.251 1450.876 1632.328 1933.891 1848.827 1914.493 1769.219 1788.235 1884.063 1504.626 1623.525 1829.94
82.5 1532.467 1771.381 1993.878 1860.981 2030.32 2148.059 2625.586 2566.448 2670.89 2552.435 2523.939 2601.761 1992.147 2178.535 2543.057
83.75 2125.112 2525.768 2979.515 2762.605 2980.674 2996.86 3798.099 3706.45 3821.453 3665.629 3501.394 3646.698 2792.292 3047.908 3719.292
85 2608.674 3135.693 3759.003 3584.73 3778.033 3693.224 4735.698 4564.252 4731.937 4504.619 4221.133 4509.529 3408.174 3722.769 4614.828
86.25 2663.128 3193.734 3969.288 3895.136 4032.362 3775.66 4925.277 4669.438 4932.963 4604.12 4285.187 4602.071 3464.776 3834.451 4795.774
87.5 2303.172 2735.342 3448.343 3531.179 3560.296 3282.483 4277.886 4025.151 4337.543 4044.962 3745.516 4012.97 2981.145 3335.277 4170.936
88.75 1889.809 2203.065 2715.073 2772.35 2826.31 2642.715 3376.284 3239.201 3431.025 3212.099 3058.361 3190.798 2414.828 2676.863 3258.666
90 1777.515 2090.02 2543.033 2503.238 2603.776 2448.17 3322.25 3072.531 3247.759 3002.908 2892.202 3012.077 2236.311 2519.574 3110.877
91.25 1881.749 2251.931 2910.844 2855.363 3028.238 2596.021 3764.104 3404.409 3663.855 3411.673 3179.616 3339.265 2357.951 2752.791 3560.676
92.5 2046.818 2469.925 3361.694 3320.245 3520.887 2826.977 4251.589 3830.423 4127.916 3842.104 3503.915 3733.594 2568.134 3030.407 4053.821
93.75 2254.17 2649.012 3539.515 3570.006 3734.915 3063.132 4439.994 4053.196 4364.213 4046.943 3672.233 3913.409 2809.607 3238.783 4267.708
95 2438.218 2761.385 3374.871 3437.654 3518.765 3280.611 4302.245 4047.791 4246.208 3945.767 3704.466 3915.551 3027.384 3317.033 4153.778
96.25 2617.216 2897.832 3161.911 3167.545 3214.394 3475.424 4176.413 4032.006 4123.934 3861.314 3793.615 3954.385 3217.559 3389.569 3996.34
97.5 2841.589 3159.231 3221.028 3145.325 3191.662 3753.137 4260.308 4226.404 4287.434 4012.516 4040.263 4181.685 3472.509 3641.837 4139.57
98.75 3002.024 3368.937 3420.612 3369.278 3352.67 4000.731 4538.23 4480.996 4551.256 4202.203 4304.185 4420.01 3680.887 3890.906 4405.367
100 3028.643 3442.862 3522.112 3497.881 3458.168 4060.267 4626.755 4609.847 4677.811 4283.902 4394.106 4495.41 3754.389 3962.572 4508.117
101.25 2921.326 3351.469 3460.278 3429.418 3428.253 3915.575 4537.379 4526.223 4594.357 4222.259 4303.319 4371.213 3652.926 3848.181 4417.952
102.5 2731.302 3150.605 3311.542 3247.83 3280.871 3644.549 4294.428 4281.596 4359.294 4037.532 4097.653 4107.455 3427.44 3643.893 4181.013
103.75 2460.337 2877.068 3045.234 2981.958 3019.525 3275.115 3902.739 3884.639 3968.759 3691.057 3772.107 3704.962 3105.204 3370.188 3842.963
105 2196.084 2603.566 2726.863 2677.876 2742.825 2924.677 3561.743 3498.871 3555.66 3311.253 3444.495 3294.086 2765.982 3069.989 3503.637
106.25 2014.067 2401.416 2502.493 2453.552 2557.626 2677.539 3330.846 3199.908 3265.23 3056.699 3210.993 3017.719 2527.535 2832.633 3245.856
107.5 1855.458 2234.008 2334.781 2279.898 2394.583 2473.7 3105.553 2960.454 3023.74 2831.951 2992.924 2784.297 2341.415 2638.682 3024.529
