YA604_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle -3.825 -2.704 -0.063 0.238 1.094 -3.355 -0.215 -0.584 -0.822 0.097 0.636 -0.714 -3.33 -1.631 0.218
whole 333.485 333.55 333.414 333.556 333.324 332.405 331.257 331.046 330.369 332.1 330.253 333.136 333.583 330.898 331.555
RPEtoOLM 71.269 72.073 72.002 71.979 71.645 71.058 70.954 70.85 70.208 70.83 70.988 70.517 70.645 70.401 70.19
RNFL 37.006 36.066 36.285 36.902 35.534 36.549 33.709 34.14 34.427 35.834 34.358 34.897 36.483 32.446 34.819
-3.75 718.048 895.215 977.526 970.533 1229.843 889.173 1706.296 1518.06 1572.436 1099.229 1625.388 1158.225 943.219 1464.682 1579.282
-2.5 936.506 1079.993 1186.715 1155.487 1349.889 1162.652 1860.382 1705.599 1796.785 1366.479 1786.33 1450.163 1157.608 1586.401 1738.097
-1.25 1347.368 1489.083 1646.32 1607.987 1758.023 1621.953 2308.658 2194.348 2326.766 1874.482 2226.958 2020.984 1587.741 1961.051 2209.218
0 1912.246 2094.952 2306.676 2256.567 2379.637 2263.285 2992.333 2927.442 3041.36 2586.039 2874.153 2813.103 2179.906 2557.218 2911.366
1.25 2493.605 2713.494 2998.151 2938.67 2944.062 2992.984 3592.756 3664.623 3685.279 3329.751 3492.945 3628.551 2812.711 3091.035 3598.784
2.5 2932.758 3097.753 3408.775 3339.404 3209.341 3469.084 3923.541 4069.541 4053.013 3833.819 3852.487 4126.362 3197.221 3358.267 3939.084
3.75 3094.774 3252.899 3514.774 3439.958 3266.838 3694.273 4065.301 4249.207 4241.304 4095.239 4016.606 4436.652 3384.952 3497.067 4139.762
5 3147.765 3268.01 3508.032 3432.115 3264.688 3765.681 4116.457 4295.772 4327.28 4228.225 4052.667 4581.147 3463.78 3547.033 4183.339
6.25 3089.801 3237.791 3492.161 3390.29 3210.407 3759.215 4107.454 4243.93 4323.404 4217.835 4010.612 4553.046 3477.982 3539.125 4174.142
7.5 2941.654 3123.312 3377.412 3281.637 3123.026 3693.496 3996.713 4103.043 4176.979 4071.487 3879.782 4408.506 3356.351 3433.79 4031.11
8.75 2745.253 2890.758 3135.386 3095.582 2901.968 3472.684 3695.432 3802.453 3871.404 3789.967 3607.543 4075.692 3117.212 3196.225 3749.711
10 2445.966 2558.757 2723.45 2683.546 2520.242 3041.86 3256.965 3328.182 3406.219 3326.863 3165.742 3521.003 2773.67 2831.641 3279.383
