YA604_LIGHT-dim 1 2 3 4 5
angle -1.076 -0.29 -1.264 0.202 -0.713
whole 332.077 333.204 332.352 332.98 331.985
RPEtoOLM 71.103 70.602 70.876 70.947 70.289
RNFL 33.769 34.835 33.091 34.959 35.126
-3.75 1629.187 1383.449 1532.416 1353.137 1391.939
-2.5 1808.237 1610.31 1666.815 1589.144 1615.367
-1.25 2282.555 2149.88 2082.557 2104.047 2126.423
0 2975.332 2912.246 2720.062 2784.852 2793.31
1.25 3567.978 3666.408 3322.646 3425.184 3469.936
2.5 3896.258 4030.799 3647.422 3774.336 3836.184
3.75 4059.482 4200.304 3769.844 3974.402 4029.525
5 4096.682 4313.322 3810.909 4064.377 4120.084
6.25 4050.857 4285.316 3808.59 4035.65 4104.277
7.5 3917.979 4152.078 3682.394 3897.503 3966.5
8.75 3635.204 3870.297 3416.336 3664.125 3681.112
10 3252.417 3413.367 3025.478 3188.067 3265.119
11.25 2893.224 3016.33 2683.442 2818.441 2906.974
12.5 2720.645 2830.542 2526.789 2651.658 2724.434
13.75 2646.887 2755.029 2483.232 2591.663 2649.15
15 2625.974 2729.802 2468.959 2565.866 2632.571
16.25 2615.699 2722.215 2452.451 2551.203 2644.237
17.5 2635.996 2728.645 2437.153 2545.656 2636.973
18.75 2650.265 2728.268 2434.58 2558.149 2622.176
20 2663.606 2740.753 2446.417 2578.47 2632.892
21.25 2665.628 2737.048 2478.44 2596.993 2653.937
22.5 2670.183 2745.041 2485.153 2598.712 2676.263
23.75 2682.367 2768.034 2500.624 2587.936 2689.311
25 2704.11 2796.274 2541.665 2610.102 2708.825
26.25 2737.283 2839.944 2562.027 2659.961 2723.355
27.5 2746.753 2838.386 2557.422 2669.23 2706.039
28.75 2731.035 2819.767 2540.99 2672.885 2696.274
30 2752.853 2832.668 2547.039 2693.644 2716.452
31.25 2773.935 2849.523 2545.553 2690.917 2732.818
32.5 2766.392 2842.229 2548.616 2689.262 2737.741
33.75 2757.28 2828.558 2558.906 2689.105 2739.051
35 2733.901 2812.474 2538.275 2656.932 2720.783
36.25 2618.051 2701.337 2427.268 2544.149 2601.092
37.5 2441.313 2459.89 2222.492 2351.135 2384.916
38.75 2266.272 2262.215 2047.242 2177.398 2203.565
40 2150.824 2170.506 1956.036 2060.495 2081.582
41.25 2105.719 2111.446 1912.767 2001.279 2028.023
42.5 2103.09 2086.681 1915.99 1982.372 2024.273
43.75 2092.786 2093.631 1925.591 1989.209 2022.425
45 2100.697 2102.95 1946.305 2005.793 2039.903
46.25 2171.574 2152.881 2021.1 2067.021 2097.741
47.5 2287.44 2253.469 2128.414 2156.881 2196.867
48.75 2395.281 2383.122 2232.285 2254.383 2301.033
50 2467.023 2475.681 2268.393 2338.593 2383.029
51.25 2475.337 2507.504 2288.9 2388.161 2409.197
52.5 2483.125 2504.762 2320.474 2383.511 2430.811
53.75 2500.396 2515.699 2321.044 2385.107 2451.237
55 2455.285 2450.007 2252.047 2345.051 2387.473
56.25 2323.095 2306.457 2138.128 2196.534 2257.179
57.5 2177.951 2163.796 2002.636 2028.418 2117.615
58.75 2066.979 2036.853 1900.544 1915.81 1988.072
60 1976.118 1943.155 1807.162 1826.832 1896.377
61.25 1911.434 1868.546 1734.361 1748.025 1813.021
62.5 1863.648 1805.49 1681.568 1689.961 1743.075
63.75 1807.719 1738.561 1635.269 1656.813 1705.937
65 1764.084 1685.673 1590.119 1623.168 1664.46
66.25 1719.357 1655.437 1539.98 1594.554 1630.298
67.5 1694.717 1623.729 1500.965 1564.235 1593.875
68.75 1672.354 1602.827 1476.071 1544.437 1563.975
70 1643.736 1581.728 1461.2 1534.598 1546.317
71.25 1630.579 1557.056 1445.094 1524.656 1517.11
72.5 1611.337 1538.624 1428.608 1499.402 1499.399
73.75 1605.705 1550.001 1428.122 1502.546 1503.686
75 1661.015 1623.825 1504.362 1561.024 1564.222
76.25 1791.376 1766.994 1636.001 1702.238 1693.435
77.5 1863.189 1839.258 1695.678 1792.727 1760.31
78.75 1811.976 1784.39 1639.749 1736.74 1715.888
80 1736.673 1724.776 1569.866 1668.504 1648.224
81.25 1814.781 1849.3 1690.844 1777.413 1828.223
82.5 2403.069 2523.91 2335.57 2476.709 2566.338
83.75 3498.613 3649.612 3290.688 3642.14 3622.842
85 4389.304 4548.561 4070.073 4599.271 4349.223
86.25 4558.179 4748.034 4172.468 4796.937 4362.683
87.5 3950.8 4073.657 3596.328 4109.947 3757.658
88.75 3126.148 3260.12 2884.335 3243.62 3042.759
90 2970.139 3123.876 2742.918 3084.453 2901.819
91.25 3299.765 3500.902 3024.889 3565.095 3222.993
92.5 3721.392 3951.153 3396.901 4109.944 3608.998
93.75 3936.938 4164.731 3578.6 4324.361 3795.582
95 3903.936 4074.6 3607.07 4097.866 3756.382
96.25 3914.046 4052.227 3633.226 3873.842 3769.118
97.5 4180.356 4264.868 3867.627 4050.071 4038.377
98.75 4462.646 4477.811 4121.254 4337.362 4271.351
100 4555.288 4589.715 4222.892 4408.879 4417.39
101.25 4467.252 4491.289 4131.135 4302.427 4362.477
102.5 4222.334 4238.865 3903.331 4075.481 4104.309
103.75 3842.352 3848.697 3561.82 3685.704 3730.368
105 3492.029 3462.799 3227.152 3319.694 3382.623
106.25 3239.08 3172.766 3004.8 3051.671 3124.267
107.5 3025.746 2926.433 2793.796 2820.589 2902.695
