CO952_DARK 1 2 3 4 5
angle -5.342 -4.965 -5.26 -4.01 -0.849
whole 333.714 334.067 336.597 335.256 333.867
RPEtoOLM 68.762 68.298 68.799 68.222 67.45
RNFL 49.203 49.476 50.172 50.228 50.731
-3.75 625.478 528.538 534.538 510.903 479.348
-2.5 758.938 668.92 632.835 636.357 727.824
-1.25 1171.458 1075.614 1108.804 1005.869 1336.784
0 1836.58 1739.849 1665.021 1500.868 1977.924
1.25 2616.963 2500.529 2313.875 2077.173 2875.691
2.5 2730.33 2638.331 2490.002 2219.799 2982.069
3.75 2949.226 2842.701 2651.539 2398.277 3214.116
5 3115.164 2971.693 2796.201 2507.316 3373.267
6.25 3140.82 3010.61 2865.809 2541.814 3436.08
7.5 3115.126 2970.553 2820.135 2512.526 3386.151
8.75 3002.811 2865.872 2697.426 2408.121 3250.88
10 2727.981 2602.624 2505.942 2187.741 2875.269
11.25 2547.584 2427.92 2355.513 2034 2636.405
12.5 2427.675 2309.985 2256.562 1932.72 2479.935
13.75 2366.535 2247.344 2213.075 1885.247 2406.33
15 2347.752 2215.96 2200.43 1865.635 2387.279
16.25 2331.607 2205.221 2193.658 1865.408 2379.452
17.5 2325.123 2210.851 2193.288 1869.936 2373.87
18.75 2330.237 2213.865 2191.091 1877.711 2377.737
20 2343.258 2213.064 2192.587 1884.44 2390.768
21.25 2359.939 2219.394 2202.456 1879.757 2413.353
22.5 2371.658 2221.555 2210.352 1864.035 2426.227
23.75 2361.194 2215.842 2215.796 1856.149 2424.748
25 2353.859 2215.961 2224.368 1864.377 2427.575
26.25 2380.297 2235.875 2236.916 1883.014 2442.479
27.5 2409.287 2262.175 2263.912 1901.654 2467.628
28.75 2416.367 2275.689 2278.923 1915.282 2492.036
30 2427.278 2286.988 2291.171 1928.816 2504.515
31.25 2434.726 2304.202 2310.753 1936.793 2520.618
32.5 2428.46 2301.936 2315.63 1931.827 2524.336
33.75 2416.126 2279.506 2296.022 1916.596 2505.821
35 2388.601 2241.157 2249.177 1870.07 2461.243
36.25 2298.853 2151.287 2160.013 1793.73 2366.154
37.5 2158.142 2020.823 2039.859 1693.501 2237.026
38.75 2024.196 1896.915 1917.147 1593.56 2102.087
40 1931.883 1803.777 1827.717 1522.187 2001.393
41.25 1888.27 1743.841 1782.502 1481.605 1934.996
42.5 1864.236 1727.404 1766.176 1472.366 1911.621
43.75 1867.359 1748.185 1763.986 1482.36 1908.486
45 1900.242 1785.101 1793.227 1504.131 1936.238
46.25 1956.669 1833.914 1856.071 1549.786 1997.498
47.5 2024.177 1898.784 1938.347 1613.035 2077.017
48.75 2079.741 1954.649 2007.963 1666.978 2142.32
50 2146.669 2015.516 2049.824 1716.229 2189.723
51.25 2221.032 2081.485 2087.464 1759.265 2252.201
52.5 2274.211 2127.631 2124.455 1786.919 2280.543
53.75 2302.326 2146.45 2158.779 1803.133 2262.297
55 2314.496 2138.99 2200.115 1795.185 2205.988
56.25 2298.716 2111.868 2221.66 1749.282 2131.66
57.5 2241.839 2066.729 2223.431 1687.044 2045.125
58.75 2172.336 2020.382 2220.476 1639.823 1961.517
60 2120.694 1969.935 2199.229 1596.819 1874.854
61.25 2074.582 1903.395 2150.526 1545.479 1801.104
62.5 2009.246 1838.147 2081.425 1491.16 1736.05
63.75 1949.992 1749.94 1998.296 1417.183 1661.542
65 1830.927 1634.067 1878.074 1327.941 1599.523
66.25 1665.927 1507.143 1719.684 1249.123 1542.774
67.5 1551.753 1403.139 1567.786 1180.479 1505.034
68.75 1465.515 1337.884 1430.543 1131.763 1481.431
70 1432.192 1311.916 1352.719 1111.953 1456.532
71.25 1401.229 1300.4 1325.135 1105.772 1442.046
72.5 1394.171 1295.242 1315.491 1102.715 1436.502
73.75 1392.589 1292.312 1318.243 1112.776 1437.441
75 1472.3 1358.605 1381.205 1177.635 1521.607
76.25 1663.584 1535.516 1540.342 1325.496 1756.563
77.5 1767.987 1638.673 1630.081 1382.695 1897.568
78.75 1702.429 1569.765 1574.474 1331.378 1820.842
80 1598.666 1474.737 1517.152 1296.328 1698.718
81.25 1701.053 1584.604 1626.238 1424.473 1836.634
82.5 2145.814 2029.438 1936.283 1760.001 2374.741
83.75 2712.864 2556.472 2290.9 2103.224 3098.414
85 3058.086 2883.822 2483.758 2321.406 3635.868
86.25 3039.278 2855.938 2440.438 2310.938 3764.797
87.5 2732.956 2557.366 2251.598 2122.583 3495.699
88.75 2445.665 2278.386 2090.901 1943.378 3046.904
90 2397.209 2245.532 2081.433 1919.515 2864.369
91.25 2567.687 2426.552 2204.941 2043.259 3106.868
92.5 2858.378 2707.809 2437.705 2228.843 3580.258
93.75 3110.607 2920.033 2703.469 2419.839 3930.202
95 3282.433 3020.878 2913.628 2595.87 4031.49
96.25 3444.205 3155.034 3147.355 2791.214 3943.9
97.5 3750.447 3416.694 3457.805 3009.403 3946.084
98.75 4057.209 3667.536 3696.551 3168.329 4077.982
100 4200.252 3761.287 3735.839 3193.571 4159.649
101.25 4104.286 3653.405 3576.696 3075.237 4056.267
102.5 3831.296 3417.812 3320.916 2876.399 3788.946
103.75 3469.221 3107.135 3015.396 2629.071 3403.996
105 3073.222 2777.208 2697.431 2368.997 2951.288
106.25 2779.555 2527.101 2457.626 2164.941 2604.312
107.5 2615.808 2358.349 2297.46 2023.629 2405.546
