CO928_LIGHT 1 2 3 4 5
angle -0.889 -0.536 0.409 0.362 -0.682
whole 316.446 316.867 318.438 317.89 318.293
RPEtoOLM 69.95 70.038 70.963 70.24 70.776
RNFL 33.343 32.413 34.203 36.248 34.019
-3.75 524.162 547.124 614.559 453.068 398.608
-2.5 747.03 741.042 964.965 831.74 784.124
-1.25 1348.224 1380.873 1649.579 1519.228 1322.243
0 1971.105 2035.505 2317.326 2243.607 1907.426
1.25 2597.699 2685.559 3027.758 2913.912 2551.857
2.5 3045.976 3218.555 3551.661 3390.379 3007.596
3.75 3291.08 3482.485 3806.518 3668.861 3242.542
5 3413.212 3582.561 3985.617 3801.112 3334.278
6.25 3469.325 3593.482 4070.176 3844.687 3355.11
7.5 3411.349 3530.016 3954.751 3790.349 3306.575
8.75 3193.546 3333.861 3678.993 3534.407 3093.063
10 2778.75 2890.752 3206.403 2995.139 2675.501
11.25 2464.377 2561.656 2818.259 2653.893 2400.817
12.5 2333.07 2410.593 2633.797 2490.689 2265.548
13.75 2303.531 2369.106 2582.04 2440.807 2211.983
15 2298.823 2364.581 2573.867 2428.208 2199.395
16.25 2304.711 2374.995 2585.032 2436.082 2202.882
17.5 2310.9 2372.569 2597.853 2458.26 2212.236
18.75 2302.108 2370.432 2595.364 2458.53 2195.932
20 2288.84 2368.799 2574.874 2448.803 2186.781
21.25 2274.84 2349.449 2554.802 2434.685 2192.669
22.5 2285.133 2364.955 2570.517 2440.036 2207.969
23.75 2314.589 2403.502 2603.659 2462.827 2225.871
25 2349.98 2452.249 2638.001 2500.415 2247.451
26.25 2365.109 2482.871 2655.07 2524.863 2261.263
27.5 2381.715 2476.941 2655.232 2539.408 2255.544
28.75 2398.276 2485.286 2667.283 2558.358 2258.408
30 2411.515 2514.572 2683.619 2566.551 2267.556
31.25 2428.196 2519.492 2691.225 2578.031 2284.234
32.5 2443.943 2529.226 2705.332 2599.378 2309.448
33.75 2460.334 2545.351 2723.44 2605.577 2319.177
35 2437.261 2515.052 2691.378 2566.02 2301.792
36.25 2312.695 2396.854 2555.231 2436.681 2192.595
37.5 2147.602 2220.911 2368.064 2263.663 2038.555
38.75 1983.722 2066.993 2209.524 2101.388 1896.814
40 1887.382 1967.854 2109.002 2005.765 1808.4
41.25 1847.323 1912.906 2057.871 1963.673 1768.208
42.5 1840.338 1902.566 2039.561 1954.568 1750.233
43.75 1836.248 1894.906 2029.074 1959.018 1757.418
45 1847.924 1909.661 2037.104 1953.616 1770.676
46.25 1900.007 1959.898 2083.359 1983.765 1796.055
47.5 1985.735 2034.272 2177.544 2058.803 1866.11
48.75 2080.155 2139.162 2294.371 2170.04 1959.007
50 2163.218 2247.146 2387.609 2271.373 2046.106
51.25 2207.902 2299.966 2440.617 2327.104 2120.112
52.5 2205.273 2284.226 2434.159 2315.294 2110.113
53.75 2210.541 2260.277 2396.282 2284.085 2051.449
55 2159.707 2193.876 2323.486 2222.932 1990.148
56.25 2026.158 2057.813 2168.594 2092.064 1869.51
57.5 1873.209 1900.113 2000.275 1928.966 1713.938
58.75 1767.003 1784.422 1873.005 1798.314 1617.604
60 1688.737 1709.735 1789.288 1724.418 1553.672
61.25 1641.207 1656.478 1736.24 1669.844 1509.448
62.5 1594.866 1621.354 1695.493 1628.17 1473.502
63.75 1557.61 1587.335 1667.708 1590.878 1444.271
65 1530.726 1562.604 1653.622 1571.607 1429.105
66.25 1513.726 1550.049 1642.133 1559.061 1414.63
67.5 1499.476 1542.234 1625.669 1547.009 1395.643
68.75 1480.11 1520.385 1599.962 1537.204 1375.386
70 1462.524 1497.643 1589.689 1528.816 1354.958
71.25 1450.761 1481.952 1589.453 1511.622 1341.545
72.5 1442.097 1469.665 1575.071 1493.505 1335.144
73.75 1441.922 1467.065 1583.817 1500.217 1337.529
75 1535.453 1565.385 1700.03 1650.769 1422.621
76.25 1715.517 1755.17 1901.697 1961.425 1603.366
77.5 1810.831 1831.814 1997.174 2096.284 1704.633
78.75 1727.827 1771.016 1905.507 1970.014 1636.799
80 1611.836 1661.1 1762.299 1763.502 1512.745
81.25 1697.51 1774.102 1896.104 1817.568 1578.449
82.5 2312.165 2399.921 2691.01 2527.544 2203.664
83.75 3249.562 3292.195 3775.435 3678.773 3161.503
85 3937.899 3958.981 4496.958 4565.031 3838.475
86.25 4025.638 3977.43 4501.004 4700.393 3844.81
87.5 3557.609 3452.42 3841.054 4156.923 3288.895
88.75 2904.505 2833.826 3104.489 3367.587 2692.19
90 2625.257 2643.873 2890.125 3015.338 2508.98
91.25 2766.869 2801.56 3158.113 3290.463 2709.114
92.5 3114.779 3122.388 3578.389 3768.724 3033.875
93.75 3512.014 3478.224 3974.576 4191.279 3361.243
95 3777.605 3798.676 4225.286 4342.617 3572.094
96.25 3906.341 4028.862 4315.228 4283.583 3619.314
97.5 3988.378 4133.837 4437.863 4238.324 3677.74
98.75 4155.909 4333.957 4680.489 4334.264 3840.982
100 4279.841 4485.71 4807.141 4471.035 3940.289
101.25 4193.723 4348.816 4698.785 4428.959 3827.252
102.5 3847.142 3947.2 4289.492 4120.473 3450.511
103.75 3334.897 3404.156 3666.356 3588.06 2924.001
105 2863.841 2928.584 3167.831 3041.512 2499.378
106.25 2613.283 2673.816 2939.179 2721.031 2288.926
107.5 2482.874 2545.928 2824.484 2586.036 2185.123
