AD613_DARK 1 2 3 4 5
angle 0.08 -3.118 -6.27 -5.465 -3.698
whole 339.887 341.482 341.911 343.335 342.43
RPEtoOLM 72.353 72.657 72.884 72.538 72.606
RNFL 34.146 34.194 34.117 35.739 34.225
-3.75 1186.675 1196.258 938.103 1026.353 1205.455
-2.5 1385.457 1338.473 1104.295 1269.834 1446.647
-1.25 1819.611 1778.727 1454.404 1727.194 1920.774
0 2469.23 2345.456 1906.549 2301.489 2632.985
1.25 3076.878 2943.432 2400.58 2922.054 3359.503
2.5 3506.428 3271.53 2729.239 3310.047 3783.608
3.75 3686.69 3497.845 2885.883 3526.588 4045.009
5 3799.908 3601.977 2957.321 3647.286 4184.424
6.25 3833.158 3628.324 2959.157 3665.716 4195.596
7.5 3685.658 3541.223 2940.441 3588.453 4096.424
8.75 3413.847 3329.068 2819.372 3391.335 3845.108
10 2956.573 2926.163 2552.733 3036.035 3399.83
11.25 2618.592 2642.598 2348.813 2762.311 3066.046
12.5 2464.506 2491.18 2246.789 2619.097 2872.726
13.75 2410.566 2431.662 2205.561 2576.748 2819.426
15 2393.467 2422.795 2190.124 2574.695 2815.027
16.25 2391.907 2424.386 2194.662 2581.921 2819.488
17.5 2415.256 2432.38 2221.553 2594.682 2830.247
18.75 2438.278 2453.742 2248.104 2618.164 2850.314
20 2447.087 2481.739 2257.041 2629.89 2875.936
21.25 2452.515 2485.039 2256.353 2640.493 2882.577
22.5 2471.436 2477.702 2262.055 2650.628 2879.209
23.75 2486.8 2491.158 2286.021 2664.519 2897.508
25 2510.037 2521.262 2334.8 2699.673 2943.183
26.25 2530.973 2553.706 2373.944 2736.281 2993.227
27.5 2525.919 2572.478 2387.247 2746.039 2998.667
28.75 2540.176 2576.008 2392.642 2760.526 2983.736
30 2567.917 2593.78 2418.491 2792.27 3014.812
31.25 2593.187 2609.859 2431.547 2817.831 3051.097
32.5 2595.281 2603.293 2427.156 2816.838 3057.748
33.75 2587.74 2604.025 2436.141 2812.149 3039.883
35 2565.61 2583.421 2417.261 2775.258 3009.679
36.25 2463.941 2467.01 2308.368 2656.065 2882.008
37.5 2287.881 2304.226 2155.343 2476.643 2686.233
38.75 2097.227 2147.401 1997.682 2297.536 2484.016
40 1999.556 2051.072 1913.915 2200.575 2377.695
41.25 1947.516 2004.613 1878.826 2164.333 2343.853
42.5 1926.924 1996.676 1874.243 2150.133 2331.576
43.75 1931.129 2014.85 1888.907 2165.045 2337.877
45 1953.625 2037.687 1930.304 2217.004 2382.885
46.25 2000.173 2101.708 2008.458 2302.187 2471.001
47.5 2086.558 2214.003 2106.541 2404.102 2592.031
48.75 2171.946 2287.16 2168.716 2478.752 2661.471
50 2205.723 2331.072 2216.001 2540.593 2715.209
51.25 2273.456 2390.783 2274.908 2597.746 2809.616
52.5 2342.48 2430.412 2325.189 2649.849 2856.763
53.75 2362.584 2446.179 2419.639 2750.324 2879.217
55 2311.903 2427.775 2467.884 2777.021 2866.416
56.25 2186.82 2318.321 2447.519 2698.675 2762.831
57.5 2008.433 2164.735 2371.06 2573.43 2575.457
58.75 1840.445 2045.141 2296.881 2488.573 2438.419
60 1738.112 1969.468 2227.68 2417.032 2366.158
61.25 1679.073 1906.944 2184.275 2345.287 2292.58
62.5 1639.166 1845.778 2141.22 2293.084 2204.224
63.75 1602.393 1814.574 2083.68 2239.114 2146.13
65 1584.851 1776.593 2011.93 2170.88 2096.143
66.25 1561.922 1726.409 1919.304 2086.509 2048.286
67.5 1544.574 1675.835 1805.226 1994.911 1992.088
68.75 1527.597 1629.841 1665.012 1877.962 1919.985
70 1504.704 1602.87 1560.244 1781.732 1883.207
71.25 1488.943 1585.732 1526.214 1746.739 1860.174
72.5 1478.044 1578.65 1525.35 1741.521 1844.291
73.75 1476.704 1590.555 1532.106 1748.336 1854.193
75 1527.358 1668.234 1617.26 1837.677 1949.414
76.25 1710.566 1844.009 1782.876 2016.635 2146.974
77.5 1824.125 1946.455 1867.523 2103.455 2237.142
78.75 1761.456 1887.673 1809.4 2046.964 2166.769
80 1683.765 1816.359 1738.538 1988.184 2084.087
81.25 1779.232 1972.068 1829.053 2120.338 2185.184
82.5 2319.121 2573.395 2252.729 2580.018 2620.969
83.75 3230.52 3416.249 2882.571 3225.08 3317.998
85 3968.637 4055.981 3323.147 3624.987 3806.859
86.25 4057.532 4064.092 3300.509 3561.043 3826.677
87.5 3506.253 3531.361 2917.89 3171.58 3454.909
88.75 2876.426 2942.458 2477.075 2743.328 2948.001
90 2755.43 2829.574 2265.073 2537.115 2642.554
91.25 2978.599 2980.993 2293.335 2563.544 2624.97
92.5 3165.2 3074.03 2428.253 2744.594 2794.702
93.75 3175.332 3178.637 2771.47 3161.182 3215.781
95 3274.923 3449.105 3258.426 3667.988 3800.925
96.25 3533.464 3780.573 3683.134 4111.211 4292.407
97.5 3757.19 4072.796 3989.477 4479.792 4612.621
98.75 3943.423 4281.48 4181.753 4696.821 4826.752
100 4026.802 4324.321 4206.347 4693.022 4826.936
101.25 3925.474 4213.63 4090.218 4554.547 4647.053
102.5 3697.548 3958.288 3835.296 4250.5 4280.925
103.75 3313.493 3559.603 3448.865 3808.012 3752.241
105 2872.056 3171.01 3069.451 3411.056 3309.314
106.25 2585.927 2891.047 2815.747 3123.381 3038.807
107.5 2383.695 2674.475 2612.823 2883.262 2790.204
