CO949_DARK 1 2 3 4 5
angle -5.397 -3.918 -2.868 1.435 -1.988
whole 328.552 329.839 329.218 330.477 326.892
RPEtoOLM 73.356 73.229 73.524 74.214 73.005
RNFL 36.495 35.519 36.948 38.751 36.492
-3.75 705.557 763.931 691.261 1075.78 877.644
-2.5 901.868 938.177 839.134 1264.154 1091.963
-1.25 1272.407 1266.39 1156.084 1775.418 1496.265
0 1673.535 1629.308 1528.529 2410.805 1989.494
1.25 2098.138 2013.713 1983.237 2919.202 2535.86
2.5 2433.7 2286.964 2231.117 3249.311 2947.397
3.75 2625.78 2420.621 2394.179 3450.877 3129.954
5 2698.99 2513.474 2462.699 3613.169 3210.406
6.25 2713.338 2552.846 2468.277 3735.333 3252.871
7.5 2670.846 2516.552 2417.748 3677.398 3238.634
8.75 2526.046 2383.162 2262.303 3416.63 3069.378
10 2222.928 2131.494 1993.28 2901.759 2725.139
11.25 1987.859 1935.717 1772.384 2547.078 2443.937
12.5 1875.552 1851.488 1659.637 2391.586 2285.133
13.75 1851.991 1838.258 1627.828 2351.988 2218.954
15 1866.335 1850.565 1641.414 2362.128 2201.914
16.25 1878.831 1864.876 1664.896 2388.482 2212.802
17.5 1888.385 1873.504 1680.044 2401.653 2230.533
18.75 1902.785 1875.915 1690.77 2398.825 2235.37
20 1898.559 1867.826 1687.841 2397.26 2232.741
21.25 1886.536 1869.258 1676.434 2386.701 2233.323
22.5 1889.873 1876.602 1670.356 2375.345 2242.151
23.75 1901.904 1881.688 1672.304 2378.338 2250.589
25 1921.866 1904.487 1696.092 2417.623 2273.852
26.25 1961.543 1951.506 1733.681 2472.707 2314.404
27.5 1993.644 1992.324 1771.58 2524.83 2358.447
28.75 2017.109 2007.865 1796.619 2560.494 2387.244
30 2028.071 2027.625 1818.545 2577.492 2409.291
31.25 2045.626 2053.169 1834.297 2586.195 2435.353
32.5 2059.885 2072.464 1849.787 2602.109 2455.627
33.75 2085.897 2078.741 1863.872 2638.523 2484.328
35 2093.335 2054.235 1849.937 2616.325 2483.411
36.25 2017.304 1965.526 1783.742 2492.287 2394.463
37.5 1867.28 1836.925 1659.764 2327.687 2218.654
38.75 1741.842 1733.761 1542.369 2182.213 2062.288
40 1672.061 1658.175 1475.907 2075.208 1961.31
41.25 1639.626 1614.985 1445.935 2010.657 1912.511
42.5 1636.669 1602.4 1435.048 1987.917 1897.962
43.75 1639.267 1619.349 1449.169 2000.002 1910.182
45 1652.245 1650.609 1468.82 2029.414 1942.086
46.25 1686.525 1684.834 1502.417 2086.516 1986.635
47.5 1730.865 1741.031 1556.894 2168.379 2059.476
48.75 1787.136 1813.727 1617.559 2251.671 2143.976
50 1867.539 1893.277 1685.334 2317.815 2232.085
51.25 1947.454 1964.913 1752.691 2395.907 2308.097
52.5 2011.574 2017.027 1788.245 2446.306 2364.221
53.75 2038.908 2043.923 1809.537 2424.244 2375.51
55 2057.976 2066.186 1832.184 2341.448 2366.737
56.25 2083.019 2084.216 1829.675 2219.384 2370.083
57.5 2080.165 2080.993 1787.865 2069.023 2331.435
58.75 2074.474 2056.912 1717.52 1932.516 2227.262
60 2031.701 2041.101 1665.671 1826.372 2127.545
61.25 1978.565 2003.315 1611.326 1756.287 2027.922
62.5 1914.255 1942.015 1551.466 1709.05 1924.794
63.75 1849.055 1864.324 1479.55 1663.454 1846.714
65 1755.471 1781.167 1411.614 1631.219 1779.504
66.25 1659.507 1670.714 1342.454 1607.243 1712.898
67.5 1561.772 1539.893 1277.296 1593.029 1658.501
68.75 1426.639 1407.875 1213.508 1581.401 1588.983
70 1343.859 1318.658 1182.892 1567.545 1537.939
71.25 1323.362 1293.296 1169.892 1558.851 1518.183
72.5 1311.686 1287.714 1155.988 1547.831 1505.08
73.75 1321.971 1307.715 1165.714 1560.013 1510.254
75 1406.965 1387.43 1240.721 1665.91 1612.637
76.25 1579.708 1531.727 1397.849 1959.113 1815.069
77.5 1667.179 1598.754 1480.823 2088.32 1922.797
78.75 1611.81 1555.366 1419.435 1999.518 1851.069
80 1517.175 1513.933 1320.073 1832.514 1733.87
81.25 1545.065 1655.896 1322.944 1847.546 1742.011
82.5 1904.166 2051.511 1630.38 2442.935 2155.898
83.75 2607.899 2581.934 2298.367 3502.536 3033.331
85 3304.247 3059.111 3041.68 4468.205 3948.39
86.25 3535.156 3267.483 3339.151 4936.983 4314.695
87.5 3213.229 3042.514 3050.034 4523.554 3937.427
88.75 2686.051 2604.512 2520.453 3766.083 3313.547
90 2429.882 2343.396 2292.885 3529.486 3077.988
91.25 2520.623 2351.566 2417.564 3909.017 3269.707
92.5 2707.248 2493.645 2603.082 4369.448 3548.289
93.75 2831.464 2648.021 2677.671 4436.849 3643.016
95 2929.119 2782.895 2677.869 4212.233 3580.939
96.25 3028.783 2911.269 2724.715 4003.54 3589.186
97.5 3190.277 3068.52 2807.184 4013.941 3707.644
98.75 3398.204 3225.71 2963.938 4168.296 3869.147
100 3498.12 3296.159 3043.911 4231.365 3965.106
101.25 3401.878 3187.169 2934.432 4083.716 3873.671
102.5 3144.851 2945.481 2714.987 3797.749 3596.437
103.75 2775.752 2642.992 2401.552 3395.607 3168.899
105 2442.595 2324.755 2083.029 3007.755 2752.804
106.25 2248.524 2083.153 1910.211 2787.949 2513.697
107.5 2085.003 1924.592 1774.464 2582.732 2353.195
