CO949_LIGHT 1 2 3 4 5
angle -1.672 -0.264 -2.152 -0.549 -0.589
whole 327.859 328.604 327.135 328.749 326.944
RPEtoOLM 74.152 74.134 73.454 73.789 73.895
RNFL 37.219 37.2 36.215 37.681 36.304
-3.75 856.286 1034.565 957.076 939.997 1098.728
-2.5 1074.1 1265.498 1185.568 1204.006 1334.32
-1.25 1515.738 1697.188 1584.501 1675.188 1756.75
0 1974.078 2201.01 2027.777 2197.585 2291.201
1.25 2464.392 2739.572 2537.708 2769.229 2897.14
2.5 2847.385 3094.785 2880.539 3201.453 3319.361
3.75 3064.343 3194.483 3040.727 3395.534 3475.059
5 3157.303 3264.709 3155.374 3468.111 3572.424
6.25 3214.295 3323.21 3239.891 3520.46 3645.606
7.5 3168.674 3319.705 3191.275 3467.16 3614.791
8.75 3003.588 3128.676 3043.35 3270.98 3414.253
10 2623.093 2714.334 2671.985 2891.984 3003.744
11.25 2325.77 2377.117 2357.926 2595.186 2667.12
12.5 2170.987 2210.139 2195.87 2396.439 2462.523
13.75 2124.647 2171.305 2153.452 2319.508 2393.555
15 2136.395 2175.41 2161.563 2319.856 2387.454
16.25 2148.362 2193.375 2183.899 2329.521 2394.357
17.5 2152.916 2204.536 2193.017 2344.077 2400.789
18.75 2151.748 2201.541 2194.303 2354.754 2411.925
20 2161.462 2186.04 2188.384 2359.078 2413.351
21.25 2163.058 2180.911 2187.518 2351.237 2403.135
22.5 2153.344 2188.313 2184.859 2334.032 2398.456
23.75 2147.667 2190.209 2191.191 2335.699 2407.672
25 2169.558 2206.018 2223.45 2365.145 2428.096
26.25 2216.239 2237.06 2267.815 2421.672 2487.884
27.5 2252.609 2266.162 2304.476 2474.19 2541.831
28.75 2272.073 2274.887 2326.109 2485.754 2553.299
30 2298.926 2289.903 2345.193 2496.978 2576.383
31.25 2328.474 2318.262 2369.775 2534.298 2619.281
32.5 2344.851 2340.214 2387.818 2552.38 2644.535
33.75 2347.94 2358.972 2404.553 2552.914 2645.195
35 2332.24 2363.076 2398.144 2531.605 2621.942
36.25 2238.897 2284.141 2318.702 2446.515 2529.173
37.5 2091.281 2115.583 2151.334 2296.423 2349.588
38.75 1952.357 1953.77 2009.327 2145.576 2182.541
40 1842.929 1855.92 1909.082 2036.944 2071.251
41.25 1784.846 1804.242 1863.864 1979.567 2021.584
42.5 1777.752 1786.344 1846.921 1963.013 2006.098
43.75 1783.034 1796.797 1849.79 1974.271 2017.037
45 1800.698 1814.525 1872.092 2006.748 2045.259
46.25 1826.598 1850.191 1903.457 2040.286 2088.982
47.5 1871.487 1916.113 1967.07 2100.579 2164.919
48.75 1940.325 1982.718 2040.558 2186.153 2252.007
50 2020.227 2048.52 2126.006 2273.436 2332.429
51.25 2095.518 2120.679 2212.114 2357.001 2412.221
52.5 2149.732 2174.801 2268.71 2409.883 2462.857
53.75 2174.677 2178.052 2282.367 2418.123 2472.739
55 2157.503 2145.569 2259.748 2385.466 2441.41
56.25 2122.527 2094.605 2233.103 2326.358 2380.862
57.5 2070.911 2009.912 2191.424 2226.132 2283.583
58.75 1999.848 1894.291 2101.455 2103.237 2163.619
60 1927.489 1790.495 1996.364 2004.856 2062.487
61.25 1836.62 1725.023 1920.037 1922.551 1959.265
62.5 1748.465 1662.623 1837.602 1851.737 1870.318
63.75 1670.502 1596.421 1757.741 1788.113 1818.079
65 1590.518 1532.112 1693.948 1730.885 1766.025
66.25 1551.571 1479.589 1629.452 1676.187 1706.628
67.5 1492.495 1450.784 1575.734 1635.372 1649.976
68.75 1429.099 1423.037 1524.521 1595.321 1617.027
70 1391.266 1389.841 1489.2 1562.385 1590.316
71.25 1359.993 1374.438 1474.967 1536.539 1576.91
72.5 1343.737 1360.086 1454.991 1529.781 1564.402
73.75 1360.796 1373.639 1460.582 1570.175 1595.125
75 1472.853 1490.841 1553.652 1714.823 1733.136
76.25 1661.024 1734.043 1766.936 1930.37 1954.423
77.5 1747.31 1849.008 1878.585 2030.652 2072.245
78.75 1665.986 1744.381 1794.16 1950.417 1962.059
80 1546.207 1590.798 1657.367 1839.591 1820.653
81.25 1596.172 1616.541 1670.34 1958.311 1893.154
82.5 2038.612 2075.225 2100.91 2569.99 2467.752
83.75 2867.862 3064.908 2998.601 3548.821 3545.33
85 3664.908 4003.215 3947.844 4494.933 4562.007
86.25 3880.902 4447.82 4317.855 4893.502 4897.614
87.5 3457.608 4075.547 3946.654 4610.559 4416.89
88.75 2900.701 3309.67 3254.201 3841.86 3669.911
90 2762.167 3014.876 2985.959 3512.171 3438.548
91.25 2963.349 3389.132 3186.401 3803.034 3779.774
92.5 3212.038 3754.874 3490.118 4185.182 4178.189
93.75 3291.491 3832.156 3609.903 4266.038 4264.163
95 3253.25 3561.713 3585.725 4081.019 4120.469
96.25 3234.707 3364.74 3546.436 3903.753 3969.175
97.5 3339.086 3377.642 3581.478 3928.105 4025.258
98.75 3549.92 3537.138 3774.821 4088.682 4209.496
100 3648.419 3674.114 3898.214 4169.179 4276.265
101.25 3506.241 3604.816 3827.295 4057.313 4098.592
102.5 3182.803 3398.003 3556.338 3787.559 3755.635
103.75 2786.857 3038.068 3116.227 3391.39 3304.029
105 2473.491 2640.403 2723.741 2980.591 2925.764
106.25 2289.597 2405.13 2532.657 2720.912 2716.634
107.5 2111.852 2244.851 2349.36 2534.888 2515.424
