YA209_LIGHT-dim 1 2 3 4 5
angle -1.297 -0.608 2.246 1.567 1.765
whole 316.427 317.196 317.642 317.485 314.613
RPEtoOLM 67.451 67.59 67.027 67.291 67.157
RNFL 32.702 33.906 34.407 34.285 32.925
-3.75 840.494 716.382 783.06 859.602 817.421
-2.5 1019.542 849.515 967.527 1026.651 1022.312
-1.25 1549.542 1319.407 1522.544 1522.67 1436.762
0 2236.346 1971.214 2262.856 2217.394 1975.19
1.25 2919.873 2654.395 3181.409 2904.569 2557.326
2.5 3390.291 3012.179 3605.985 3297.699 2920.384
3.75 3624.933 3120.01 3671.712 3471.193 3111.134
5 3737.578 3145.285 3551.751 3512.289 3190.752
6.25 3735.655 3085.707 3456.403 3478.559 3208.405
7.5 3627.614 2970.425 3358.62 3380.756 3126.028
8.75 3362.449 2770.745 3190.961 3152.69 2919.514
10 2963.921 2448.845 2849.494 2786.677 2561.086
11.25 2636.379 2154.671 2556.533 2451.502 2269.519
12.5 2455.1 1997.469 2333.717 2267.198 2128.052
13.75 2396.902 1933.593 2230.957 2220.43 2092.756
15 2397.907 1921.295 2217.601 2227.465 2111.119
16.25 2414.796 1934.142 2232.482 2242.41 2124.384
17.5 2422.819 1946.336 2233.622 2250.592 2126.867
18.75 2408.324 1937.54 2206.31 2235.739 2102.174
20 2370.158 1905.957 2175.028 2197.014 2059.666
21.25 2337.297 1883.478 2150.722 2154.681 2032.155
22.5 2323.972 1868.809 2139.139 2142.922 2045.932
23.75 2342.721 1875.816 2163.184 2164.668 2075.862
25 2383.579 1901.101 2199.993 2210.051 2115.324
26.25 2415.147 1925.603 2232.432 2246.236 2152.26
27.5 2433.291 1938.108 2253.329 2248.722 2169.718
28.75 2442.061 1945.383 2257.541 2252.986 2172.884
30 2456.736 1958.165 2264.395 2269.954 2185.618
31.25 2459.824 1972.924 2278.56 2283.717 2195.348
32.5 2458.222 1973.725 2281.428 2285.479 2198.94
33.75 2457.882 1968.171 2270.311 2280.295 2197.404
35 2418.432 1928.592 2233.291 2245.961 2162.084
36.25 2305.92 1844.32 2126.802 2131.765 2071.263
37.5 2150.425 1723.017 1981.601 1987.015 1935.91
38.75 2010.564 1599.648 1846.448 1853.494 1809.472
40 1910.1 1523.822 1760.708 1770.521 1732.084
41.25 1868.685 1488.436 1719.877 1729.599 1690.06
42.5 1854.154 1479.966 1704.176 1711.384 1672.576
43.75 1845.35 1483.293 1700.293 1700.329 1669.212
45 1861.727 1498.434 1704.357 1704.192 1677.469
46.25 1911.725 1527.133 1731.354 1738.042 1706.837
47.5 1993.643 1590.446 1801.506 1800.145 1755.197
48.75 2090.615 1664.413 1895.992 1892.219 1835.625
50 2169.505 1729.647 1982.858 1977.814 1914.337
51.25 2216.788 1774.318 2034.687 2034.312 1977.355
52.5 2234.06 1782.413 2048.899 2051.872 2000.027
53.75 2217.447 1757.074 2020.936 2029.082 1980.445
55 2149.471 1711.48 1947.002 1960.603 1915.13
56.25 2037.343 1629.56 1821.399 1846.068 1801.494
57.5 1930.449 1520.016 1674.392 1712.51 1666.768
58.75 1804.373 1414.392 1536.013 1576.621 1521.472
60 1715.725 1351.987 1440.219 1484.752 1439.307
61.25 1655.308 1303.846 1388.262 1441.414 1404.152
62.5 1605.897 1271.066 1365.892 1413.567 1376.433
63.75 1569.622 1250.853 1354.304 1385.055 1363.267
65 1544.406 1228.768 1338.95 1364.389 1360.957
66.25 1527.732 1210.185 1332.039 1360.917 1358.877
67.5 1515.277 1198.849 1333.668 1365.643 1362.928
68.75 1492.097 1179.315 1339.136 1356.369 1368.56
70 1453.879 1159.666 1331.094 1340.683 1361.875
71.25 1422.339 1140.137 1309.617 1326.262 1347.623
72.5 1404.103 1121.712 1288.245 1303.909 1328.133
73.75 1390.713 1111.023 1269.719 1285.789 1317.349
75 1429.08 1149.659 1300.523 1320.607 1338.977
76.25 1554.15 1249.334 1432.465 1447.992 1445.709
77.5 1613.908 1299.968 1498.668 1500.791 1511.871
78.75 1571.809 1263.489 1466.144 1464.343 1477.397
80 1532.021 1224.251 1438.878 1426.533 1447.224
81.25 1638.556 1403.734 1643.254 1598.527 1610.334
82.5 2173.088 1948.991 2271.029 2200.577 2179.495
83.75 2970.445 2595.278 3078.405 3021.114 2968.184
85 3588.155 3059.576 3704.721 3604.968 3558.716
86.25 3749.04 3194.711 3909.571 3732.838 3740.086
87.5 3425.931 2914.232 3644.342 3422.797 3447.315
88.75 2953.746 2506.19 3117.761 2926.113 2943.44
90 2800.27 2367.38 2860.385 2715.278 2702.495
91.25 2952.323 2559.685 3091.137 2906.376 2904.847
92.5 3168.836 2820.907 3460.835 3186.607 3185.916
93.75 3294.617 2955.003 3687.002 3357.227 3346.04
95 3364.32 2944.607 3694.33 3365.755 3353.804
96.25 3521.274 2958.512 3601.203 3382.633 3375.011
97.5 3705.578 3028.521 3556.805 3473.836 3478.928
98.75 3831.161 3086.404 3581.614 3573.296 3587.4
100 3891.668 3097.397 3586.214 3619.763 3629.799
101.25 3844.873 3032.552 3533.216 3566.7 3613.274
102.5 3662.946 2888 3397.749 3408.247 3489.526
103.75 3374.483 2660.635 3145.597 3143.848 3233.554
105 3092.467 2450.608 2889.668 2889.213 2965.869
106.25 2983.178 2353.356 2745.836 2765.187 2828.255
107.5 2962.21 2328.94 2722.725 2744.164 2801.665
