YA209_LIGHT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle 5.498 4.083 3.07 2.16 4.397 3.947 4.302 3.71 1.331 1.853 2.625 4.56 3.041 3.505 4.75
whole 313.618 313.84 315.463 317.238 314.8 315.296 314.745 316.344 317.494 317.677 314.456 316.143 314.075 315.337 313.599
RPEtoOLM 67.926 68.313 68.167 68.243 67.888 68.1 68.043 68.091 68.214 67.831 67.517 67.894 67.683 68.186 67.727
RNFL 31.064 30.369 31.624 32.21 30.916 31.935 32.148 33.721 33.993 32.64 32.466 32.764 32.162 31.894 31.914
-3.75 1034.594 867.058 696.188 702.026 1002.156 884.122 721.02 826.943 815.625 668.559 771.396 862.261 843.834 1055.308 816.539
-2.5 1202.664 1026.266 851.757 914.032 1185.036 1085.528 994.391 1083.899 1046.373 979.449 1019.633 1043.582 1096.966 1235.515 992.786
-1.25 1605.863 1411.05 1273.426 1517.657 1674.24 1518.957 1501.023 1619.925 1638.132 1626.291 1512.151 1506.688 1628.409 1685.621 1388.449
0 2155.62 1973.484 1845.151 2351.701 2340.679 2062.408 2071.718 2261.06 2343.958 2493.758 2111.894 2071.64 2219.002 2286.687 1904.558
1.25 2642.621 2503.322 2391.357 3122.61 2917.738 2559.414 2627.837 2890.878 3012.199 3245.887 2695.4 2613.34 2805.66 2822.722 2396.935
2.5 2959.679 2816.912 2759.132 3544.29 3280.432 2879.336 3048.083 3275.306 3383.628 3666.734 3137.953 2917.269 3247.363 3182.262 2739.424
3.75 3132.715 2961.955 2910.158 3566.09 3456.29 3060.582 3281.547 3490.653 3554.247 3613.307 3361.195 3070.457 3504.752 3363.748 2931.729
5 3201.348 3023.953 2948.551 3423.709 3540.433 3141.945 3391.2 3589.322 3613.196 3440.281 3426.045 3160.034 3610.336 3434.827 3011.49
6.25 3211.348 3026.574 2936.508 3255.634 3552.233 3146.23 3394.427 3580.106 3597.496 3293.616 3420.155 3170.05 3626.373 3427.142 3025.102
7.5 3126.781 2953.855 2854.943 3123.413 3471.665 3052.633 3301.393 3479.899 3514.826 3158.165 3353.573 3101.714 3539.37 3348.906 2963.135
8.75 2920.534 2743.444 2656.433 2976.073 3246.178 2843.845 3084.074 3253.063 3284.257 2970.978 3123.026 2907.308 3287.99 3133.061 2783.69
10 2608.457 2422.746 2341.336 2726.345 2856.656 2533.815 2726.867 2857.209 2861.978 2710.602 2737.987 2577.292 2907.346 2747.573 2485.576
11.25 2356.428 2163.368 2075.877 2418.544 2559.855 2282.696 2447.281 2540.423 2557.861 2428.983 2465.466 2326.518 2594.8 2466.166 2261.887
12.5 2230.145 2046.003 1947.188 2190.856 2429.179 2151.337 2310.579 2390.959 2415.89 2182.953 2319.9 2193.305 2452.827 2339.447 2144.187
13.75 2197.802 2024.349 1914.116 2063.245 2398.611 2115.646 2269.168 2357.022 2371.867 2050.605 2283.863 2158.367 2420.306 2301.67 2109.018
15 2207.965 2030.695 1929.945 2026.985 2407.805 2123.605 2275.057 2370.353 2386.068 2026.96 2295.482 2178.272 2432.938 2309.047 2123.408
16.25 2223.191 2037.06 1942.499 2036.599 2418.439 2142.926 2292.398 2389.229 2410.817 2040.228 2311.606 2201.685 2450.168 2323.408 2136.235
17.5 2228.292 2039.765 1949.599 2049.452 2428.193 2147.68 2300.394 2398.865 2419.377 2043.838 2316.43 2204.577 2451.236 2332.927 2131.687
18.75 2218.026 2031.989 1937.631 2041.511 2414.356 2131.717 2288.54 2385.329 2392.485 2024.106 2306.759 2186.906 2437.344 2317.505 2108.682
20 2193.937 2013.533 1914.04 2008.384 2379.348 2102.741 2263.208 2352.86 2354.813 1991.72 2275.178 2146.039 2410.512 2287.29 2081.744
21.25 2173.701 2004.322 1895.445 1975.283 2342.926 2076.699 2237.934 2324.113 2325.07 1959.375 2256.096 2112.556 2386.265 2259.387 2064.504
22.5 2172.342 1998.542 1887.192 1949.94 2322.701 2064.408 2233.819 2317.763 2321.534 1946.515 2256.753 2113.874 2384.206 2253.431 2075.359
23.75 2197.592 2006.06 1901.432 1964.331 2344.442 2081.201 2261.154 2339.001 2347.307 1967.59 2278.54 2142.69 2411.681 2279.138 2101.901
25 2229.569 2043.666 1937.031 2002.075 2392.756 2122.63 2308.121 2383.286 2391.684 1999.081 2317.672 2185.575 2452.553 2311.116 2131.719
26.25 2257.267 2078.264 1961.883 2043.538 2438.371 2155.915 2355.329 2420.642 2433.451 2033.592 2353.054 2216.053 2494.623 2340.149 2157.056
27.5 2272.817 2080.796 1970.196 2044.069 2454.38 2159.749 2372.508 2444.275 2445.16 2051.593 2363.641 2223.052 2514.232 2352.306 2172.031
28.75 2286.267 2085.25 1972.313 2042.278 2460.849 2163.391 2371.085 2464.61 2455.729 2064.741 2366.293 2234.784 2526.153 2362.505 2178.866
30 2304.761 2106.864 1994.449 2061.705 2470.882 2184.164 2388.856 2483.846 2483.33 2081.75 2382.96 2256.037 2543.822 2381.062 2199.168
31.25 2317.084 2123.804 2011.411 2077.207 2484.653 2206.076 2413.62 2489.148 2502.518 2085.902 2406.264 2276.65 2560.559 2387.767 2214.735
32.5 2324.622 2132.847 2018.337 2078.007 2490.316 2216.587 2418.295 2490.975 2512.101 2080.45 2430.574 2285.446 2572.655 2392.948 2223.574
33.75 2323.248 2138.544 2012.045 2081.694 2497.115 2219.295 2410.609 2494.563 2508.737 2080.46 2439.873 2279.068 2577.131 2392.578 2228.13
35 2285.694 2114.037 1986.701 2048.131 2461.529 2186.691 2370.758 2463.651 2473.263 2052.609 2403.346 2240.894 2535.819 2350.343 2192.595
36.25 2176.386 2012.154 1896.192 1948.924 2341.696 2082.501 2269.814 2353.065 2360.013 1957.013 2289.9 2141.007 2416.525 2240.281 2092.434
37.5 2027.865 1862.946 1752.688 1806.055 2170.394 1934.362 2113.225 2186.42 2210.021 1825.312 2131.569 1996.681 2252.474 2087.494 1943.573
38.75 1903.438 1743.285 1634.488 1684.965 2023.71 1805.382 1974.556 2041.042 2064.857 1700.835 1994.279 1865.864 2102.038 1952.009 1820.922
40 1815.849 1662.738 1560.656 1613.927 1930.046 1720.33 1887.077 1953.78 1964.325 1616.884 1900.711 1780.844 2012.392 1866.297 1740.429
41.25 1771.635 1622.566 1525.252 1572.308 1882.935 1677.585 1846.484 1908.833 1913.483 1577.669 1852.648 1740.266 1968.568 1823.783 1696.522
42.5 1755.691 1608.292 1517.097 1558.549 1860.381 1661.93 1832.409 1889.582 1895.526 1559.499 1837.856 1726.92 1952.201 1807.721 1676.774
43.75 1754.475 1607.085 1513.017 1550.029 1852.17 1655.427 1828.47 1888.188 1899.319 1554.055 1837.436 1721.431 1951.305 1807.665 1675.274
45 1759.892 1605.651 1512.743 1551.446 1851.992 1658.647 1832.199 1900.18 1903.881 1559.297 1842.627 1724.645 1951.775 1814.531 1683.815
46.25 1775.441 1620.985 1526.398 1573.744 1867.519 1674.829 1850.928 1925.159 1930.949 1590.452 1869.062 1750.359 1966.886 1831.141 1704.159
47.5 1816.236 1655.07 1568.043 1624.351 1913.902 1712.095 1906.939 1982.655 1996.885 1646.373 1919.46 1803.125 2020.227 1882.238 1749.563
48.75 1893.608 1728.652 1647.165 1716.553 2002.502 1788.96 1993.799 2076.541 2100.376 1723.536 2005.103 1884.325 2111.549 1967.953 1830.001
50 1977.031 1813.613 1731.427 1796.862 2108.198 1888.308 2090.91 2183.625 2191.732 1802.192 2108.419 1970.857 2221.293 2061.297 1912.001
51.25 2055.453 1888.458 1785.302 1851.014 2185.509 1957.45 2156.519 2256.786 2263.155 1853.637 2184.674 2035.091 2297.073 2133.991 1977.119
52.5 2097.447 1927.614 1808.239 1865.978 2220.364 1990.859 2182.919 2280.678 2287.507 1871.362 2218.243 2059.8 2331.242 2156.836 2007.915
53.75 2082.654 1920.35 1801.769 1842.619 2198.79 1973.961 2161.967 2261.655 2266.478 1854.363 2200.027 2038.388 2317.542 2130.304 1986.886
55 2007.725 1854.567 1747.554 1780.541 2117.786 1912.096 2091.471 2185.903 2198.035 1798.59 2128.892 1968.086 2235.845 2054.666 1908.125
56.25 1879.518 1724.502 1638.478 1678.772 1992.154 1782.525 1965.723 2053.177 2070.992 1693.405 1998.572 1841.928 2099.58 1932.065 1782.463
57.5 1721.694 1590.081 1509.436 1558.052 1815.729 1628.993 1816.207 1896.313 1918.106 1563.438 1845.134 1697.697 1922.434 1777.614 1632.883
58.75 1534.377 1429.459 1360.33 1434.849 1615.853 1471.378 1644.407 1729.966 1761.396 1433.378 1674.602 1537.772 1742.55 1614.705 1466.604
60 1441.907 1333.276 1280.119 1343.728 1513.425 1371.482 1548.163 1624.307 1660.5 1354.682 1569.83 1444.763 1639.862 1510.131 1374.874
61.25 1390.865 1295.332 1246.537 1283.283 1465.823 1322.051 1488.504 1577.154 1608.173 1296.709 1524.082 1390.02 1587.301 1455.584 1333.486
62.5 1371.806 1269.453 1228.073 1251.844 1439.121 1300.835 1462.118 1538.834 1574.762 1257.003 1491.101 1365.443 1565.694 1430.901 1309.092
63.75 1366.156 1261.121 1200.783 1241.605 1425.036 1290.398 1452.319 1525.593 1548.727 1240.642 1473.43 1357.007 1543.449 1416.175 1294.167
65 1360.854 1254.595 1195.296 1229.676 1416.404 1285.738 1446.091 1524.306 1534.209 1224.054 1471.208 1344.608 1534.641 1412.469 1297.237
66.25 1369.529 1255.868 1196.673 1220.707 1412.284 1275.84 1450.74 1520.191 1529.354 1221.616 1467.793 1350.697 1536.743 1411.729 1297.947
67.5 1368.679 1257.246 1194.094 1213.742 1421.427 1284.934 1449.504 1522.364 1533.657 1221.388 1470.916 1362.976 1546.839 1417.574 1306.013
68.75 1380.204 1270.543 1192.097 1209.642 1439.865 1304.419 1463.123 1531.829 1534.343 1228.754 1480.162 1371.269 1562.41 1425.898 1321.154
70 1391.076 1275.909 1199.191 1204.33 1450.508 1310.877 1472.865 1532.836 1534.322 1218.903 1488.909 1370.883 1561.473 1427.224 1321.368
71.25 1387.597 1269.052 1184.279 1190.145 1439.711 1298.379 1469.825 1520.885 1519.973 1198.791 1478.274 1364.755 1549.096 1420.686 1323.005
72.5 1367.794 1252.527 1163.131 1175.109 1413.884 1282.625 1449.839 1502.329 1500.872 1171.349 1462.428 1350.422 1535.805 1400.241 1311.14
73.75 1353.546 1238.428 1144.754 1165.815 1391.108 1273.038 1435.833 1488.222 1476.939 1159.422 1448.091 1342.174 1517.904 1381.653 1295.983
75 1382.206 1256.939 1173.939 1193.997 1415.746 1299.654 1466.21 1523.144 1513.53 1186.361 1471.087 1380.342 1544.74 1410.007 1330.362
76.25 1484.62 1363.743 1287.714 1314.199 1545.99 1401.438 1590.517 1658.283 1657.418 1307.003 1608.207 1484.987 1678.087 1534.216 1437.089
77.5 1545.177 1427.426 1347.934 1384.975 1624.403 1464.955 1667.201 1734.478 1747.004 1381.465 1683.181 1550.846 1767.356 1602.852 1508.817
78.75 1514.543 1384.872 1314.941 1350.854 1581.434 1440.874 1633.234 1693.321 1706.991 1337.044 1648.471 1521.915 1731.718 1565.994 1482.426
80 1491.179 1349.91 1269.371 1301.123 1541.618 1425.13 1613.076 1656.913 1659.006 1285.191 1602.9 1501.175 1695.838 1533.205 1471.581
81.25 1650.711 1473.578 1378.376 1448.246 1719.562 1643.458 1862.624 1857.56 1839.417 1490.977 1792.038 1698.684 1891.735 1731.577 1698.809
82.5 2133.245 1939.717 1848.261 2044.507 2375.251 2248.078 2538.339 2529.901 2567.608 2157.26 2445.427 2311.784 2545.151 2362.687 2323.042
83.75 2789.27 2593.875 2494.669 2823.771 3222.234 3018.351 3366.502 3416.644 3498.847 2955.044 3280.325 3100.927 3395.105 3144.669 3018.936
85 3260.114 3098.219 2964.054 3436.732 3892.016 3553.184 3953.38 4076.081 4231.333 3558.105 3874.686 3691.312 4030.714 3729.651 3505.579
86.25 3353.8 3187.016 3044.897 3620.261 4067.751 3668.886 4039.727 4267.353 4428.254 3708.765 4017.118 3852.877 4171.403 3845.291 3600.479
87.5 3058.121 2871.99 2756.059 3333.816 3724.124 3349.459 3646.266 3894.962 4046.834 3402.718 3671.922 3571.538 3817.331 3490.857 3325.876
88.75 2652.021 2440.223 2365.049 2811.698 3137.018 2850.041 3107.856 3318.395 3398.245 2883.05 3150.559 3075.946 3261.273 2983.615 2910.704
90 2483.957 2296.032 2214.772 2575.659 2904.127 2689.203 2938.177 3091.54 3153.197 2630.63 2905.013 2825.182 3009.032 2787.335 2722.262
91.25 2574.648 2398.665 2328.289 2809.111 3104.642 2881.241 3161.169 3325.598 3419.324 2888.974 3038.111 2992.852 3138.372 2959.927 2865.369
92.5 2740.087 2565.054 2507.767 3178.823 3425.541 3154.085 3433.645 3651.469 3824.188 3278.88 3287.752 3308.266 3391.736 3218.466 3055.565
93.75 2904.151 2679.747 2630.432 3418.736 3631.937 3300.881 3604.711 3831.392 4075.175 3517.232 3454.12 3513.072 3569.714 3379.899 3160.956
95 3085.355 2786.474 2703.837 3415.19 3684.389 3322.736 3671.166 3849.417 4050.781 3514.804 3514.597 3557.064 3669.026 3441.616 3216.776
96.25 3321.651 3009.423 2866.062 3280.748 3713.271 3349.787 3763.483 3873.499 3994.409 3393.047 3639.896 3572.125 3828.903 3536.024 3326.136
97.5 3547.182 3243.254 3068.993 3218.344 3799.811 3434.738 3903.451 4003.116 4061.866 3325.256 3851.239 3628.633 4047.58 3685.008 3477.34
98.75 3687.897 3402.722 3212.118 3246.492 3901.44 3513.15 4034.695 4136.3 4155.008 3322.925 4008.472 3718.781 4210.607 3812.887 3619.169
100 3727.245 3456.063 3238.625 3245.329 3943.915 3546.461 4089.242 4185.913 4206.972 3289.162 4079.014 3769.282 4300.457 3859.868 3673.345
101.25 3654.999 3387.258 3153.772 3184.868 3878.91 3487.856 4025.727 4132.339 4171.06 3209.592 4041.493 3738.267 4257.456 3804.904 3630.865
102.5 3471.846 3196.725 2986.577 3038.512 3661.07 3311.553 3828.747 3954.505 3992.609 3071.464 3868.521 3585.515 4056.462 3620.204 3473.601
103.75 3203.555 2922.864 2725.758 2805.437 3334.908 3049.546 3534.021 3642.857 3675.805 2828.072 3579.6 3322.564 3735.703 3331.293 3223.995
105 2993.2 2689.737 2493.126 2574.789 3041.757 2821.027 3290.631 3374.468 3377.336 2560.767 3324.215 3066.336 3480.106 3077.784 2980.241
106.25 2911.713 2609.189 2409.84 2457.902 2933.972 2730.199 3206.668 3261.708 3243.331 2426.863 3215.598 2944.922 3380.443 2985.963 2846.213
107.5 2906.792 2615.515 2413.232 2434.632 2927.786 2717.416 3203.243 3255.45 3225.498 2391.6 3200.07 2921.867 3351.941 2975.353 2801.918
