YA209_DARK-dim 1 2 3 4 5
angle -0.008 -0.06 0.498 0.977 -0.114
whole 315.831 316.988 317.983 316.783 318.968
RPEtoOLM 68.375 67.391 67.571 67.548 67.218
RNFL 31.722 33.05 34.611 32.786 35.643
-3.75 963.699 788.139 863.668 821.623 746.01
-2.5 1148.469 961.052 1020.409 1004.937 951.634
-1.25 1696.367 1549.681 1487.18 1471.191 1581.789
0 2392.264 2316.281 2176.083 2056.341 2411.919
1.25 3089.304 3016.354 2814.298 2584.443 3330.602
2.5 3559.244 3486.516 3171.075 2969.309 3710.888
3.75 3778.72 3715.194 3328.867 3151.137 3738.137
5 3867.407 3836.683 3367.872 3218.62 3668.241
6.25 3870.057 3830.479 3308.971 3227.638 3580.137
7.5 3747.815 3735.753 3190.746 3139.188 3481.576
8.75 3500.573 3471.666 2971.583 2935.363 3284.904
10 3142.693 3029.571 2605.646 2556.214 2921.868
11.25 2810.59 2721.33 2292.989 2279.462 2598.99
12.5 2636.544 2565.076 2133.283 2126.824 2358.699
13.75 2581.222 2504.719 2074.427 2078.599 2248.754
15 2584.941 2508.658 2075.762 2093.189 2239.785
16.25 2602.639 2524.615 2095.998 2115.706 2251.191
17.5 2613.265 2519.115 2093.594 2111.827 2256.137
18.75 2589.765 2505.284 2072.137 2085.881 2237.87
20 2541.254 2477.172 2036.916 2047.438 2191.579
21.25 2511.738 2454.663 2001.518 2012.58 2148.96
22.5 2495.647 2469.126 2000.437 2006.731 2133.493
23.75 2520.168 2488.447 2025.868 2031.658 2154.229
25 2561.892 2527.904 2066.383 2072.04 2201.035
26.25 2603.312 2563.996 2097.023 2105.569 2241.543
27.5 2619.694 2585.193 2105.734 2115.742 2261.282
28.75 2631.285 2601.882 2108.121 2116.446 2262.729
30 2651.976 2611.496 2109.986 2133.264 2273.812
31.25 2669.094 2610.15 2110.883 2145.513 2278.248
32.5 2672.511 2604.435 2107.191 2148.433 2278.679
33.75 2652.952 2599.404 2105.647 2148.869 2271.219
35 2613.333 2559.928 2073.318 2109.297 2227.531
36.25 2490.923 2453.034 1980.752 2006.054 2123.744
37.5 2322.397 2305.235 1843.295 1868.304 1982.7
38.75 2165.916 2171.667 1724.268 1747.302 1855.314
40 2070.601 2078.981 1642.149 1677.179 1772.286
41.25 2035.957 2028.817 1600.351 1644.612 1722.852
42.5 2036.508 2009.831 1588.221 1623.889 1705.86
43.75 2039.819 2011.367 1586.989 1624.258 1704.763
45 2057.021 2029.857 1599.8 1631.435 1722.147
46.25 2111.779 2078.137 1634.209 1653.82 1758.297
47.5 2202.542 2162.982 1693.143 1714.329 1821.519
48.75 2313.2 2262.382 1780.646 1804.964 1913.358
50 2408.445 2344.661 1873.29 1898.027 2001.718
51.25 2457.689 2402.153 1929.705 1957.186 2051.695
52.5 2458.599 2430.921 1937.582 1965.739 2056.011
53.75 2432.595 2412.706 1908.055 1945.334 2026.907
55 2378.275 2345.676 1839.614 1883.21 1962.233
56.25 2265.559 2231.456 1738.462 1774.105 1857.632
57.5 2120.854 2092.536 1616.094 1647.628 1731.948
58.75 1997.414 1953.047 1487.344 1504.219 1599.291
60 1913.071 1870.507 1406.988 1419.484 1520.285
61.25 1863.9 1825.918 1357.988 1378.883 1471.551
62.5 1820.17 1779.26 1328.896 1353.419 1436.95
63.75 1785.248 1747.637 1307.474 1336.884 1412.202
65 1751.401 1731.631 1301.078 1327.414 1395.797
66.25 1736.403 1714.578 1298.525 1325.333 1388.945
67.5 1719.591 1692.545 1290.237 1317.962 1374.609
68.75 1668.689 1675.571 1277.176 1311.53 1358.097
70 1619.657 1643.963 1268.552 1299.24 1337.147
71.25 1602 1616.404 1248.629 1284.268 1313.826
72.5 1571.533 1605.32 1223.582 1260.034 1283.894
73.75 1546.049 1603.415 1204.908 1247.725 1274.854
75 1591.543 1658.1 1240.532 1271.933 1321.944
76.25 1734.118 1753.393 1354.815 1400.177 1436.986
77.5 1798.204 1788.342 1422.973 1452.364 1493.403
78.75 1751.793 1769.004 1376.817 1409.021 1459.425
80 1708.716 1792.212 1322.767 1371.237 1442.816
81.25 1855.848 1992.934 1451.611 1499.773 1679.133
82.5 2364.622 2487.673 1998.623 1997.157 2319.495
83.75 3080.814 3036.868 2761.395 2758.745 3104.981
85 3606.169 3365.04 3377.46 3330.898 3697.687
86.25 3683.28 3349.476 3547.217 3471.601 3870.504
87.5 3344.208 3039.294 3244.009 3162.425 3594.989
88.75 2923.783 2666.186 2742.283 2702.751 3118.071
90 2773.464 2463.429 2562.355 2532.282 2898.996
91.25 2805.898 2449.214 2814.953 2690.016 3077.761
92.5 2880.656 2561.809 3139.555 2929.386 3409.233
93.75 3003.773 2862.881 3308.564 3075.937 3636.341
95 3309.154 3379.077 3292.402 3094.686 3626.142
96.25 3771.529 3864.271 3260.355 3155.833 3550.812
97.5 4105.788 4211.793 3299.982 3310.936 3549.897
98.75 4320.027 4401.503 3352.181 3443.213 3586.359
100 4380.263 4451.294 3380.693 3491.165 3586.196
101.25 4278.059 4345.444 3340.201 3447.511 3532.339
102.5 4019.472 4106.644 3172.363 3277.116 3386.327
103.75 3683.929 3816.939 2900.044 3011.453 3129.899
105 3452.299 3611.626 2647.231 2763.355 2865.129
106.25 3386.811 3541.394 2527.476 2655.778 2716.472
107.5 3390.821 3520.844 2496.021 2632.657 2682.736
