YA209_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle 4.006 4.994 4.987 2.236 5.562 3.554 1.22 0.878 5.169 3.091 0.26 8.08 5.282 4.673 1.789
whole 312.353 314.552 315.347 319.018 314.982 314.793 315.238 315.663 314.857 313.624 317.072 317.179 315.647 314.011 316.757
RPEtoOLM 68.411 68.326 68.713 68.108 68.091 67.945 69.462 69.371 68.093 67.921 68.756 66.036 68.66 68.28 68.086
RNFL 29.5 31.386 30.8 33.452 30.972 31.646 31.334 30.622 31.71 30.679 33.305 32.778 31.828 31.104 31.555
-3.75 912.735 689.946 928.683 866.108 1014.234 1008.578 1010.781 1148.987 708.649 895.583 715.471 900.428 1018.919 965.793 1002.774
-2.5 1035.942 888.08 1149.527 1148.357 1195.38 1191.926 1187.531 1321.04 910.704 1053.486 876.315 1096.405 1210.321 1158.726 1240.501
-1.25 1382.405 1347.483 1656.438 1748.359 1617.985 1641.344 1612.357 1817.538 1303.645 1433.634 1284.033 1472.743 1653.079 1633.378 1867.232
0 1880.974 1933.861 2333.569 2388.23 2189.164 2226.227 2174.19 2499.482 1791.165 1933.124 1855.325 1917.545 2216.641 2261.124 2727.055
1.25 2316.947 2497.343 2968.408 3009.561 2712.945 2739.638 2712.91 3090.448 2258.821 2357.654 2367.466 2352 2742.003 2830.153 3543.891
2.5 2593.651 2870.294 3384.048 3401.372 3054.741 3078.122 3065.315 3466.96 2576.058 2660.44 2622.756 2648.276 3083.258 3213.528 3894.084
3.75 2722.614 3052 3585.34 3596.94 3222.33 3257.853 3210.152 3641.709 2750.062 2822.007 2706.267 2808.856 3271.071 3414.707 3841.296
5 2770.462 3122.009 3649.502 3688.394 3290.092 3335.583 3251.464 3684.598 2813.947 2871.191 2722.304 2883.076 3334.146 3487.075 3698.816
6.25 2760.135 3142.071 3650.014 3676.865 3294.657 3347.195 3242.055 3680.593 2829.445 2860.942 2679.9 2895.311 3323.628 3486.475 3564.042
7.5 2675.158 3072.269 3550.18 3558.107 3221.798 3262.61 3157.496 3580.257 2776.981 2780.841 2597.748 2854.915 3235.03 3398.477 3475.063
8.75 2490.71 2864.99 3316.539 3290.543 3020.843 3033.694 2931.485 3321.485 2584.073 2583.98 2415.913 2711.669 3036.016 3163.524 3315.257
10 2206.406 2534.004 2924.614 2895.111 2704.287 2657.719 2579.434 2934.686 2281.075 2272.774 2127.385 2478.24 2711.474 2801.345 2957.822
11.25 1976.038 2266.035 2618.103 2620.676 2446.43 2391.256 2293.427 2608.284 2054.33 2024.114 1894.076 2294.056 2444.67 2510.407 2613.611
12.5 1867.798 2126.09 2467.832 2457.711 2320.795 2263.434 2144.278 2453.519 1945.023 1900.235 1763.824 2202.394 2306.821 2356.947 2360.79
13.75 1838.606 2095.608 2431.004 2397.883 2293.824 2234.447 2115.443 2416.727 1915.242 1871.028 1717.166 2185.574 2277.494 2315.534 2275.009
15 1841.748 2112.521 2448.103 2376.041 2306.37 2243.216 2125.133 2414.105 1924.997 1877.382 1720.206 2197.413 2294.499 2325.441 2272.585
16.25 1857.148 2134.631 2466.888 2369.79 2325.195 2257.3 2136.668 2430.562 1941.551 1891.906 1742.133 2211.651 2314.876 2344.198 2287.666
17.5 1870.414 2144.486 2472.708 2363.935 2328.885 2268.121 2145.947 2441.863 1951.394 1898.021 1745.441 2212.536 2322.65 2344.583 2292.827
18.75 1862.416 2130.634 2461.207 2351.926 2313.049 2252.29 2127.471 2430.304 1939.958 1883.737 1730.271 2195.164 2305.602 2320.153 2265.782
20 1831.508 2101.685 2430.647 2341.995 2283.939 2219.356 2099.67 2407.491 1911.567 1854.333 1707.847 2169.783 2275.057 2276.388 2223.223
