AD439_DARK 1 2 3 4 5
angle 3.816 -4.653 -4.106 -4.79 -2.189
whole 347.151 349.087 348.856 348.262 349.369
RPEtoOLM 67.98 69.939 69.98 69.348 69.278
RNFL 36.916 36.22 34.72 35.647 37.062
-3.75 798.54 657.16 820.183 670.126 789.914
-2.5 1008.687 838.554 1150.434 938.161 1057.475
-1.25 1513.285 1403.434 1722.509 1421.305 1632.037
0 2190.912 1976.819 2454.421 2015.626 2406.558
1.25 2903.496 2540.474 3145.984 2600.954 3206.699
2.5 3262.502 2935.247 3599.237 2985.676 3608.304
3.75 3429.55 3161.692 3841.963 3197.478 3743.941
5 3530.99 3273.152 3946.122 3306.565 3809.52
6.25 3571.655 3296.611 3971.795 3359.956 3869.437
7.5 3532.634 3221.282 3905.32 3304.39 3825.766
8.75 3323.948 3051.58 3647.935 3112.586 3581.742
10 2917.814 2785.423 3272.134 2811.201 3137.446
11.25 2592.777 2551.59 2951.046 2561.799 2789.092
12.5 2447.878 2454.401 2831.108 2468.767 2648.795
13.75 2409.778 2439.74 2805.534 2447.835 2619.81
15 2417.3 2449.042 2809.604 2463.598 2615.36
16.25 2438.265 2450.255 2821.391 2489.967 2635.23
17.5 2447.367 2436.028 2815.239 2486.865 2646.426
18.75 2436.34 2415.057 2777.409 2462.603 2609.576
20 2404.83 2395.846 2741.077 2434.439 2586.679
21.25 2382.53 2379.619 2729.534 2418.926 2571.629
22.5 2383.798 2383.268 2734.352 2417.847 2566.35
23.75 2404.352 2403.287 2748.264 2446.858 2606.414
25 2432.989 2448.59 2787.951 2499.956 2665.897
26.25 2455.695 2485.143 2812.633 2542.493 2701.644
27.5 2479.777 2493.653 2796.829 2555.466 2706.162
28.75 2496.842 2509.832 2796.637 2559.33 2710.017
30 2517.061 2526.813 2815.565 2586.702 2732.033
31.25 2523.123 2517.216 2816.15 2598.406 2740.11
32.5 2525.879 2510.239 2807.421 2590.654 2747.839
33.75 2543.361 2515.361 2810.371 2589.822 2770.835
35 2518.037 2488.484 2786.032 2562.671 2751.417
36.25 2384.549 2366.961 2642.825 2445.427 2620.246
37.5 2213.868 2203.08 2443.616 2283.24 2418.17
38.75 2085.466 2066.748 2277.788 2142.483 2269.355
40 1999.943 1989.335 2188.361 2058.489 2181.489
41.25 1943.815 1951.008 2138.516 2019.843 2132.448
42.5 1916.872 1935.023 2109.249 2011.994 2113.744
43.75 1917.235 1952.465 2117.583 2021.922 2113.197
45 1927.355 1988.397 2146.928 2053.617 2139.775
46.25 1946.26 2052.019 2212.998 2106.748 2192.659
47.5 2001.19 2129.413 2297.046 2192.803 2279.51
48.75 2084.96 2175.832 2344.105 2253.941 2345.009
50 2160.457 2218.225 2376.653 2291.57 2383.188
51.25 2214.771 2272.549 2430.563 2357.645 2439.177
52.5 2253.754 2354.645 2523.013 2449.409 2513.838
53.75 2260.704 2426.007 2598.981 2511.855 2549.566
55 2203.829 2432.522 2569.718 2509.334 2519.884
56.25 2067.263 2373.887 2463.277 2436.169 2376.347
57.5 1856.459 2273.337 2337.406 2313.702 2193.895
58.75 1648.027 2181.057 2229.121 2177.812 2025.643
60 1537.605 2089.298 2109.384 2067.779 1924.808
61.25 1479.209 1996.68 2015.792 2001.585 1855.143
62.5 1457.705 1924.453 1927.981 1934.337 1805.937
63.75 1446.712 1845.639 1853.471 1856.339 1765.687
65 1449.923 1769.522 1789.585 1780.897 1741.186
66.25 1468.111 1698.511 1726.571 1724.301 1718.567
67.5 1484.758 1628.045 1675.526 1672.041 1708.253
68.75 1504.703 1572.802 1630.18 1625.3 1708.874
70 1521.87 1553.509 1603.727 1603.053 1702.219
71.25 1517.181 1536.921 1586.288 1589.524 1689.178
72.5 1491.719 1518.109 1567.28 1564.507 1672.068
73.75 1475.719 1507.881 1553.867 1542.184 1659.404
75 1515.036 1560.38 1605.741 1590.365 1712.759
76.25 1659.929 1698.39 1733.447 1739.365 1903.809
77.5 1752.723 1769.211 1796.203 1831.093 2019.018
78.75 1708.658 1724.192 1750.384 1778.224 1949.019
80 1660.338 1668.24 1696.557 1694.168 1857.643
81.25 1893.577 1755.418 1788.171 1733.614 1997.91
82.5 2669.526 2104.233 2158.247 2056.221 2684.926
83.75 3692.197 2647.606 2746.543 2667.825 3735.036
85 4552.792 3080.871 3229.578 3228.375 4653.933
86.25 4827.161 3150.133 3320.341 3406.941 4977.03
87.5 4439.797 2841.108 3021.211 3134.228 4554.533
88.75 3733.812 2456.41 2622.566 2689.098 3798.885
90 3351.39 2337.382 2484.198 2474.615 3428.921
91.25 3652.685 2448.249 2571.785 2543.592 3692.386
92.5 4185.095 2628.674 2748.802 2717.377 4169.307
93.75 4501.924 2916.536 3029.959 2969.37 4505.922
95 4460.438 3289.657 3390.283 3303.408 4546.211
96.25 4232.848 3653.579 3773.386 3636.203 4483.175
97.5 4175.706 3979.215 4141.114 3934.929 4581.389
98.75 4368.983 4231.838 4363.715 4154.821 4796.613
100 4481.402 4201.496 4333.677 4148.118 4876.524
101.25 4330.528 3933.3 4065.589 3871.091 4667.007
102.5 4022.071 3576.146 3667.617 3449.435 4295.15
103.75 3633.394 3182.912 3233.758 2961.643 3819.469
105 3199.401 2887.163 2898.071 2552.528 3332.377
106.25 2885.452 2708.153 2697.847 2321.382 3027.735
107.5 2718.609 2576.947 2554.207 2166.954 2851.179
