AD439_LIGHT 1 2 3 4 5
angle 1.316 -0.13 -1.863 -0.963 -1.224
whole 347.84 348.149 348.442 348.602 349.013
RPEtoOLM 68.905 68.404 68.895 68.983 68.666
RNFL 37.747 37.293 37.649 37.667 37.325
-3.75 607.766 608.933 823.081 745.112 545.229
-2.5 829.449 728.262 1013.06 893.973 774.791
-1.25 1392.527 1252.21 1647.103 1506.264 1258.989
0 2063.664 1992.132 2400.875 2262.957 1801.053
1.25 2786.678 2658.024 3162.937 3064.438 2368.649
2.5 3162.966 2993.442 3570.098 3471.859 2715.721
3.75 3316.151 3123.935 3726.355 3625.75 2889.011
5 3401.796 3205.56 3782.75 3667.817 2973.644
6.25 3443.3 3234.453 3813.809 3708.938 2998.079
7.5 3361.621 3153.041 3745.877 3667.561 2945.838
8.75 3117.311 2959.581 3533.462 3458.798 2770.802
10 2758.357 2582.064 3069.358 3022.623 2456.34
11.25 2468.149 2283.151 2731.749 2665.295 2204.554
12.5 2335.237 2175.892 2610.096 2524.375 2091.885
13.75 2302.448 2158.105 2580.267 2489.79 2063.95
15 2317.525 2150.677 2586.89 2504.016 2064.688
16.25 2333.107 2157.714 2587.028 2510.39 2081.715
17.5 2325.568 2152.598 2581.479 2498.13 2096.406
18.75 2294.279 2115.926 2566.292 2483.562 2082.203
20 2258.346 2100.577 2543.518 2463.793 2067.264
21.25 2241.987 2086.344 2533.255 2448.452 2050.279
22.5 2252.443 2077.386 2538.555 2445.757 2052.297
23.75 2288.996 2122.344 2551.653 2483.411 2068.542
25 2337.246 2165.492 2587.322 2545.386 2090.735
26.25 2355.732 2188.413 2626.747 2602.205 2117.36
27.5 2354.957 2182.722 2623.014 2611.691 2124.49
28.75 2381.946 2179.605 2622.666 2593.788 2134.696
30 2418.664 2210.352 2647.55 2614.758 2172.574
31.25 2414.439 2202.442 2662.824 2626.644 2188.133
32.5 2388.009 2186.847 2661.108 2598.259 2181.952
33.75 2403.446 2223.721 2692.637 2609.735 2197.061
35 2404.432 2207.678 2690.992 2602.661 2187.55
36.25 2292.861 2093.018 2575.264 2472.774 2082.526
37.5 2120.562 1925.678 2376.86 2283.958 1941.427
38.75 1989.239 1804.682 2208.064 2147.86 1820.304
40 1915.388 1749.664 2115.696 2070.053 1744.176
41.25 1881.011 1709.192 2082.324 2022.816 1710.205
42.5 1874.627 1687.436 2070.574 2007.836 1698.591
43.75 1866.612 1677.9 2079.807 2017.459 1703.369
45 1880.233 1700.172 2110.734 2046.439 1730.113
46.25 1929.447 1739.889 2164.733 2097.128 1767.364
47.5 2008.228 1798.922 2245.763 2179.7 1829.142
48.75 2076.579 1859.859 2314.581 2241.191 1887.209
50 2108.245 1902.668 2353.489 2286.78 1922.493
51.25 2145.904 1932.845 2388.805 2317.033 1966.967
52.5 2188.336 1974.537 2438.718 2363.439 2015.017
53.75 2213.917 1997.353 2471.212 2410.346 2043.709
55 2204.295 1974.679 2437.113 2386.941 2020.037
56.25 2103.505 1879.59 2312.004 2257.516 1916.245
57.5 1913.951 1735.341 2139.637 2069.173 1767.827
58.75 1750.559 1578.164 1980.504 1912.606 1637.456
60 1668.591 1492.219 1861.103 1791.558 1556.162
61.25 1610.033 1423.992 1784.101 1735.589 1492.654
62.5 1569.609 1371.676 1739.874 1695.886 1448.408
63.75 1539.63 1349.376 1716.576 1659.502 1419.106
65 1516.828 1302.092 1671.181 1633.476 1402.73
66.25 1500.491 1281.035 1650.079 1625.092 1391.509
67.5 1495.667 1294.604 1649.641 1632.037 1387.585
68.75 1499.495 1308.235 1651.116 1642.897 1394.316
70 1497.959 1283.104 1641.081 1636.812 1402.048
71.25 1489.629 1284.047 1625.192 1618.52 1398.569
72.5 1465.668 1288.717 1607.794 1605.31 1376.923
73.75 1452.581 1251.272 1594.555 1577.673 1363.579
75 1520.206 1300.581 1645.233 1631.379 1419.096
76.25 1699.644 1491.753 1835.168 1826.252 1584.268
77.5 1801.535 1591.875 1942.17 1953.656 1667.964
78.75 1736.652 1524.545 1877.893 1890.677 1614.02
80 1636.024 1439.597 1784.056 1791.731 1543.481
81.25 1757.336 1610.323 1915.339 1948.468 1682.293
82.5 2335.424 2301.301 2622.008 2647.557 2263.467
83.75 3273.766 3219.032 3686.589 3726.316 3104.203
85 4086.27 3964.415 4547.278 4616.766 3809.656
86.25 4404.47 4132.408 4824.415 4970.385 4011.203
87.5 4076.378 3717.512 4404.232 4615.695 3654.152
88.75 3373.226 3065.011 3663.108 3835.196 3049.02
90 3024.812 2807.142 3327.814 3419.243 2741.342
91.25 3244.309 3054.069 3521.313 3702.803 2901.912
92.5 3615.124 3527.836 3929.534 4116.707 3212.303
93.75 3885.674 3825.248 4249.177 4468.923 3491.928
95 3926.477 3745.378 4310.561 4555.454 3600.197
96.25 3804.97 3551.554 4229.097 4424.689 3623.755
97.5 3825.967 3536.058 4273.885 4399.08 3706.049
98.75 4005.776 3707.249 4496.393 4596.97 3899.675
100 4111.26 3790.983 4615.896 4726.385 3953.524
101.25 3998.092 3645.64 4455.304 4573.702 3778.063
102.5 3694.592 3369.862 4069.969 4194.854 3488.597
103.75 3253.002 2989.786 3556.837 3694.782 3106.122
105 2778.786 2588.696 3073.197 3193.049 2688.679
106.25 2458.083 2346.466 2769.236 2861.451 2420.181
107.5 2299.118 2219.603 2584.365 2669.429 2270.641
