AD057_DARK 1 2 3 4 5
angle -0.631 -4.262 -2.744 -2.652 -4.845
whole 338.336 337.533 338.407 337.576 337.693
RPEtoOLM 68.266 68.545 69.705 68.614 69.228
RNFL 39.137 37.018 36.682 36.696 36.015
-3.75 418.694 431.252 560.992 442.148 466.429
-2.5 607.501 681.061 707.766 674.271 606.156
-1.25 1060.863 1210.747 1235.45 1150.534 1118.799
0 1519.603 1753.15 1754.035 1639.532 1633.351
1.25 2005.997 2399.385 2334.645 2206.23 2188.999
2.5 2409.294 2865.91 2745.488 2664.067 2620.047
3.75 2605.851 3088.583 2937.942 2894.682 2853.632
5 2681.92 3224.921 3031.429 2981.221 2965.767
6.25 2733.227 3272.639 3062.66 3021.873 3021.268
7.5 2688.19 3230.437 3027.631 2965.856 2979.032
8.75 2519.9 3056.687 2875.455 2800.277 2810.856
10 2190.784 2708.42 2525.962 2489.638 2521.986
11.25 1968.702 2434.721 2264.138 2234.627 2287.503
12.5 1854.706 2310.345 2141.071 2106.802 2169.929
13.75 1813.782 2282.235 2116.732 2071.768 2121.472
15 1821.91 2291.727 2120.269 2068.651 2109.053
16.25 1841.046 2313.187 2130.674 2085.976 2114.795
17.5 1861.403 2337.171 2156.577 2118.261 2142.759
18.75 1894.645 2369.538 2192.27 2150.188 2186.911
20 1934.021 2412.785 2226.147 2184.775 2221.129
21.25 1955.212 2442.566 2251.976 2207.802 2227.769
22.5 1948.688 2454.685 2252.108 2214.35 2215.392
23.75 1939.381 2449.718 2241.663 2222.181 2212.33
25 1938.66 2436.098 2242.759 2238.617 2224.123
26.25 1941.478 2447.456 2262.257 2257.649 2240.755
27.5 1945.867 2451.594 2272.937 2259.663 2237.34
28.75 1955.962 2450.614 2283.719 2257.766 2238.374
30 1973.062 2484.299 2304.069 2284.403 2246.87
31.25 1985.074 2513.19 2314.076 2307.43 2263.274
32.5 1987.255 2517.409 2314.253 2301.712 2267.714
33.75 1989.358 2512.025 2310.461 2299.07 2262.824
35 1967.121 2483.754 2291.485 2285.695 2235.798
36.25 1880.864 2373.836 2185.659 2191.887 2131.856
37.5 1743.737 2202.952 2027.303 2037.788 1980.124
38.75 1619.871 2049.08 1888.66 1908.469 1849.307
40 1553.066 1964.297 1811.617 1820.584 1764.437
41.25 1518.563 1928.934 1770.1 1790.376 1717.31
42.5 1509.255 1914.059 1761.849 1782.066 1710.336
43.75 1514.169 1922.269 1773.501 1787.7 1719.351
45 1537.413 1943.607 1808.525 1811.916 1735.834
46.25 1586.974 1996.412 1867.067 1867.198 1779.46
47.5 1659.265 2095.963 1954.938 1947.593 1848.539
48.75 1719.367 2182.648 2022.663 2002.66 1888.038
50 1757.42 2222.421 2068.998 2048.243 1921.176
51.25 1799.276 2267.523 2131.835 2105.428 1966.956
52.5 1835.695 2299.122 2173.153 2152.305 2020.46
53.75 1841.49 2333.933 2171.202 2191.443 2085.434
55 1804.265 2363.545 2157.63 2212.145 2136.242
56.25 1738.246 2327.056 2094.182 2178.115 2133.507
57.5 1658.431 2238.449 1981.926 2083.007 2061.307
58.75 1589.753 2173.499 1875.081 2009.392 2000.731
60 1521.692 2111.054 1801.889 1948.962 1960.484
61.25 1467.237 2033.625 1746.13 1886.284 1911.652
62.5 1425.386 1957.266 1690.92 1810.02 1861.088
63.75 1381.514 1875.34 1641.222 1752.534 1781.802
65 1337.032 1793.568 1590.247 1678.161 1668.086
66.25 1297.323 1710.276 1537.907 1598.791 1557.238
67.5 1265.474 1639.847 1497.707 1536.076 1456.875
68.75 1240.002 1579.241 1480.731 1496.704 1365.334
70 1227.118 1550.136 1470.253 1471.968 1316.284
71.25 1225.619 1539.425 1468.023 1462.079 1303.842
72.5 1224.273 1529.514 1458.382 1457.632 1298.656
73.75 1228.483 1532.528 1455.459 1457.171 1298.158
75 1274.634 1587.175 1521.12 1522.733 1344.462
76.25 1417.826 1749.507 1672.413 1690.516 1462.879
77.5 1499.184 1849.548 1758.002 1788.578 1536.909
78.75 1443.864 1775.795 1701.687 1728.134 1489.522
80 1346.804 1669.411 1607.351 1621.08 1413.668
81.25 1370.89 1662.915 1619.706 1625.261 1431.488
82.5 1684.825 1957.253 1909.522 1973.568 1736.401
83.75 2277.13 2675.824 2517.214 2768.738 2324.561
85 2918.831 3522.702 3198.223 3612.366 2933.502
86.25 3275.483 3970.127 3554.685 4095.196 3206.711
87.5 3174.229 3788.925 3363.294 3924.8 2980.068
88.75 2660.452 3128.574 2816.702 3253.454 2460.11
90 2189.456 2623.219 2406.209 2654.148 2094.359
91.25 2227.322 2659.383 2406.971 2690.784 2107.993
92.5 2604.746 3047.93 2688.407 3129.415 2324.786
93.75 3064.838 3576.145 3116.146 3682.973 2640.499
95 3418.854 3996.658 3525.717 4086.792 2947.38
96.25 3540.622 4168.371 3805.291 4191.012 3146.914
97.5 3521.153 4237.074 4028.566 4137.22 3335.717
98.75 3543.874 4387.528 4277.156 4187.538 3542.171
100 3614.776 4464.861 4354.339 4296.694 3625.769
101.25 3523.843 4295.045 4187.891 4201.671 3506.48
102.5 3282.647 3964.592 3904.128 3930.245 3259.013
103.75 2961.04 3533.409 3518.398 3548.954 2926.19
105 2586.709 3058.34 3085.81 3085.664 2545.204
106.25 2315.424 2741.489 2819.24 2713.855 2278.6
107.5 2191.449 2609.612 2697.764 2543.975 2147.77
