AD057_LIGHT 1 2 3 4 5
angle -1.476 -2.049 -3.131 -1.662 -1.728
whole 336.712 338.144 337.224 337.666 337.926
RPEtoOLM 68.857 69.295 68.459 69.144 68.682
RNFL 37.776 35.528 38.694 37.216 37.442
-3.75 688.414 502.583 519.694 540.626 499.359
-2.5 816.342 655.318 720.713 708.292 691.77
-1.25 1332.351 1141.604 1286.592 1159.074 1163.991
0 1980.534 1651.892 1875.668 1659.018 1653.383
1.25 2669.428 2204.743 2536.728 2203.383 2199.65
2.5 3190.582 2637.058 3045.102 2591.666 2634.76
3.75 3475.161 2833.987 3284.615 2785.274 2854.029
5 3559.758 2934.48 3378.796 2853.812 2920.696
6.25 3615.23 2954.161 3413.264 2885.453 2966.315
7.5 3551.642 2857.628 3361.934 2846.78 2925.045
8.75 3341.484 2695.377 3181.531 2665.461 2739.77
10 2961.87 2407.286 2805.81 2317.013 2408.258
11.25 2645.307 2151.323 2522.904 2067.801 2151.248
12.5 2469.809 2013.698 2364.764 1945.711 2013.009
13.75 2404.96 1971.416 2312.89 1913.807 1974.856
15 2409.156 1967.402 2308.415 1913.6 1967.15
16.25 2430.392 1987.402 2330.936 1933.407 1978.591
17.5 2457.839 2012.171 2362.11 1963.422 2007.952
18.75 2484.82 2040.587 2403.666 1989.688 2039.878
20 2526.51 2071.756 2436.497 2008.804 2064.97
21.25 2564.005 2099.36 2461.722 2019.952 2077.276
22.5 2567.416 2106.054 2466.756 2029.386 2078.065
23.75 2563.161 2112.196 2456.697 2036.277 2086.777
25 2566.835 2142.079 2452.789 2055.119 2094.858
26.25 2556.483 2156.927 2470.861 2082.391 2112.706
27.5 2552.662 2153.373 2481.338 2093.49 2122.209
28.75 2554.328 2120.137 2485.235 2087.713 2121.494
30 2569.57 2126.921 2507.622 2099.949 2154.676
31.25 2589.223 2152.921 2531.86 2119.147 2162.473
32.5 2608.54 2163.386 2537.827 2110.492 2162.484
33.75 2632.193 2175.588 2540.066 2126.054 2165.26
35 2589.588 2144.932 2516.27 2112.061 2140.576
36.25 2477.962 2038.43 2401.772 2012.427 2041.535
37.5 2294.112 1907.793 2228.6 1854.891 1902.364
38.75 2130.14 1775.123 2077.638 1728.758 1767.009
40 2042.475 1689.934 1986.985 1661.83 1685.43
41.25 1998.683 1660.266 1938.108 1621.565 1651.001
42.5 1983.473 1642.389 1928.791 1601.351 1645.784
43.75 1987.64 1651.121 1933.043 1602.801 1642.078
45 2004.549 1672.234 1955.176 1618.102 1662.022
46.25 2043.221 1708.811 2002.893 1653.964 1705.106
47.5 2136.964 1774.845 2091.177 1717.606 1768.924
48.75 2218.116 1834.259 2165.613 1774.642 1822.555
50 2260.986 1864.416 2219.814 1818.485 1865.979
51.25 2292.186 1875.467 2259.768 1860.775 1913.798
52.5 2356.779 1919.939 2288.533 1893.688 1947.637
53.75 2388.907 1969.769 2305.923 1920.785 1966.75
55 2376.459 1996.302 2295.547 1922.283 1958.628
56.25 2301.468 1952.713 2240.216 1862.377 1893.855
57.5 2200.985 1877.975 2150.83 1773.125 1799.494
58.75 2101.86 1810.598 2077.708 1698.868 1725.184
60 2007.549 1742.929 1994.977 1622.776 1648.811
61.25 1915.941 1682.053 1912.556 1558.548 1585.066
62.5 1851.923 1622.75 1837.636 1502.89 1525.913
63.75 1792.179 1560.659 1784.693 1453.125 1484.418
65 1737.035 1479.404 1735.396 1405.488 1437.56
66.25 1676.673 1422.144 1668.53 1367.651 1387.509
67.5 1618.18 1383.845 1612.914 1330.59 1346.386
68.75 1606.362 1351.147 1577.007 1306.334 1316.933
70 1600.618 1343.471 1555.401 1296.337 1300.207
71.25 1574.604 1332.104 1549.45 1288.272 1291.363
72.5 1559.09 1315.709 1545.796 1276.926 1288.854
73.75 1562.849 1309.951 1551.329 1284.336 1300.007
75 1647.525 1364.057 1623.994 1365.435 1378.611
76.25 1828.867 1527.436 1820.14 1572.027 1552.092
77.5 1946.898 1632.817 1939.439 1698.363 1668.519
78.75 1860.549 1571.408 1866.082 1611.533 1601.778
80 1742.687 1467.601 1742.922 1466.653 1490.696
81.25 1769.069 1456.969 1832.897 1451.103 1527.715
82.5 2203.024 1784.648 2351.613 1794.333 1987.295
83.75 3122.021 2526.63 3242.782 2548.623 2802.2
85 4049.591 3354.143 4142.201 3440.122 3619.566
86.25 4524.128 3768.715 4621.166 3961.292 4106.947
87.5 4260.412 3561.218 4434.224 3814.098 3958.966
88.75 3430.771 2905.073 3684.674 3131.415 3271.329
90 2832.442 2395.889 3030.949 2556.476 2591.566
91.25 3043.279 2454.165 3069.364 2530.935 2548.108
92.5 3607.785 2857.825 3594.147 2966.532 3018.072
93.75 4259.693 3407.649 4220.092 3550.199 3616.998
95 4704.918 3780.978 4658.18 3992.934 4047.62
96.25 4788.076 3872.408 4755.743 4091.934 4119.412
97.5 4657.443 3824.938 4619.647 3935.757 3921.162
98.75 4646.901 3898.68 4543.053 3849.034 3793.785
100 4714.382 3969.36 4603.149 3866.385 3841.575
101.25 4561.062 3807.368 4511.461 3785.098 3793.201
102.5 4201.039 3539.786 4226.19 3575.244 3546.979
103.75 3735.685 3196.244 3831.478 3258.328 3223.493
105 3255.186 2769.777 3360.242 2846.536 2828.977
106.25 2933.228 2488.111 2977.498 2492.071 2473.387
107.5 2776.275 2366.152 2782.482 2329.165 2297.094
