YA714_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle -5.131 -1.496 -0.134 -1.138 2.433 1.451 3.413 -1.181 -1.003 -1.912 6.155 -2.46 2.798 4.706 3.018
whole 341.357 342.689 342.884 341.217 339.294 342.91 340.559 342.022 341.769 343.869 341.894 342.256 339.966 340.396 341.757
RPEtoOLM 75.213 75.848 75.411 75.326 74.976 75.463 75.123 75.074 75.406 75.025 75.315 75.598 74.858 74.542 74.868
RNFL 35.876 35.334 38.292 37.463 35.761 35.468 35.76 36.033 36.816 38.942 36.591 36.983 36.256 35.494 37.532
-3.75 768.797 772.048 496.574 450.319 535.116 570.758 572.42 863.111 597.258 611.158 532.795 580.891 777.051 630.059 669.534
-2.5 945.947 1075.206 734.59 667.13 772.428 857.731 819.927 1118.019 782.9 695.689 755.946 788.25 1018.076 795.044 874.892
-1.25 1599.748 1711.138 1396.343 1295.235 1324.155 1485.105 1410.075 1743.406 1461.134 1248.504 1273.463 1304.401 1633.739 1325.427 1428.573
0 2419.541 2555.842 2355.247 1986.964 2029.652 2295.795 2128.308 2611.692 2298.94 2093.725 1918.266 2021.81 2416.058 2053.693 2199.036
1.25 3348.155 3491.357 3430.663 2772.195 2800.192 3131.281 2927.808 3510.86 3145.342 3089.034 2644.349 2854.184 3289.215 2792.972 3048.5
2.5 3884.946 3990.867 3673.376 3219.178 3234.953 3594.49 3434.379 4009.133 3649.059 3415.498 3084.225 3267.601 3768.076 3253.874 3465.127
3.75 4125.425 4158.473 3580.831 3419.99 3449.849 3804.096 3609.286 4197.371 3823 3285.053 3277.897 3476.061 3992.285 3451.397 3557.426
5 4162.376 4235.619 3490.742 3459.516 3519.827 3942.829 3651.48 4239.099 3825.421 3223.047 3365.796 3527.27 4078.223 3581.528 3618.723
6.25 4194.397 4275.051 3405.736 3442.976 3579.066 4009.447 3689.319 4260.238 3815.248 3164.713 3425.426 3516.678 4133.235 3637.565 3658.008
7.5 4114.186 4196.99 3284.033 3322.634 3524.333 3920.44 3655.39 4237.831 3735.331 3101.969 3370.769 3413.223 4039.786 3550.851 3609.737
8.75 3809.729 3857.425 3110.49 3108.503 3272.738 3561.098 3337.564 3930.155 3474.877 2907.701 3159.432 3133.951 3721.882 3298.274 3387.211
10 3331.19 3270.824 2637.419 2608.441 2778.109 2999.394 2823.5 3279.622 2957.954 2536.01 2716.555 2683.814 3104.476 2795.145 2837.779
11.25 2972.657 2844.672 2224.857 2231.673 2433.706 2600.961 2467.351 2848.061 2562.193 2213.752 2400.856 2319.013 2736.169 2440.655 2453.666
12.5 2786.988 2685.713 1974.796 2073.071 2273.04 2412.244 2314.929 2661.425 2372.158 2012.423 2259.156 2156.736 2562.16 2274.852 2271.751
13.75 2706.487 2620.101 1882.93 2019.598 2226.895 2359.378 2258.455 2602.387 2307.615 1907.231 2226.598 2100.449 2499.763 2216.533 2222.549
15 2670.485 2576.38 1866.72 1985.315 2206.258 2367.866 2244.04 2582.109 2286.786 1870.92 2224.539 2095.843 2481.491 2213.85 2218.871
16.25 2660.127 2568.054 1856.075 1990.986 2197.479 2371.707 2243.821 2584.892 2298.575 1865.511 2227.611 2120.929 2482.45 2231.009 2225.914
17.5 2679.646 2583.969 1853.671 2014.667 2205.313 2380.801 2251.816 2609.812 2320.622 1875.601 2227.748 2147.347 2502.914 2243.566 2233.041
18.75 2700.811 2610.854 1866.306 2043.838 2210.539 2375.397 2261.215 2636.765 2324.625 1891.344 2235.077 2156.99 2526.234 2250.606 2255.367
20 2704.985 2638.811 1883.612 2054.01 2220.849 2390.921 2283.084 2649.487 2334.523 1888.187 2254.206 2162.043 2531.222 2256.528 2272.726
21.25 2709.526 2642.823 1894.368 2073.99 2235.092 2417.476 2296.058 2660.518 2347.613 1876.666 2272.481 2161.001 2537.137 2271.308 2282.873
22.5 2719.078 2642.792 1908.397 2085.551 2254.433 2436.927 2307.817 2682.51 2355.23 1894.492 2280.732 2159.909 2570.018 2295.085 2304.672
