YA714_DARK-dim 1 2 3 4 5
angle 0.124 1.324 5.348 3.556 0.293
whole 341.087 341.884 340.64 343.011 342.675
RPEtoOLM 75.485 75.537 75.201 75.679 75.281
RNFL 34.784 37.151 35.564 35.761 34.769
-3.75 797.726 608.026 634.865 695.861 445.953
-2.5 1041.398 850.086 859.16 988.628 709.87
-1.25 1721.162 1461.357 1401.756 1698.977 1302.396
0 2689.415 2288.861 2129.324 2547.644 2171.11
1.25 3508.905 3175.171 2952.749 3498.602 3051.843
2.5 3978.474 3695.128 3464.709 4024.836 3524.417
3.75 4083.755 3848.299 3698.097 4231.124 3505.407
5 4115.17 3868.174 3798.054 4291.511 3313.53
6.25 4018.219 3850.735 3843.644 4331.855 3141.605
7.5 3897.104 3827.173 3801.556 4261.408 2985.662
8.75 3618.392 3637.1 3591.53 3990.126 2869.109
10 3099.757 3201.571 3137.662 3392.672 2659.054
11.25 2656.041 2792.968 2736.636 2951.75 2373.11
12.5 2426.761 2479.487 2525.922 2738.581 2057.848
13.75 2353.263 2340.594 2427.946 2665.507 1832.485
15 2336.357 2295.323 2406.051 2641.436 1709.79
16.25 2347.229 2286.287 2394.7 2637.698 1660.89
17.5 2370.968 2294.344 2388.33 2655.202 1654.851
18.75 2377.132 2304.351 2400.052 2672.395 1668.359
20 2374.518 2308.765 2400.731 2678.399 1672.008
21.25 2371.082 2308.268 2392.424 2679.258 1667.544
22.5 2372.177 2303.445 2400.175 2702.557 1671.129
23.75 2378.926 2318.363 2418.572 2725.118 1670.613
25 2385.966 2348.505 2452.276 2758.681 1681.558
26.25 2393.374 2383.891 2461.116 2782.696 1712.593
27.5 2422.073 2395.527 2459.496 2788.89 1744.223
28.75 2453.259 2395.616 2460.166 2786.245 1748.446
30 2478.548 2411.484 2476.302 2804.487 1753.903
31.25 2487.5 2427.87 2486.618 2820.53 1767.572
32.5 2473.537 2405.012 2456.483 2812.091 1750.205
33.75 2457.635 2400.074 2427.825 2795.329 1736.23
35 2442.865 2381.83 2409.503 2759.82 1726.602
36.25 2349.117 2284.775 2305.879 2628.952 1654.349
37.5 2170.985 2103.759 2127.923 2435.377 1518.725
38.75 2030.709 1956.986 1979.227 2287.186 1401.145
40 1931.526 1858.106 1879.192 2187.459 1330.285
41.25 1863.924 1804.661 1817.429 2113.372 1294.777
42.5 1833.141 1775.681 1787.575 2081.653 1277.739
43.75 1816.189 1764.793 1769.202 2085.023 1262.009
45 1825.477 1768.293 1761.048 2104.196 1259.097
46.25 1872.469 1805.47 1771.241 2149.971 1288.634
47.5 1954.19 1889.978 1828.99 2227.358 1348.141
48.75 2056.673 1993.964 1918.965 2313.452 1414.497
50 2154.003 2079.116 1999.732 2401.355 1465.02
51.25 2222.042 2145.084 2064.552 2489.526 1507.812
52.5 2251.411 2178.768 2116.366 2540.182 1539.467
53.75 2267.982 2169.757 2114.246 2517.663 1537.28
55 2238.085 2115.931 2045.591 2427.912 1502.823
56.25 2123.44 2000.521 1892.921 2270.248 1419.355
57.5 1958.767 1847.124 1693.633 2054.663 1299.457
58.75 1834.415 1713.201 1498.334 1859.638 1195.134
60 1747.702 1623.455 1392.792 1743.794 1134.796
61.25 1687.027 1557.557 1346.979 1674.449 1092.813
62.5 1649.786 1519.239 1313.473 1645.263 1068.203
63.75 1604.646 1484.933 1306.17 1630.493 1053.69
65 1577.337 1462.036 1297.96 1618.943 1036.56
66.25 1531.327 1438.917 1290.899 1612.815 1023.384
67.5 1478.518 1411.615 1291.375 1623.479 1001.49
68.75 1449.971 1396.609 1293.361 1634.595 990.797
70 1421.269 1385.797 1305.657 1645.297 981.979
71.25 1393.337 1373.724 1303.278 1637.13 969.531
72.5 1377.13 1361.949 1291.032 1616.861 953.166
73.75 1372.944 1357.231 1280.804 1602.909 941.742
75 1436.852 1395.184 1309.773 1646.956 974.658
76.25 1586.498 1510.353 1406.92 1771.762 1097.742
77.5 1670.096 1579.272 1469.787 1833.221 1152.278
78.75 1602.816 1525.878 1421.341 1781.019 1089.5
80 1502.388 1463.288 1375.92 1732.193 1020.359
81.25 1510.669 1489.614 1396.482 1756.734 1024.681
82.5 1896.162 1845.375 1616.405 1942.936 1277.108
83.75 2818.613 2819.797 2204.521 2480.419 1958.321
85 3944.815 3963.393 2980.897 3110.985 2797.242
86.25 4635.948 4581.905 3428.276 3443.323 3304.397
87.5 4560.193 4368.883 3254.248 3229.956 3137.679
88.75 3799.913 3566.509 2637.363 2655.771 2460.109
90 3196.123 3048.997 2122.351 2212.054 2173.722
91.25 3561.691 3437.625 2074.499 2127.381 2497.025
92.5 4190.221 3926.927 2212.986 2223.27 2882.495
93.75 4436.655 4044.05 2378.854 2516.471 2980.089
95 4139.688 3711.365 2584.095 2996.548 2720.366
96.25 3621.672 3404.277 2811.745 3475.328 2377.594
97.5 3501.664 3424.181 3092.603 3876.589 2361.916
98.75 3681.183 3622.179 3342.275 4141.428 2511.947
100 3749.658 3700.843 3428.644 4196.587 2548.312
101.25 3706.274 3623.145 3379.746 4092.793 2517.013
102.5 3542.439 3412.977 3196.485 3824.565 2395.334
103.75 3173.678 3013.122 2850.474 3413.081 2117.271
105 2740.674 2604.278 2494.375 3029.739 1854.415
106.25 2409.842 2314.141 2223.579 2719.897 1660.573
107.5 2159.074 2076.982 2004.494 2467.707 1492.58
