YA714_LIGHT-dim 1 2 3 4 5
angle 3.871 2.09 4.881 1.427 0.465
whole 339.828 342.557 340.787 344.249 341.715
RPEtoOLM 74.747 75.755 75.205 75.499 75.695
RNFL 34.886 36.964 35.344 37.705 35.295
-3.75 469.922 568.48 502.382 529.442 682.471
-2.5 657.126 824.33 759.333 731.83 955.941
-1.25 1119.236 1452.261 1246.572 1283.286 1624.58
0 1711.137 2293.751 1899.511 2044.362 2474.977
1.25 2379.739 3188.365 2609.265 2907.295 3369.766
2.5 2799.814 3718.062 3047.577 3308.066 3885.956
3.75 2980.39 3779.001 3242.321 3290.658 4105.864
5 3038.638 3696.194 3325.162 3227.772 4149.291
6.25 3047.331 3662.781 3367.07 3241.093 4202.144
7.5 3025.075 3617.155 3341.24 3205.514 4162.376
8.75 2900.505 3476.901 3164.675 2992.243 3861.788
10 2609.168 3101.034 2711.266 2551.096 3304.516
11.25 2280.2 2684.232 2349.18 2203.07 2852.146
12.5 2071.743 2396.232 2172.568 1990.197 2654.49
13.75 1967.782 2221.88 2103.781 1932.296 2573.773
15 1929.012 2146.503 2090.11 1922.684 2539.248
16.25 1911.032 2126.012 2092.956 1941.19 2524.375
17.5 1905.645 2126.354 2102.429 1961.733 2536.845
18.75 1915.854 2117.342 2116.953 1960.716 2548.198
20 1924.12 2111.007 2128.695 1963.833 2543.421
21.25 1937.235 2122.365 2141.553 1964.156 2547.886
22.5 1954.153 2140.258 2155.826 1956.078 2581.316
23.75 1984.294 2159.59 2176.517 1958.446 2605.484
25 2018.638 2179.085 2210.143 1973.373 2620.179
26.25 2036.452 2190.28 2229.559 1995.088 2614.859
27.5 2036.975 2188.691 2229.962 2010.825 2608.803
28.75 2037.227 2186.655 2231.709 2011.279 2625.108
30 2043.292 2198.474 2243.615 2022.688 2648.731
31.25 2055.168 2203.921 2249.599 2026.34 2662.639
32.5 2064.081 2183.81 2249.181 2018.045 2655.619
33.75 2068.041 2173.816 2258.006 2013.52 2640.998
35 2060.602 2168.004 2247.154 1996.654 2627.42
36.25 1974.171 2071.345 2137.79 1909.269 2497.571
37.5 1820.973 1911.815 1962.486 1751.308 2298.298
38.75 1689.09 1765.738 1823.69 1626.618 2132.547
40 1603.502 1666.556 1732.425 1538.377 2031.371
41.25 1571.567 1615.561 1685.153 1489.665 1978.679
42.5 1551.459 1592.183 1659.268 1462.149 1951.664
43.75 1539.062 1587.688 1645.852 1452.487 1940.216
45 1542.797 1583.978 1646.356 1452.549 1942.222
46.25 1557.384 1606.513 1670.337 1474.376 1979.891
47.5 1610.58 1682.987 1733.268 1530.204 2071.214
48.75 1693.958 1771.863 1820.667 1614.602 2171.068
50 1771.172 1831.541 1891.465 1680.431 2249.023
51.25 1837.453 1883.414 1954.671 1736.907 2316.224
52.5 1872.506 1902.879 2003.925 1764.935 2350.111
53.75 1866.464 1886.621 2001.249 1754.69 2356.449
55 1812.237 1836.501 1932.143 1701.324 2290.535
56.25 1694.449 1734.119 1802.37 1592.765 2147.827
57.5 1531.883 1599.309 1626.923 1455.046 1989.315
58.75 1377.98 1478.274 1456.091 1334.471 1845.537
60 1293.301 1398.709 1360.445 1259.569 1742.242
61.25 1245.377 1341.371 1306.795 1210.898 1672.444
62.5 1216.24 1306.934 1280.227 1182.076 1629.358
63.75 1204.186 1281.948 1269.767 1161.122 1586.911
65 1197.137 1253.714 1266.05 1144.28 1568.848
66.25 1196.953 1234.282 1267.042 1129.233 1556.651
67.5 1207.282 1212.762 1270.244 1114.605 1526.259
68.75 1218.039 1204.208 1274.598 1108.606 1509.122
70 1227.086 1198.554 1277.112 1099.299 1500.719
71.25 1224.117 1180.254 1273.979 1087.756 1488.847
72.5 1210.658 1167.702 1259.571 1077.969 1472.31
73.75 1202.835 1159.701 1249.52 1076.58 1463.513
75 1232.719 1189.861 1280.88 1108.257 1497.796
76.25 1328.307 1294.537 1391.573 1215.512 1621.552
77.5 1380.565 1358.226 1446.304 1265.457 1675.984
78.75 1336.104 1307.209 1398.278 1213.464 1631.703
80 1290.851 1251.082 1349.649 1156.349 1572.751
81.25 1310.661 1273.266 1373.817 1189.026 1611.559
82.5 1493.999 1568.94 1596.317 1485.669 1927.783
83.75 2016.043 2331.703 2227.905 2200.306 2716.74
85 2719.108 3327.076 3063.665 3093.075 3605.438
86.25 3153.659 3909.787 3515.533 3618.983 4070.997
87.5 3006.845 3764.654 3307.149 3426.538 3782.229
88.75 2435.149 3024.96 2627.677 2728.927 3068.43
90 1969.236 2541.962 2121.714 2321.475 2531.826
91.25 1913.69 2817.669 2140.565 2573.483 2526.395
92.5 2059.949 3216.612 2316.148 2917.71 2682.973
93.75 2246.494 3338.648 2488.561 3049.351 2834.191
95 2457.173 3119.496 2674.945 2873.228 3028.809
96.25 2644.585 2859.819 2861.678 2660.874 3308.798
97.5 2867.846 2920.401 3044.056 2705.301 3671.972
98.75 3066.754 3124.78 3224.72 2891.101 3906.229
100 3086.754 3196.449 3272.433 2973.21 3970.066
101.25 3008.941 3157.13 3198.351 2939.356 3876.479
102.5 2839.212 3025.648 3001.061 2801.58 3667.197
103.75 2497.359 2721.777 2648.165 2509.623 3304.365
105 2156.814 2380.487 2285.968 2184.522 2928.551
106.25 1912.33 2116.807 2030.707 1947.084 2631.597
107.5 1706.032 1903.345 1824.007 1755.585 2376.894
