YA714_LIGHT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle -0.002 -0.463 3.626 3.5 -0.768 0.508 1.762 1.539 0.513 2.315 1.894 1.926 0.97 0.65 2.887
whole 339.774 340.191 338.897 336.926 339.122 341.876 340.964 341.756 340.496 341.261 341.988 338.668 338.909 338.621 342.57
RPEtoOLM 74.754 75.152 73.889 73.787 74.775 75.457 74.001 75.415 74.898 75.038 74.99 74.089 74.567 74.706 74.583
RNFL 35.486 36.05 36.149 36.14 36.602 35.447 35.871 35.451 35.541 38.123 38.191 36.976 37.637 37.181 39.33
-3.75 770.802 667.364 685.103 524.011 663.227 695.746 590.658 667.178 727.596 660.59 520.689 622.792 690.902 607.929 555.283
-2.5 1013.858 903.758 919.598 724.544 918.261 786.078 765.662 982.549 1005.83 812.368 787.567 830.048 960.619 930.433 824.407
-1.25 1652.737 1539.603 1482.917 1195.262 1494.379 1584.899 1244.713 1615.625 1631.008 1462.898 1371.629 1313.236 1563.377 1611.843 1581.56
0 2471.182 2319.033 2254.472 1803.034 2191.808 2509.098 1951.569 2435.452 2393.309 2303.127 2099.339 1927.889 2322.419 2437.264 2492.072
1.25 3327.462 3119.678 3109.603 2516.391 2972.92 3354.688 2732.251 3227.635 3241.136 3277.112 2845.317 2598.002 3102.328 3325.865 3567.851
2.5 3904.912 3648.204 3599.302 2951.317 3452.939 3915.764 3155.227 3710.021 3747.58 3757.519 3283.004 3039.622 3614.932 3903.89 4122.494
3.75 4139.593 3855.235 3783.635 3142.91 3637.318 4140.622 3314.995 3942.219 3958.035 3884.249 3449.051 3228.448 3833.361 4212.312 4212.94
5 4204.37 3893.516 3889.576 3213.146 3695.266 4242.559 3392.359 4041.779 4051.21 3964.758 3511.541 3304.332 3961.776 4315.21 4213.685
6.25 4220.186 3916.769 3901.604 3252.371 3769.212 4276.825 3444.735 4123.642 4058.506 4006.642 3554.521 3359.275 4010.108 4341.007 4213.788
7.5 4141.467 3841.326 3840.063 3255.417 3754.93 4169.892 3434.318 4091.676 3983.241 3921.223 3500.502 3316.869 3963.413 4264.778 4123.938
