AD459_DARK 1 2 3 4 5
angle 6.047 3.598 0.507 6.244 0.602
whole 317.64 319.256 320.154 318.069 321.06
RPEtoOLM 72.23 73.031 72.267 72.447 72.439
RNFL 27.909 28.374 32.757 27.786 31.984
-3.75 1098.19 763.025 1161.103 827.069 1160.468
-2.5 1251.835 921.322 1315.656 934.438 1387.84
-1.25 1633.043 1348.295 1777.231 1211.173 1927.258
0 2189.903 1850.422 2537.318 1679.31 2718.364
1.25 2681.768 2315.091 3242.812 2080.148 3436.945
2.5 3023.889 2670.824 3529.694 2377.346 3812.376
3.75 3219.052 2896.82 3668.096 2563.929 4014.764
5 3330.329 3023.676 3823.88 2657.281 4143.806
6.25 3366.187 3088.764 3885.773 2670.834 4167.041
7.5 3287.639 3016.563 3817.88 2611.132 4096.487
8.75 3055.953 2768.881 3517.45 2444.965 3763.984
10 2712.228 2412.651 2977.006 2179.206 3248.723
11.25 2456.916 2159.185 2649.502 1969.406 2847.864
12.5 2341.367 2050.797 2476.744 1886.999 2678.871
13.75 2299.735 2023.416 2443.549 1872.948 2598.348
15 2292.113 2017.049 2437.941 1871.883 2571.133
16.25 2310.578 2016.499 2449.763 1885.201 2563.251
17.5 2334.407 2009.774 2460.856 1884.036 2564.098
18.75 2337.626 2013.492 2467.782 1880.097 2557.839
20 2339.537 2023.202 2477.265 1884.069 2567.644
21.25 2345.711 2033.281 2486.881 1898.951 2583.133
22.5 2350.181 2047.017 2496.832 1902.811 2611.841
23.75 2363.874 2045.923 2505.691 1900.366 2602.029
25 2377.015 2026.817 2506.508 1888.925 2598.133
26.25 2376.548 2027.889 2521.008 1889.222 2611.077
27.5 2375.033 2033.454 2540.308 1899.46 2621.588
28.75 2379.627 2037.767 2566.821 1913.818 2616.525
30 2386.564 2048.666 2587.789 1941.762 2631.891
31.25 2403.212 2069.314 2594.664 1958.582 2665.136
32.5 2407.825 2096.109 2605.534 1950.076 2673.454
33.75 2406.017 2107.707 2595.883 1923.018 2669.114
35 2370.713 2067.565 2548.007 1878.297 2621.386
36.25 2265.635 1974.064 2430.604 1805.554 2500.665
37.5 2102.883 1833.532 2263.95 1690.665 2339.069
38.75 1948.802 1687.98 2093.104 1571.487 2178.197
40 1848.062 1595.535 1984.241 1490.895 2053.98
41.25 1794.494 1561.32 1943.414 1447.848 1991.247
42.5 1781.739 1554.072 1935.482 1430.363 1980.476
43.75 1792.694 1561.512 1951.8 1428.882 1990.579
45 1819.273 1583.996 1988.06 1455.552 2006.164
46.25 1852.791 1640.022 2043.873 1505.74 2056.965
47.5 1910.398 1714.079 2126.715 1570.035 2144.156
48.75 1984.357 1769.993 2211.117 1625.858 2229.62
50 2035.111 1803.346 2270.582 1662.392 2291.862
51.25 2067.219 1825.145 2302.091 1684.72 2327.449
52.5 2112.88 1846.845 2328.009 1703.958 2355.639
53.75 2122.164 1838.072 2326.66 1689.682 2369.795
55 2060.8 1767.326 2272.872 1614.341 2325.622
56.25 1918.963 1645.436 2166.616 1472.135 2225.118
57.5 1714.983 1482.913 1998.737 1303.801 2078.997
58.75 1476.436 1300.661 1790.913 1110.154 1861.19
60 1363.176 1207.406 1669.329 999.632 1714.038
61.25 1316.897 1119.904 1599.015 971.723 1640.427
62.5 1299.246 1099.533 1555.746 947.114 1601.622
63.75 1288.25 1103.576 1541.254 944.8 1577.352
65 1292.509 1087.703 1527.566 946.537 1555.641
66.25 1294.308 1104.811 1512.679 979.832 1549.197
67.5 1310.679 1102.793 1507.139 1014.956 1539.769
68.75 1327.994 1113.316 1509.308 1041.886 1509.612
70 1333.732 1110.635 1497.651 1014.598 1492.34
71.25 1317.341 1062.976 1480.528 1031.321 1474.438
72.5 1297.52 1071.774 1463.456 1017.008 1456.701
73.75 1291.923 1050.854 1448.864 999.351 1439.131
75 1302.414 1071.276 1468.184 1040.994 1458.367
76.25 1432.648 1210.34 1637.32 1145.436 1639.766
77.5 1526.852 1303.967 1782.917 1225 1794.783
78.75 1470.337 1249.726 1709.018 1182.607 1710.458
80 1391.313 1176.123 1579.819 1123.636 1572.592
81.25 1383.124 1195.474 1589.725 1125.572 1572.953
82.5 1629.646 1518.759 2042.342 1350.748 1952.961
83.75 2230.132 2079.084 3056.648 1770.633 2924.532
85 2847.88 2639.396 4147.491 2193.135 4099.832
86.25 3113.719 2853.744 4686.503 2374.965 4694.755
87.5 2907.66 2591.499 4367.919 2231.766 4388.884
88.75 2456.282 2190.738 3544.501 1943.076 3542.231
90 2224.87 2048.411 3108.289 1809.764 3071.455
91.25 2344.397 2171.802 3473.222 1874.069 3433.405
92.5 2581.612 2397.417 4018.69 2003.636 4018.252
93.75 2828.745 2602.875 4372.266 2188.295 4380.535
95 3048.225 2725.825 4313.011 2423.771 4312.381
96.25 3265.294 2868.839 4083.735 2657.961 4021.98
97.5 3602.559 3165.864 4108.04 2913.656 4038.967
98.75 3948.413 3476.439 4414.891 3171.932 4324.866
100 4048.593 3555.033 4583.48 3252.995 4452.157
101.25 3883.319 3378.32 4426.116 3115.489 4304.381
102.5 3523.947 3037.819 4001.998 2827.147 3895.7
103.75 3063.287 2645.215 3459.351 2488.281 3352.273
105 2683.32 2378.178 3012.868 2209.661 2918.369
106.25 2460.951 2223.283 2757.211 2037.495 2685.623
107.5 2327.12 2105.459 2598.722 1931.634 2528.932
