AD459_LIGHT 1 2 3 4 5
angle 3.189 4.422 4.293 4.285 3.658
whole 316.15 317.929 315.529 316.587 319.162
RPEtoOLM 72.483 73.151 72.67 72.13 72.229
RNFL 28.06 27.855 27.993 27.861 27.701
-3.75 1159.571 1254.055 803.281 1176.896 1392.322
-2.5 1398.429 1483.137 988.193 1392.487 1684.608
-1.25 1870.814 1944.518 1306.571 1812.761 2223.145
0 2441.542 2590.37 1737.54 2418.924 2915.338
1.25 2911.274 3179.678 2149.543 2981.908 3512.644
2.5 3296.682 3599.01 2471.202 3385.156 4026.314
3.75 3568.161 3857.332 2674.638 3615.02 4341.56
5 3744.337 4014.813 2789.246 3737.244 4487.697
6.25 3807.657 4037.974 2811.045 3760.067 4511.697
7.5 3729.306 3927.558 2729.885 3658.222 4365.975
8.75 3422.883 3623.887 2529.431 3382.67 4027.027
10 2951.423 3173.729 2224.192 2947.597 3500.249
11.25 2605.044 2837.366 1993.602 2642.773 3113.827
12.5 2449.22 2672.045 1878.444 2498.564 2950.727
13.75 2412.728 2609.59 1841.064 2456.423 2890.406
15 2408.902 2601.134 1831.03 2461.076 2865.952
16.25 2413.265 2611.808 1827.552 2470.512 2882.87
17.5 2425.465 2632.083 1825.456 2468.793 2878.706
18.75 2429.69 2636.545 1821.423 2485.145 2872.376
20 2439.752 2632.889 1828.413 2503.073 2881.474
21.25 2461.37 2637.703 1838.015 2509.89 2899.657
22.5 2474.64 2647.56 1850.108 2509.564 2917.417
23.75 2488.298 2658.138 1846.446 2506.891 2906.197
25 2491.837 2662.849 1850.241 2503.876 2870.434
26.25 2498.868 2668.764 1856.582 2525.919 2852.794
27.5 2516.877 2674.544 1854.837 2546.416 2891.275
28.75 2535.384 2700.625 1859.442 2554.221 2918.457
30 2537.658 2729.03 1877.817 2567.44 2931.831
31.25 2548.202 2738.554 1891.574 2604.627 2950.19
32.5 2551.793 2728.71 1899.284 2631.211 2955.346
33.75 2569.357 2701.779 1888.275 2637.319 2953.477
35 2539.305 2654.957 1849.59 2578.369 2896.409
36.25 2418.8 2548.234 1769.809 2456.774 2768.806
37.5 2254.811 2391.925 1655.034 2297.725 2602.157
38.75 2094.784 2232.942 1535.335 2129.208 2410.918
40 1994.976 2115.418 1448.286 2024.059 2276.744
41.25 1939.027 2051.436 1398.59 1965.364 2205.097
42.5 1913.517 2039.521 1386.367 1944.086 2194.005
43.75 1907.879 2040.922 1393.339 1954.33 2209.914
45 1925.087 2065.465 1409.839 1971.869 2234.368
46.25 1981.185 2111.114 1455.47 2013.122 2307.397
47.5 2082.96 2173.555 1516.572 2085.107 2419.584
48.75 2181.196 2235.642 1565.847 2162.11 2507.356
50 2230.689 2278.649 1593.129 2220.279 2544.541
51.25 2257.843 2332.819 1609.072 2257.098 2574.192
52.5 2284.924 2392.791 1623.013 2285.576 2595.923
53.75 2290.745 2401.595 1615.898 2286.744 2585.417
55 2235.347 2335.535 1561.463 2231.53 2514.935
56.25 2112.042 2180.361 1464.764 2097.067 2376.318
57.5 1924.864 1963.31 1330.129 1911.032 2172.523
58.75 1684.703 1719.684 1166.446 1688.134 1890.418
60 1574.251 1606.172 1076.039 1557.736 1742.998
61.25 1522.496 1539.698 1037.577 1512.919 1677.421
62.5 1476.83 1513.905 1026.816 1484.861 1638.638
63.75 1449.613 1506.932 1024.072 1466.137 1613.591
65 1447.973 1506.764 1027.306 1471.433 1611.178
66.25 1455.782 1519.047 1028.453 1476.587 1615.95
67.5 1459.995 1529.063 1031.587 1487.278 1634.283
68.75 1458.42 1536.52 1036.526 1499.818 1646.53
70 1450.95 1529.632 1037.636 1495.006 1639.313
71.25 1446.816 1515.758 1025.896 1475.126 1633.865
72.5 1436.57 1498.528 1015.425 1461.61 1607.818
73.75 1421.712 1483.982 998.731 1444.995 1577.019
75 1425.402 1485.779 998.595 1451.503 1583.369
76.25 1600.126 1656.127 1090.405 1618.854 1754.493
77.5 1734.473 1802.239 1179.354 1750.445 1884.23
78.75 1655.636 1720.041 1135.076 1671.535 1806.199
80 1543.868 1590.554 1068.203 1573.284 1699.323
81.25 1549.981 1585.509 1080.331 1606.073 1739.899
82.5 1961.389 1933.485 1333.809 2000.822 2243.872
83.75 2890.248 2790.161 1874.822 2813.117 3269.843
85 3810.469 3692.014 2399.807 3652.328 4295.229
86.25 4235.961 4132.971 2579.399 4016.119 4737.46
87.5 3922.476 3821.893 2337.528 3727.74 4319.493
88.75 3223.069 3129.183 1944.981 3092.608 3519.351
90 2907.59 2771.303 1817.366 2765.989 3164.144
91.25 3205.708 2977.912 1933.665 2940.843 3449.755
92.5 3607.492 3345.281 2102.293 3279.201 3862.218
93.75 3887.409 3633.872 2287.853 3576.987 4144.997
95 3945.861 3770.353 2431.731 3730.881 4182.632
96.25 3888.83 3888.159 2558.764 3801.817 4137.857
97.5 4038.112 4127.299 2773.862 4077.414 4402.524
98.75 4412.006 4447.325 2999.111 4472.611 4837.51
100 4545.445 4590.591 3020.217 4614.28 5037.678
101.25 4340.386 4430.234 2842.458 4437.573 4877.881
102.5 3876.289 4006.254 2535.12 4036.529 4445.38
103.75 3301.077 3465.061 2197.698 3521.197 3861.215
105 2888.976 3034.714 1965.443 3123.775 3367.237
106.25 2667.094 2786.796 1834.64 2891.547 3086.062
107.5 2506.3 2625.687 1732.136 2718.963 2906.46
