CO015_DARK 1 2 3 4 5
angle -1.511 -0.299 -0.365 -1.466 -1.387
whole 327.901 327.034 327.066 327.566 328.138
RPEtoOLM 64.549 64.523 63.85 64.961 63.862
RNFL 36.908 35.014 37.399 35.644 34.824
-3.75 912.64 1152.915 1040.462 958.642 840.912
-2.5 1142.298 1462.206 1276.224 1173.152 1113.847
-1.25 1535.313 1981.269 1817.571 1606.764 1563.33
0 2022.811 2511.703 2427.708 2087.236 2056.389
1.25 2550.86 3059.691 3113.395 2589.429 2552.714
2.5 2914.727 3434.748 3581.59 2921.37 2931.205
3.75 3060.136 3690.995 3765.98 3087.577 3150.555
5 3107.843 3839.189 3879.491 3177.325 3242.439
6.25 3140.87 3865.503 3926.83 3207.102 3260.766
7.5 3122.433 3803.496 3871.34 3163.811 3195.228
8.75 2926.933 3565.965 3613.861 2963.863 2946.315
10 2555.792 3142.098 3164.68 2615.376 2599.64
11.25 2290.117 2782.127 2817.153 2339.666 2312.378
12.5 2166.577 2642 2675.115 2217.705 2194.759
13.75 2150.71 2621.018 2649.849 2185.116 2187.29
15 2155.765 2626.48 2655.791 2185.456 2193.206
16.25 2151.762 2634.637 2660.763 2202.923 2193.038
17.5 2160.916 2641.815 2656.402 2215.998 2189.581
18.75 2153.858 2634.616 2653.065 2197.332 2185.615
20 2141.627 2621.711 2645.682 2182.067 2178.48
21.25 2125.654 2608.38 2616.754 2173.33 2169.836
22.5 2118.159 2601.224 2592.904 2156.167 2155.261
23.75 2139.743 2615.166 2603.102 2154.866 2164.406
25 2168.087 2650.824 2634.309 2183.355 2211.381
26.25 2199.722 2687.343 2662.74 2207.586 2249.791
27.5 2221.483 2720.524 2688.016 2232.657 2268.537
28.75 2229.442 2725.692 2715.417 2242.538 2280.047
30 2243.482 2731.855 2738.525 2258.844 2285.929
31.25 2259.524 2741.876 2731.065 2265.481 2278.046
32.5 2275.358 2759.632 2728.223 2258.703 2252.861
33.75 2249.4 2732.805 2703.876 2240.301 2237.385
35 2195.697 2661.587 2635.512 2187.819 2183.783
36.25 2091.239 2534.088 2510.183 2084.441 2084.197
37.5 1957.953 2376.189 2341.167 1951.776 1960.894
38.75 1842.036 2230.455 2195.565 1832.123 1859.42
40 1770.433 2137.612 2127.81 1760.597 1799.329
41.25 1730.61 2101.503 2077.671 1711.367 1752.787
42.5 1715.226 2083.382 2064.439 1695.091 1721.125
43.75 1717.73 2074.809 2062.217 1698.932 1715.302
45 1737.508 2097.39 2074.744 1700.18 1732.778
46.25 1772.974 2136.15 2091.458 1732.371 1762.198
47.5 1834.25 2187.262 2140.032 1798.817 1823.322
48.75 1898.308 2246.333 2214.345 1855.865 1868.818
50 1964.214 2317.739 2311.339 1908.568 1928.704
51.25 2013.351 2367.594 2353.298 1959.318 1982.46
52.5 2020.981 2398.241 2380.943 1981.027 2012.909
53.75 2010.521 2443.527 2352.453 2003.953 2037.453
55 1993.288 2451.976 2309.334 1994.936 2010.469
56.25 1931.959 2403.2 2237.758 1926.539 1934.355
57.5 1848.709 2319.428 2107.389 1836.129 1852.966
58.75 1785.263 2224.889 2013.148 1781.841 1798.521
60 1718.689 2129.955 1928.234 1735.768 1732.396
61.25 1666.153 2083.333 1874.639 1686.957 1672.229
62.5 1615.383 2026.126 1778.068 1625.513 1607.588
63.75 1561.089 1946.656 1665.009 1560.656 1547.751
65 1506.968 1874.812 1580.346 1487.637 1473.665
66.25 1452.01 1785.036 1512.986 1421.643 1398.93
67.5 1396.059 1691.476 1475.296 1365.097 1340.229
68.75 1337.081 1598.61 1356.707 1295.178 1314.398
70 1292.745 1531.432 1282.684 1265.888 1278.542
71.25 1277.296 1498.017 1306.235 1256.094 1269.867
72.5 1276.657 1490.311 1358.986 1245.771 1238.659
73.75 1284.458 1506.428 1388.901 1249.369 1243.921
75 1395.707 1576.472 1503.614 1318.272 1327.393
76.25 1543.304 1710.443 1617.554 1416.155 1429.71
77.5 1591.575 1764.523 1655.873 1452.882 1458.049
78.75 1519.396 1720.214 1651.74 1404.742 1448.184
80 1472.143 1674.209 1602.071 1372.904 1480.307
81.25 1578.214 1785.02 1820.032 1482.988 1687.933
82.5 1954.039 2175.673 2220.528 1884.693 2062.116
83.75 2512.061 2879.59 2865.524 2471.893 2606.085
85 3037.168 3435.656 3366.924 2959.492 3015.828
86.25 3274.407 3591.821 3474.937 3115.272 3083.302
87.5 3135.876 3470.031 3247.129 2922.584 2870.993
88.75 2818.67 3167.142 2989.924 2634.028 2588.221
90 2688.524 2967.301 2909.392 2537.283 2480.559
91.25 2821.14 3014.885 3036.807 2657.145 2571.521
92.5 3060.304 3207.744 3267.67 2851.603 2763.009
93.75 3286.433 3501.205 3573.327 3079.389 2982.137
95 3467.242 3832.499 3850.334 3263.259 3186.172
96.25 3588.277 4090.162 4047.2 3395.315 3351.148
97.5 3698.496 4348.023 4234.569 3549.465 3567.858
98.75 3839.613 4546.515 4499.279 3713.532 3774.873
100 3877.814 4569.557 4557.457 3756.251 3836.234
101.25 3748.485 4330.404 4396.404 3633.346 3732.399
102.5 3482.699 3940.884 4063.09 3378.964 3464.273
103.75 3110.285 3502.023 3641.682 3018.223 3099.917
105 2789.179 3129.891 3235.725 2691.875 2779.768
106.25 2588.163 2891 2972.184 2493.487 2562.586
107.5 2436.668 2693.307 2792.42 2345.507 2401.812
