CO015_LIGHT 1 2 3 4 5
angle -1.924 -1.197 -2.188 -2.383 -1.661
whole 327.887 326.605 328.508 328.109 327.463
RPEtoOLM 64.205 64.909 63.821 63.538 63.616
RNFL 37.293 35.723 35.255 34.713 35.637
-3.75 1025.55 923.224 745.184 937.85 940.444
-2.5 1259.518 1100.791 814.262 1118.594 1220.237
-1.25 1789.003 1555.804 1174.826 1513.235 1636.392
0 2481.121 2114.706 1642.932 1970.888 2169.889
1.25 3148.466 2620.599 2084.373 2424.964 2700.768
2.5 3549.006 2993.937 2414.146 2742.028 3028.147
3.75 3733.09 3170.309 2588.142 2932.439 3243.898
5 3831.34 3208.267 2645.382 3019.909 3344.143
6.25 3893.215 3253.459 2673.341 3060.348 3375.98
7.5 3870.716 3238.264 2635.256 3040.784 3338.756
8.75 3647.647 3037.98 2492.756 2887.51 3155.659
10 3176.599 2700.586 2248.177 2571.184 2800.083
11.25 2841.446 2396.743 2035.585 2334.404 2509.596
12.5 2710.05 2251.818 1952.954 2254.762 2408.546
13.75 2695.753 2224.137 1932.71 2229.444 2376.696
15 2708.899 2229.754 1933.423 2209.281 2365.856
16.25 2715.318 2233.574 1929.784 2206.933 2382.544
17.5 2740.742 2236.689 1947.426 2219.226 2405.089
18.75 2741.472 2221.501 1942.925 2227.701 2396.636
20 2723.323 2201.883 1917.865 2219.059 2385.842
21.25 2697.48 2185.447 1900.576 2224.191 2390.32
22.5 2686.515 2204.112 1911.135 2231.434 2402.114
23.75 2712.117 2238.605 1938.749 2245.478 2424.389
25 2747.446 2280.263 1950.666 2255.234 2458.067
26.25 2784.559 2302.659 1974.446 2266.921 2500.948
27.5 2808.641 2303.231 1988.185 2281.804 2519.142
28.75 2834.08 2297.032 1991.279 2279.578 2522.944
30 2854.82 2313.757 2002.08 2294.772 2530.759
31.25 2847.578 2332.851 2009.379 2314.59 2567.625
32.5 2849.728 2338.384 2006.526 2327.041 2570.993
33.75 2838.702 2323.759 1998.046 2302.559 2544.214
35 2774.347 2279.638 1942.709 2256.435 2493.849
36.25 2648.992 2179.083 1853.504 2157.396 2387.033
37.5 2476.579 2036.447 1742.7 2025.237 2240.636
38.75 2344.16 1880.338 1636.879 1896.56 2088.065
40 2251.629 1800.347 1555.621 1809.834 1999.529
41.25 2192.484 1763.516 1515.912 1763.778 1961.571
42.5 2164.122 1732.05 1513.23 1751.413 1953.187
43.75 2177.515 1732.527 1521.682 1756.772 1968.145
45 2206.392 1749.266 1532.115 1777.956 1992.532
46.25 2258.908 1781.831 1568.349 1810.34 2042.32
47.5 2329.426 1843.947 1626.686 1855.95 2107.544
48.75 2396.647 1909.821 1659.738 1909.012 2155.242
50 2470.752 1960.428 1699.925 1952.64 2212.926
51.25 2513.571 2017.861 1754.517 1996.252 2270.961
52.5 2522.598 2050.399 1773.25 2025.309 2294.777
53.75 2525.045 2057.403 1786.465 2037.73 2286.1
55 2498.203 2038.747 1789.111 2042.653 2246.746
56.25 2422.156 1959.053 1756.528 1994.403 2177.972
57.5 2317.991 1860.551 1688.055 1915.618 2080.398
58.75 2228.225 1771.717 1639.31 1846.519 1987.973
60 2144.943 1701.701 1608.5 1798.63 1912.469
61.25 2072.732 1651.18 1561.828 1743.642 1848.845
62.5 2017.699 1610.777 1514.058 1673.822 1801.907
63.75 1961.298 1548.389 1454.044 1642.479 1750.866
65 1892.24 1504.124 1411.243 1597.274 1701.619
66.25 1831.524 1459.552 1328.462 1523.593 1646.821
67.5 1762.72 1404.808 1297.974 1459.17 1587.83
68.75 1693.699 1375.07 1214.879 1379.389 1543.706
70 1644.779 1338.761 1140.898 1318.531 1517.159
71.25 1611.117 1311.823 1072.374 1301.759 1494.536
72.5 1616.703 1285.212 1051.326 1298.237 1485.956
73.75 1660.523 1297.008 1084.997 1318.688 1503.413
75 1768.19 1391.389 1160.02 1382.261 1598.789
76.25 1938.09 1585.054 1297.013 1497.152 1726.897
77.5 2009.541 1666.794 1335.06 1531.654 1763.238
78.75 1953.401 1577.576 1298.754 1493.222 1720.044
80 1908.988 1482.052 1248.25 1499.474 1740.636
81.25 2031.44 1506.651 1388.881 1666.468 1960.103
82.5 2485.393 1878.712 1806.447 2079.564 2509.888
83.75 3151.407 2538.639 2347.125 2627.847 3158.86
85 3780.107 3210.713 2754.652 3052.322 3634.692
86.25 4146.75 3482.276 2867.393 3165.516 3741.286
87.5 4081.404 3336.599 2664.945 2969.305 3486.483
88.75 3771.58 2958.265 2367.344 2677.477 3131.643
90 3581.274 2799.636 2246.153 2514.65 2987.258
91.25 3691.248 2970.462 2303.59 2570.077 3080.57
92.5 4007.928 3279.249 2456.301 2706.594 3281.705
93.75 4329.627 3573.197 2666.622 2909.517 3536.761
95 4551.066 3727.097 2889.285 3163.656 3797.707
96.25 4647.49 3758.665 3031.773 3378.689 3950.749
97.5 4703.751 3811.268 3173.614 3575.433 4101.56
98.75 4819.238 3970.985 3364.237 3766.353 4303.633
100 4883.997 4043.111 3443.238 3840.049 4456.748
101.25 4760.253 3903.533 3352.669 3691.087 4342.289
102.5 4424.37 3572.945 3110.249 3382.631 3984.965
103.75 3957.039 3139.552 2785.858 2979.936 3521.577
105 3487.09 2784.678 2499.809 2620.878 3113.667
106.25 3158.14 2563.971 2302.721 2409.756 2836.818
107.5 2961.311 2394.635 2145.163 2257.84 2638.332
