CO091_LIGHT 1 2 3 4 5
angle -1.173 -1.24 -0.172 -0.998 -1.563
whole 327.63 328.387 329.26 327.67 328.759
RPEtoOLM 65.805 65.022 66.441 65.161 64.923
RNFL 33.516 33.157 34.165 34.833 33.509
-3.75 655.348 728.45 703.217 734.541 675.165
-2.5 819.377 928.958 855.544 949.119 860.263
-1.25 1240.558 1464.957 1338.412 1492.89 1408.016
0 1782.202 2087.012 2005.911 2184.794 2051.417
1.25 2327.585 2663.304 2671.067 2897.361 2673.609
2.5 2667.208 3046.998 3082.489 3378.203 3101.328
3.75 2871.244 3259.236 3236.922 3627.732 3341.176
5 2968.482 3371.486 3330.121 3746.854 3444.973
6.25 2963.15 3403.817 3358.718 3767.993 3441.235
7.5 2884.82 3347.66 3302.591 3670.034 3365.429
8.75 2687.828 3134.447 3092.622 3429.714 3172.312
10 2369.337 2736.99 2694.178 3017.677 2814.428
11.25 2106.605 2408.785 2372.516 2676.491 2472.642
12.5 2005.764 2283.109 2242.809 2530.422 2347.05
13.75 1979.706 2269.634 2216.004 2500.077 2325.341
15 1980.532 2277.104 2243.419 2513.745 2334.145
16.25 1994.929 2289.291 2268.523 2540.261 2354.224
17.5 2001.775 2296.07 2280.183 2552.49 2364.233
18.75 1996.415 2297.097 2274.426 2538.9 2370.355
20 2004.733 2307.71 2269.236 2522.547 2377.584
21.25 2011.108 2302.333 2263.679 2517.569 2372.069
22.5 2011.009 2289.005 2261.021 2528.431 2365.114
23.75 2002.578 2283.982 2268.275 2539 2367.554
25 2002.356 2295.996 2284.323 2541.088 2374.551
26.25 2031.528 2322.829 2308.634 2568.337 2400.597
27.5 2070.977 2359.471 2337.333 2603.128 2442.228
28.75 2074.964 2374.433 2340.262 2623.393 2450.956
30 2082.51 2389.125 2364.517 2644.775 2457.526
31.25 2111.113 2407.959 2387.773 2669.486 2478.894
32.5 2118.807 2411.641 2394.242 2655.374 2475.122
33.75 2116.595 2419.489 2391.833 2657.09 2477.271
35 2091.403 2401.511 2361.237 2638.724 2461.666
36.25 1996.819 2286.446 2246.633 2509.903 2350.452
37.5 1857.004 2110.226 2075.722 2312.932 2170.064
38.75 1736.485 1957.499 1941.112 2158.209 2005.801
40 1656.887 1868.258 1848.4 2054.468 1914.064
41.25 1610.114 1821.547 1807.763 2009.415 1880.324
42.5 1594.743 1800.761 1793.67 2004.19 1874.244
43.75 1601.86 1798.348 1793.487 2002.947 1874.846
45 1618.583 1819.939 1817.059 2018.939 1895.886
46.25 1654.132 1868.792 1878.039 2074.851 1956.603
47.5 1714.24 1943.011 1958.429 2165.239 2040.208
48.75 1788.386 2014.84 2036.634 2247.348 2120.248
50 1858.063 2072.132 2095.524 2310.84 2185.349
51.25 1910.964 2126.257 2146 2360.313 2228.605
52.5 1943.635 2163.009 2178.691 2399.56 2272.062
53.75 1951.114 2171.603 2191.767 2431.645 2283.218
55 1940.859 2138.554 2148.636 2412.581 2271.735
56.25 1900.966 2077.437 2042.216 2332.805 2192.057
57.5 1829.139 1984.364 1914.188 2233.596 2087.455
58.75 1739.964 1884.559 1797.171 2133.222 1990.335
60 1670.571 1803.273 1707.608 2039.319 1902.988
61.25 1608.587 1730.966 1635.091 1959.202 1827.652
62.5 1547.343 1657.215 1585.899 1890.783 1762.198
63.75 1486.629 1598.464 1546.762 1820.294 1701.201
65 1431.783 1542.506 1486.064 1745.376 1649.13
66.25 1375.046 1474.67 1446.279 1669.436 1589.989
67.5 1319.253 1427.764 1432.705 1611.118 1526.872
68.75 1285.206 1398.356 1425.436 1564.168 1477.217
70 1252.823 1373.764 1407.372 1530.115 1443.745
71.25 1232.561 1348.724 1389.929 1507.99 1427.634
72.5 1217.441 1340.51 1371.125 1489.776 1409.292
73.75 1215.777 1339.19 1376.026 1499.473 1409.122
75 1278.704 1410.896 1460.598 1601.484 1505.419
76.25 1450.41 1602.9 1719.341 1818.006 1693.838
77.5 1533.041 1684.789 1856.582 1906.699 1779.58
78.75 1496.761 1644.671 1786.416 1858.117 1740.398
80 1446.287 1565.111 1670.43 1784.942 1679.599
81.25 1518.502 1599.839 1664.245 1869.156 1814.321
82.5 1910.396 2049.51 2067.713 2360.722 2391.695
83.75 2599.756 2851.755 2993.805 3146.81 3255.793
85 3274.58 3716.459 4011.349 4069.935 4043.607
86.25 3671.034 4107.585 4582.496 4579.786 4365.474
87.5 3547.855 3885.672 4420.717 4443.652 4100.72
88.75 3077.399 3247.126 3694.354 3895.565 3486.128
90 2705.651 2859.039 3211.187 3356.191 3067.133
91.25 2717.653 2985.684 3313.854 3349.908 3197.47
92.5 2983.174 3328.744 3657.04 3693.276 3544.498
93.75 3224.215 3599.223 4046.335 3987.996 3843.382
95 3392.142 3758.966 4216.043 4170.442 4015.205
96.25 3470.093 3809.007 4211.697 4224.143 4067.932
97.5 3595.212 3878.937 4181.509 4291.059 4159.573
98.75 3745.126 4052.679 4240.304 4477.363 4364.794
100 3814.395 4167.647 4333.99 4662.324 4509.565
101.25 3689.027 4058.217 4242.975 4609.284 4401.17
102.5 3404.935 3757.708 3934.842 4284.076 4071.392
103.75 2997.445 3308.078 3471.989 3784.987 3606.832
105 2564.602 2830.481 2964.486 3244.277 3107.364
106.25 2237.552 2482.997 2584.676 2826.22 2739.171
107.5 2040.904 2270.21 2366.207 2554.13 2502.442
