YA226_LIGHT-dim 1 2 3 4 5
angle 2.962 2.32 2.004 2.911 4.67
whole 341.063 341.461 340.602 340.072 341.418
RPEtoOLM 74.299 74.01 74.411 73.569 73.69
RNFL 42.253 42.703 39.16 42.408 41.347
-3.75 778.598 659.057 1281.721 866.209 864.72
-2.5 1029.574 764.823 1498.806 1136.663 1056.223
-1.25 1566.89 1203.437 2023.342 1654.164 1453.085
0 2218.083 1695.979 2850.374 2359.529 2012.147
1.25 3034.256 2303.314 3829.042 3279.871 2700.269
2.5 3501.896 2636.315 4224.618 3753.383 3035.585
3.75 3677.147 2769.41 4332.351 3887.379 3190.232
5 3775.295 2865.836 4464.806 4006.881 3302.962
6.25 3836.304 2898.448 4487.238 4039.508 3342.232
7.5 3783.827 2865.359 4414.128 3999.353 3260.329
8.75 3532.465 2681.701 4112.551 3727.801 3019.95
10 2874.229 2189.447 3375.141 3041.26 2518.225
11.25 2530.174 1889.721 2898.861 2618.185 2188.437
12.5 2376.989 1767.142 2722.061 2413.709 2035.418
13.75 2335.682 1731.521 2688.618 2356.314 1995.362
15 2314.767 1726.081 2662.476 2358.254 1978.688
16.25 2299.92 1714.538 2656.528 2366.069 1977.435
17.5 2301.803 1714.745 2701.496 2364.648 1978.768
18.75 2312.519 1723.107 2739.265 2355.99 1979.901
20 2323.56 1718.32 2747.941 2336.129 1981.883
21.25 2328.533 1708.46 2705.986 2318.385 1973.48
22.5 2323.195 1700.622 2658.915 2317.063 1963.186
23.75 2325.695 1695.467 2642.766 2330.478 1963.771
25 2328.238 1700.347 2665.834 2358.672 1987.591
26.25 2352.066 1715.257 2695.271 2374.413 2010.958
27.5 2397.812 1718.793 2732.17 2392.533 2025.382
28.75 2427.997 1728.201 2750.602 2421.064 2048.276
30 2430.968 1739.325 2777.1 2463.679 2064.552
31.25 2441.467 1745.664 2772.47 2500.114 2077.955
32.5 2451.922 1748.353 2764.032 2505.338 2080.373
33.75 2447.98 1752.39 2763.978 2484.587 2078.74
35 2406.756 1723.19 2751.466 2452.961 2053.131
36.25 2288.1 1637.48 2631.048 2330.623 1959.96
37.5 2134.997 1509.727 2411.875 2147.152 1808.92
38.75 1987.434 1395.969 2229.595 1975.207 1669.757
40 1874.728 1317.038 2112.275 1856.556 1575.215
41.25 1819.306 1286.61 2068.45 1799.869 1532.353
42.5 1808.921 1284.963 2059.885 1792.573 1525.446
43.75 1809.448 1283.664 2069.666 1786.215 1525.496
45 1826.546 1284.65 2083.032 1783.157 1532.482
46.25 1868.714 1306.287 2124.01 1818.927 1563.255
47.5 1947.777 1351.405 2203.131 1896.002 1617.703
48.75 2028.103 1415.342 2296.782 1985.258 1683.697
50 2101.367 1482.279 2389.421 2071.762 1748.154
51.25 2171.016 1537.683 2478.622 2145.221 1816.636
52.5 2209.976 1569.951 2536.305 2179.075 1862.94
53.75 2205.141 1552.942 2531.227 2159.389 1848.183
55 2145.613 1503.461 2467.232 2081.981 1785.302
56.25 2022.042 1424.011 2336.908 1964.879 1682.673
57.5 1845.828 1312.298 2174.484 1821.063 1540.899
58.75 1681.387 1196.575 2003.765 1646.575 1387.399
60 1574.371 1121.785 1887.526 1544.595 1293.833
61.25 1518.21 1077.756 1819.778 1479.836 1245.119
62.5 1481.642 1051.925 1768.924 1445.841 1225.254
63.75 1463.533 1028.045 1730.808 1430.003 1206.481
65 1463.622 1008.76 1700.857 1415.623 1197.823
66.25 1457.695 1006.949 1673.633 1407.605 1201.763
67.5 1463.32 1012.281 1662.627 1409.483 1211.329
68.75 1469.284 1005.384 1647.762 1408.828 1216.114
70 1455.288 956.864 1626.316 1400.236 1210.963
71.25 1421.727 925.814 1601.235 1380.513 1200.688
72.5 1401.255 924.757 1588.261 1363.84 1191.694
73.75 1372.295 922.329 1573.853 1347.636 1177.711
75 1401.467 962.099 1602.245 1365.411 1194.535
76.25 1545.832 1075.152 1742.556 1487.106 1287.552
77.5 1621.855 1121.906 1809.63 1551.635 1349.912
78.75 1560.276 1083.636 1746.483 1503.543 1305.814
80 1489.008 1028.602 1664.689 1437.773 1246.043
81.25 1501.746 1040.095 1647.953 1432.109 1245.326
82.5 1753.347 1261.521 1879.962 1671.038 1451.344
83.75 2506.008 1880.1 2796.983 2399.139 2099.113
85 3537.149 2593.465 3995.68 3355.258 2917.903
86.25 4068.444 2992.787 4671.363 3897.308 3402.93
87.5 3843.926 2805.096 4423.048 3721.269 3230.749
88.75 3116.021 2290.181 3502.929 3045.543 2627.778
90 2686.778 2004.726 2982.711 2577.281 2225.581
91.25 2891.069 2245.572 3176.479 2714.015 2368.293
92.5 3137.259 2479.432 3487.169 2944.387 2606.685
93.75 3168.047 2432.766 3558.295 2978.868 2666.845
95 3125.754 2273.445 3611.335 2975.608 2662.662
96.25 3300.788 2302.114 3788.937 3139.019 2792.488
97.5 3614.465 2472.96 4107.678 3440.749 3044.544
98.75 3842.014 2581.498 4305.393 3634.236 3221.205
100 3925.034 2619.286 4336.199 3676.439 3281.833
101.25 3851.824 2603.095 4245.504 3597.023 3229.039
102.5 3595.338 2449.917 3932.365 3328.292 3011.13
103.75 3229.247 2178.536 3464.611 2926.259 2673.347
105 2943.11 1957.16 3097.706 2613.498 2396.683
106.25 2754.481 1840.379 2853.398 2422.357 2220.999
107.5 2622.631 1768.247 2676.977 2293.832 2101.716
