YA226_DARK-dim 1 2 3 4 5
angle 4.003 3.235 5 3.925 2.912
whole 341.141 341.41 339.139 339.034 342.948
RPEtoOLM 74.215 74.627 73.412 73.677 74.406
RNFL 40.12 40.431 40.539 40.241 41.156
-3.75 750.83 1034.941 774.883 774.878 643.018
-2.5 948.108 1372.196 951.069 981.348 808.251
-1.25 1364.719 1988.552 1434.72 1452.096 1318.149
0 1926.75 2848.426 2104.583 2022.255 2092.333
1.25 2582.773 3879.907 2860.503 2741.45 2990.03
2.5 2938.864 4409.577 3296.13 3176.502 3235.021
3.75 3062.112 4601.721 3484.651 3343.062 3036.749
5 3157.129 4702.287 3584.534 3461.253 2902.77
6.25 3192.54 4810.849 3615.166 3478.791 2942.578
7.5 3141.634 4717.865 3567.646 3436.812 2888.964
8.75 2941.772 4359.484 3338.424 3205.576 2775.43
10 2426.871 3624.035 2789.996 2689.63 2382.475
11.25 2108.689 3179.791 2444.234 2348.039 2036.442
12.5 1989.924 2989.209 2307.473 2207.815 1829.465
13.75 1962.444 2925.926 2272.433 2167.822 1768.982
15 1939.813 2904.033 2266.494 2153.373 1755.249
16.25 1923.026 2913.092 2262.682 2155.203 1744.838
17.5 1922.969 2913.252 2266.574 2181.526 1730.225
18.75 1926.509 2919.334 2264.383 2196.717 1749.558
20 1935.85 2908.313 2253.624 2192.68 1764.964
21.25 1930.045 2873.451 2242.921 2167.963 1762.309
22.5 1918.513 2850.961 2232.592 2148.7 1759.361
23.75 1915.543 2858.756 2223.544 2152.362 1759.37
25 1925.131 2892.154 2232.903 2163.874 1763.509
26.25 1942.268 2915.08 2251.716 2171.77 1786.39
27.5 1971.177 2922.109 2258.181 2201.006 1814.122
28.75 2007.594 2932.524 2272.347 2208.233 1828.787
30 2023.436 2948.875 2287.96 2209.891 1854.815
31.25 2035.579 2958.761 2299.759 2217.681 1870.066
32.5 2041.461 2974.398 2298.594 2228.408 1868.579
33.75 2029.429 2966.864 2275.752 2227.116 1852.662
35 1995.056 2910.908 2236.769 2185.95 1829.354
36.25 1909.82 2783.582 2121.846 2078.981 1751.04
37.5 1773.358 2574.025 1962.364 1916.512 1620.413
38.75 1639.285 2382.072 1819.866 1789.644 1514.798
40 1552.088 2254.101 1728.602 1701.048 1431.317
41.25 1503.029 2187.362 1691.541 1644.937 1385.452
42.5 1484.638 2157.787 1679.967 1631.023 1372.638
43.75 1481.264 2149.091 1662.199 1634.238 1378.33
45 1482.628 2146.748 1674.773 1644.468 1394.79
46.25 1509.161 2194.659 1727.693 1680.032 1439.143
47.5 1580.174 2286.883 1789.627 1740.179 1491.309
48.75 1657.435 2378.806 1873.419 1801.852 1536.042
50 1711.011 2463.142 1936.725 1863.613 1586.344
51.25 1757.933 2561.041 1990.878 1933.495 1647.74
52.5 1794.37 2617.689 2020.615 1975.926 1694.029
53.75 1784.075 2583.635 1992.749 1968.758 1686.823
55 1726.8 2477.385 1900.474 1900.503 1627.064
56.25 1621.055 2318.844 1764.097 1764.186 1528.536
57.5 1476.014 2112.949 1593.88 1596.064 1421.718
58.75 1327.987 1881.891 1429.969 1415.443 1311.334
60 1241.604 1746.322 1307.848 1324.029 1234.29
61.25 1186.109 1673.794 1275.891 1260.595 1186.928
62.5 1159.516 1641.21 1233.817 1229.709 1165.062
63.75 1144.764 1619.847 1250.149 1226.548 1156.757
65 1130.139 1602.464 1264.714 1227.243 1139.922
66.25 1128.337 1610.713 1264.705 1230.487 1139.634
67.5 1142.161 1621.333 1280.451 1239.272 1142.236
68.75 1152.3 1630.423 1325.913 1253.336 1140.371
70 1147.862 1630.512 1308.147 1265.541 1126.487
71.25 1138.302 1616.611 1300.209 1249.36 1113.838
72.5 1116.928 1589.106 1287.568 1226.605 1104.622
73.75 1108.226 1567.931 1267.214 1219.677 1098.637
75 1126.154 1591.45 1310.399 1230.519 1116.081
76.25 1226.797 1713.564 1401.724 1327.812 1218.042
77.5 1276.426 1805.039 1451.338 1397.995 1295.859
78.75 1231.446 1743.767 1420.024 1347.305 1239.497
80 1178.254 1670.09 1369.083 1296.464 1167.423
81.25 1188.104 1676.998 1412.618 1307.636 1158.007
82.5 1424.575 1874.766 1702.624 1549.618 1347.427
83.75 2116.487 2576.141 2394.747 2203.658 2038.546
85 2959.197 3622.05 3181.744 2981.173 3029.442
86.25 3383.803 4306.541 3613.081 3386.416 3654.221
87.5 3155.717 4205.015 3443.163 3160.318 3570.097
88.75 2515.277 3457.985 2875.63 2562.986 2900.474
90 2216.43 2769.882 2524.191 2250.98 2443.884
91.25 2462.139 2772.925 2662.412 2404.318 2772.526
92.5 2695.938 3053.965 2838.314 2584.324 3218.176
93.75 2698.662 3241.851 2848.392 2628.462 3275.766
95 2606.261 3392.562 2833.297 2693.354 2957.648
96.25 2673.683 3613.579 2953.405 2910.112 2728.216
97.5 2885.896 3939.487 3145.433 3179.409 2827.49
98.75 3048.253 4142.636 3276.876 3325.536 2961.904
100 3073.189 4167.952 3320.539 3371.115 3003.966
101.25 3015.904 4048.054 3261.475 3302.89 2943.283
102.5 2827.583 3727.254 3010.631 3054.725 2749.601
103.75 2507.805 3255.318 2658.762 2727.242 2426.053
105 2241.356 2879.843 2411.783 2486.925 2173.411
106.25 2076.425 2635.55 2272.838 2326.977 2025.352
107.5 1957.299 2445.424 2175.075 2208.874 1918.63
