YA226_DARK 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
angle 5.917 4.21 4.654 1.973 3.569 7.362 2.07 7.327 1.541 4.429 4.393 2.513 0.424 1.637 0.774
whole 338.009 339.152 338.715 340.418 338.934 336.66 341.163 338.196 341.944 339.92 341.893 343.203 339.885 339.15 343.251
RPEtoOLM 71.822 73.885 73.739 73.65 73.438 73.22 73.754 73.807 74.06 74.67 74.188 74.567 73.598 74.259 74.803
RNFL 38.133 36.518 35.459 39.031 35.627 34.752 39.802 36.063 41.265 38.295 37.464 38.542 40.068 38.021 40.252
-3.75 594.843 940.896 1126.404 713.691 1266.184 1212.355 899.974 1062.863 1175.848 782.525 1292.972 598.998 1075.671 918.841 772.14
-2.5 727.201 1135.581 1294.35 917.717 1479.519 1399.09 1103.197 1257.592 1361.74 993.994 1543.919 775.915 1242.767 1103.576 957.407
-1.25 1019.502 1586.432 1730.943 1415.27 1949.979 1854.651 1727.37 1714.393 1959.12 1383.055 2080.582 1257.2 1786.915 1585.444 1506.671
0 1375.744 2142.269 2338.763 1999.892 2585.243 2518.255 2567.177 2344.126 2904.616 1949.018 2767.92 2005.316 2600.377 2186.652 2323.192
1.25 1777.274 2732.813 2954.565 2722.11 3221.455 3177.414 3373.329 2999.321 3848.806 2603.535 3454.323 2786.629 3340.927 2788.306 3194.936
2.5 2061.501 3116.507 3279.515 3063.929 3605.072 3529.588 3765.056 3406.543 4045.178 2928.182 3800.591 2998.683 3670.895 3149.767 3511.087
3.75 2203.554 3241.382 3418.613 3230.908 3800.453 3767.868 3915.755 3607.661 3963.23 3049.396 3987.032 2911.13 3808.388 3335.575 3492.319
5 2287.613 3320.229 3519.221 3315.698 3918.51 3848.458 4071.171 3675.833 4038.826 3161.401 4142.101 2849.404 3858.061 3417.628 3460.003
6.25 2306.26 3408.329 3551.508 3393.351 3956.291 3867.748 4131.468 3698.419 4139.815 3179.344 4169.491 2838.167 3877.631 3421.564 3469.511
7.5 2283.494 3358.226 3476.689 3372.963 3846.093 3810.082 4061.433 3653.46 4085.05 3154.067 4079.259 2805.393 3816.629 3401.172 3394.923
8.75 2157.502 3112.162 3208.159 3126.93 3551.444 3598.736 3755.414 3415.553 3797.828 2912.883 3760.334 2653.08 3524.494 3138.959 3168.651
10 1859.9 2595.925 2711.363 2568.2 3062.984 3141.087 3067.167 2928.682 3150.48 2416.646 3120.441 2245.731 2957.675 2581.396 2667.732
