CO578_LIGHT 1 2 3 4 5
angle -0.133 0.153 -0.656 0.243 -1.28
whole 304.858 303.958 303.914 304.14 306.171
RPEtoOLM 69.41 68.736 68.779 68.792 69.486
RNFL 30.404 29.446 30.825 29.26 29.676
-3.75 695.183 885.057 907.977 781.016 842.769
-2.5 937.574 1130.05 1222.845 969.506 1082.967
-1.25 1372.139 1653.94 1779.736 1387.613 1592.61
0 1946.883 2286.384 2527.19 1954.928 2253.664
1.25 2512.395 2902.277 3235.494 2512.455 2913.028
2.5 2970.084 3419.937 3825.421 2901.059 3388.101
3.75 3222.446 3667.905 4143.608 3107.236 3658.452
5 3322.052 3766.751 4235.161 3207.127 3755.805
6.25 3357.374 3778.961 4246.465 3209.216 3767.03
7.5 3290.781 3720.866 4143.787 3121.863 3694.151
8.75 3108.516 3476.796 3881.556 2938.069 3436.042
10 2700.706 3037.655 3420.042 2600.959 3017.11
11.25 2428.639 2738.766 3082.363 2349.407 2726.41
12.5 2309.451 2597.872 2929.466 2221.071 2580.42
13.75 2263.415 2552.167 2866.671 2166.453 2524.843
15 2251.96 2531.938 2821.085 2161.872 2519.462
16.25 2250.677 2527.567 2814.513 2160.928 2521.271
17.5 2227.067 2510.661 2818.387 2166.976 2515.737
18.75 2217.35 2507.472 2817.103 2169.634 2511.212
20 2225.278 2526.757 2804.752 2162.776 2521.187
21.25 2237.411 2542.201 2809.938 2153.489 2524.22
22.5 2254.975 2559.787 2813.663 2163.863 2516.133
23.75 2274.905 2581.808 2822.491 2192.988 2530.495
25 2309.518 2607.356 2855.444 2213.78 2559.146
26.25 2337.422 2628.888 2893.418 2232.586 2598.546
27.5 2338.27 2641.405 2917.005 2237.643 2617.272
28.75 2354.443 2655.228 2931.57 2251.541 2632.132
30 2379.136 2681.63 2962.325 2277.306 2665.118
31.25 2396.229 2697.97 2977.227 2277.105 2677.489
32.5 2395.287 2698.978 2975.992 2270.115 2670.466
33.75 2384.59 2690.104 2968.676 2268.479 2665.172
35 2354.755 2649.654 2927.326 2245.268 2629.047
36.25 2247.276 2524.335 2787.509 2136.505 2497.607
37.5 2078.907 2335.143 2573.428 1984.043 2314.416
38.75 1924.744 2161.539 2357.176 1815.984 2126.547
40 1829.728 2052.082 2240.893 1728.913 2026.227
41.25 1790.621 1992.082 2200.337 1696.751 1996.542
42.5 1788.186 1980.409 2191.632 1678.747 1987.001
43.75 1793.173 2007.404 2207.281 1679.949 1986.794
45 1807.506 2039.836 2249.375 1712.424 2019.429
46.25 1854.128 2105.165 2321.916 1788.274 2109.893
47.5 1936.885 2210.967 2420.75 1896.175 2244.119
48.75 2034.461 2293.552 2515.765 1970.386 2334.05
50 2091.156 2336.104 2576.256 1988.032 2355.036
51.25 2115.347 2371.399 2612.936 1996.795 2365.752
52.5 2147.22 2394.503 2639.878 2007.155 2373.721
53.75 2162.143 2401.693 2643.967 2013.575 2383.294
55 2151.87 2393.139 2617.832 2004.51 2386.127
56.25 2114.544 2340.924 2553.115 1956.958 2336.824
57.5 2030.189 2233.163 2444.823 1861.702 2210.564
58.75 1896.694 2103.855 2290.963 1770.277 2077.503
60 1768.06 1972.941 2158.043 1681.303 1969.972
61.25 1673.025 1859.373 2054.904 1587.888 1868.887
62.5 1611.367 1792.456 1967.509 1513.436 1793.734
63.75 1558.203 1727.758 1887.878 1457.061 1731.01
65 1503.368 1670.14 1834.367 1416.695 1672.209
66.25 1472.142 1634.059 1786.229 1380.884 1621.003
67.5 1443.232 1591.371 1728.429 1340.231 1568.003
68.75 1407.084 1539.486 1686.073 1296.469 1523.748
70 1378.399 1514.191 1655.718 1269.435 1506.373
71.25 1356.675 1501.304 1644.615 1256.771 1490.207
72.5 1339.486 1479.629 1630.847 1243.285 1471.484
73.75 1346.754 1484.735 1637.94 1252.492 1483.349
75 1426.954 1588.028 1744.153 1324.33 1580.048
76.25 1604.199 1786.146 1958.39 1487.839 1771.388
77.5 1700.491 1869.852 2045.431 1562.696 1865.805
78.75 1624.804 1809.297 1981.017 1500.997 1803.088
80 1543.226 1718.497 1872.623 1425.921 1693.484
81.25 1678.006 1847.148 2039.495 1498.039 1793.848
82.5 2206.562 2343.679 2654.137 1916.193 2403.317
83.75 2970.415 3196.299 3577.177 2629.493 3313.988
85 3519.6 3925.286 4286.812 3185.456 4003.825
86.25 3754.737 4059.136 4496.398 3327.965 4151.638
87.5 3529.43 3695.477 4253.55 3106.362 3837.908
88.75 3141.748 3278.776 3831.587 2774.963 3402.84
90 3095.784 3224.71 3723.217 2637.538 3342.669
91.25 3269.926 3359.72 3881.302 2730.1 3533.707
92.5 3375.264 3391.178 3930.306 2744.353 3586.738
93.75 3266.516 3250.651 3859.666 2635.707 3439.453
95 3100.659 3211.03 3763.871 2629.919 3318.947
96.25 3159.397 3437.697 3888.786 2852.048 3487.966
97.5 3446.03 3867.527 4212.706 3152.915 3785.276
98.75 3793.989 4205.536 4515.689 3442.565 4080.805
100 3906.118 4346.18 4680.251 3578.528 4198.042
101.25 3762.239 4209.789 4572.034 3458.351 4092.044
102.5 3478.116 3923.489 4230.645 3214.394 3784.424
103.75 3044.254 3462.154 3726.533 2857.51 3292.969
105 2632.863 3014.408 3226.749 2505.957 2843.116
106.25 2455.061 2819.485 2982.388 2349.511 2654.983
107.5 2403.985 2780.928 2920.103 2300.12 2612.118
