CO578_DARK 1 2 3 4 5
angle -0.028 0.985 0.568 0.055 1.099
whole 305.061 303.409 304.305 306.331 304.02
RPEtoOLM 69.56 68.37 68.774 70.254 69.219
RNFL 29.986 29.645 30.633 32.777 30.713
-3.75 759.425 824.798 718.992 797.078 726.606
-2.5 1034.346 1089.819 912.172 923.59 909.544
-1.25 1509.791 1580.426 1316.737 1372.642 1381.211
0 2065.323 2206.739 1828.289 1997.183 1970.713
1.25 2570.258 2797.054 2353.009 2525.553 2520.694
2.5 3045.63 3304.289 2731.508 2946.518 2997.647
3.75 3307.432 3569.331 2951.188 3167.361 3220.252
5 3374.839 3710.596 3051.769 3212.671 3311.184
6.25 3391.067 3748.368 3062.798 3190.536 3341.897
7.5 3305.629 3657.615 2974.049 3113.24 3273.959
8.75 3079.891 3396.497 2761.336 2901.35 3069.389
10 2701.897 2962.028 2427.961 2529.323 2689.647
11.25 2425.228 2668.052 2211.093 2284.738 2416.743
12.5 2294.983 2518.41 2087.105 2159.961 2282.06
13.75 2238.808 2469.911 2039.348 2106.741 2240.383
15 2222.888 2452.201 2030.189 2084.385 2231.205
16.25 2229.782 2441.71 2033.983 2085.192 2223.059
17.5 2211.845 2440.543 2034.44 2092.941 2209.47
18.75 2190.475 2432.08 2027.806 2096.869 2206.931
20 2187.603 2422.855 2036.525 2101.732 2204.366
21.25 2204.01 2429.408 2042.335 2099.511 2207.934
22.5 2217.008 2463.151 2037.755 2096.161 2209.589
23.75 2248.113 2492.659 2045.983 2117.957 2232.05
25 2276.625 2531.604 2074.141 2144.663 2255.207
26.25 2289.714 2565.726 2090.791 2166.041 2274.508
27.5 2293.232 2573.571 2096.831 2175.119 2282.688
28.75 2297.794 2575.309 2097.873 2198.545 2280.2
30 2315.274 2589.881 2107.034 2232.08 2299.803
31.25 2338.924 2593.781 2126.236 2235.17 2314.976
32.5 2341.869 2590.707 2127.702 2226.959 2310.387
33.75 2345.243 2586.004 2122.695 2219.28 2302.527
35 2296.168 2547.587 2096.023 2179.465 2273.624
36.25 2173.147 2420.521 1991.665 2068.377 2151.28
37.5 2021.933 2234.957 1864.431 1924.645 1992.445
38.75 1868.924 2058.613 1721.672 1772.959 1845.763
40 1766.355 1969.707 1629.063 1684.976 1754.234
41.25 1722.942 1924.124 1589.299 1655.774 1717.385
42.5 1713.333 1915.496 1575.942 1654.503 1703.158
43.75 1720.733 1931.004 1582.07 1658.413 1710.018
45 1746.767 1958.743 1615.365 1685.718 1751.675
46.25 1814.146 2015.542 1692.344 1763.918 1830.457
47.5 1904.437 2114.315 1787.393 1873.473 1937.045
48.75 1991.967 2211.243 1848.626 1947.391 2015.101
50 2047.065 2268.877 1875.25 1974.696 2042.502
51.25 2075.469 2299.744 1888.251 1986.947 2054.222
52.5 2088.555 2325.721 1904.407 1999.134 2068.515
53.75 2084.851 2330.469 1907.726 2014.954 2069.88
55 2066.016 2305.847 1880.596 2011.464 2044.963
56.25 2003.935 2235.729 1804.83 1943.323 1977.09
57.5 1893.965 2114.656 1695.696 1834.236 1863.954
58.75 1769.423 1969.305 1576.155 1714.414 1741.111
60 1652.155 1856.652 1490.142 1621.045 1645.083
61.25 1563.091 1764.394 1419.971 1553.861 1563.874
62.5 1512.056 1693.253 1358.94 1491.021 1496.027
63.75 1467.413 1638.524 1317.828 1436.601 1450.251
65 1426.378 1594.683 1283.433 1396.424 1413.131
66.25 1391.412 1563.124 1252.198 1365.912 1386.846
67.5 1356.136 1521.373 1236.309 1336.547 1359.182
68.75 1322.477 1485.117 1225.671 1298.862 1323.62
70 1299.85 1468.191 1214.653 1275.769 1294.924
71.25 1290.083 1450.775 1200.127 1264.268 1281.96
72.5 1283.2 1438.369 1180.011 1255.713 1275.056
73.75 1280.96 1441.917 1188.838 1266.441 1276.435
75 1356.061 1530.64 1268.661 1389.235 1347.868
76.25 1527.854 1703.315 1425.784 1649.269 1527.186
77.5 1622.51 1803.416 1492.115 1775.73 1607.318
78.75 1575.588 1744.409 1440.207 1636.817 1549.574
80 1475.848 1649.921 1356.237 1470.578 1464.217
81.25 1511.536 1724.331 1464.465 1509.73 1538.433
82.5 1908.523 2273.851 2002.652 1995.903 2048.069
83.75 2674.959 3150.962 2733.537 2806.723 2836.892
85 3381.065 3863.688 3293.789 3508.261 3470.418
86.25 3650.798 4084.445 3385.413 3692.538 3603.627
87.5 3411.232 3785.542 3145.044 3442.242 3318.281
88.75 3049.149 3407.694 2892.046 3094.068 2977.122
90 3047.339 3346.61 2911.764 3127.637 2974.579
91.25 3233.142 3490.33 3061.49 3402.155 3166.002
92.5 3316.4 3600.035 3162.133 3560.443 3242.048
93.75 3192.86 3476.536 3017.214 3425.46 3102.597
95 3050.119 3284.049 2824.815 3134.936 2950.265
96.25 3074.637 3314.948 2860.334 3036.477 3008.842
97.5 3290.944 3631.173 3103.464 3217.536 3251.749
98.75 3558.733 3979.805 3348.826 3511.795 3554.313
100 3710.519 4143.726 3432.337 3636.5 3682.586
101.25 3605.908 4050.485 3296.664 3541.393 3576.639
102.5 3345.218 3789.097 3041.842 3313.531 3302.002
103.75 2944.493 3364.098 2690.712 2967.859 2905.74
105 2546.398 2919.449 2386.939 2628.973 2578.921
106.25 2356.118 2686.177 2262.101 2467.726 2440.359
107.5 2307.361 2608.959 2226.534 2427.915 2398.684
