YA211_DARK-dim 1 2 3 4 5
angle -2.308 -4.525 -3.578 -0.325 0.795
whole 354.256 351.778 353.885 353.497 352.881
RPEtoOLM 73.549 73.266 73.865 72.421 72.587
RNFL 33.995 33.141 34.114 35.808 35.511
-3.75 1256.493 1494.343 1165.329 1190.218 888.136
-2.5 1451.176 1621.148 1299.464 1361.344 1022.231
-1.25 1899.909 2013.079 1654.942 1807.179 1412.176
0 2577.239 2640.639 2265.017 2501.324 2024.009
1.25 3302.848 3193.659 2889.938 3220.337 2683.114
2.5 3698.461 3554.38 3200.053 3660.45 3046.742
3.75 3875.747 3678.061 3367.113 3802.805 3199.842
5 3965.355 3718.564 3356.351 3882.636 3268.725
6.25 3943.212 3662.132 3282.631 3898.508 3309.298
7.5 3833.875 3543.917 3151.726 3811.358 3249.822
8.75 3584.061 3324.334 2963.43 3598.57 3062.441
10 3214.377 3024.482 2636.026 3203.511 2725.115
11.25 2868.41 2704.081 2330.692 2828.185 2422.407
12.5 2705.718 2551.524 2180.847 2647.68 2248.627
13.75 2650.71 2485.903 2133.412 2565.475 2153.888
15 2632.901 2471.568 2113.716 2533.733 2112.922
16.25 2633.702 2464.798 2106.836 2526.057 2099.185
17.5 2628.005 2446.941 2092.726 2527.118 2095.236
18.75 2627.537 2433.067 2081.462 2525.789 2086.922
20 2635.908 2431.253 2071.023 2519.577 2080.572
21.25 2638.997 2429.719 2069.976 2510.811 2076.462
22.5 2639.533 2427.139 2076.276 2504.777 2063.785
23.75 2657.195 2425.062 2088.062 2520.07 2066.85
25 2685.514 2446.211 2101.34 2552.758 2093.957
26.25 2707.835 2478.171 2116.711 2590.317 2131.28
27.5 2721.457 2494.141 2119.833 2607.692 2158.811
28.75 2716.931 2493.797 2123.694 2622.012 2165.6
30 2718.26 2509.159 2142.72 2634.711 2179.801
31.25 2726.534 2519.282 2168.485 2646.534 2202.22
32.5 2727.154 2518.613 2164.575 2647.463 2193.099
33.75 2741.157 2511.663 2150.641 2630.781 2188.449
35 2729.544 2480.064 2122.911 2596.648 2172.755
36.25 2620.189 2371.476 2036.812 2492.632 2072.589
37.5 2444.033 2223.935 1900.992 2335.848 1930.949
38.75 2282.9 2082.405 1773.109 2205.62 1810.704
40 2204.342 1994.588 1693.579 2118.037 1736.007
41.25 2171.292 1957.851 1666.418 2067.841 1697.023
42.5 2154.827 1937.521 1647.313 2051.927 1675.837
43.75 2157.053 1943.695 1647.566 2047.356 1668.163
45 2207.302 1987.619 1679.645 2068.09 1684.193
46.25 2287.101 2040.218 1735.871 2124.066 1734.619
47.5 2344.527 2085.73 1779.354 2193.132 1792.12
48.75 2367.26 2141.328 1820.866 2248.515 1837.909
50 2420.909 2208.687 1880.852 2309.468 1869.789
51.25 2525.989 2327.526 1970.068 2374.929 1932.082
52.5 2635.304 2412.747 2053.154 2425.842 1973.942
53.75 2672.407 2418.425 2063.628 2447.94 1987.207
55 2572.1 2344.633 1988.419 2376.153 1933.548
56.25 2408.798 2228.714 1889.867 2219.824 1771.718
57.5 2273.71 2101.589 1768.448 2058.71 1613.634
58.75 2179.256 2006.601 1682.22 1939.67 1535.788
60 2095.711 1917.957 1598.082 1875.61 1483.746
61.25 2031.073 1844.674 1541.489 1834.632 1444.359
62.5 1972.421 1787.16 1495.176 1778.857 1419.588
63.75 1926.974 1743.107 1451.38 1720.562 1386.336
65 1881.624 1693.768 1410.562 1689.422 1360.528
66.25 1837.395 1637.509 1365.336 1670.685 1346.949
67.5 1804.249 1569.47 1318.974 1655.951 1341.01
68.75 1780.658 1512.7 1275.798 1645.568 1338.445
70 1757.339 1473.924 1250.352 1627.65 1334.825
71.25 1739.691 1454.468 1235.154 1613.33 1327.066
72.5 1726.676 1448.325 1222.689 1595.214 1314.499
73.75 1729.263 1454.301 1219.207 1585.74 1302.355
75 1788.384 1511.4 1274.584 1637.145 1340.879
76.25 1899.301 1636.359 1388.278 1798.906 1478.147
77.5 1951.893 1693.143 1433.324 1871.817 1546.103
78.75 1908.699 1646.536 1398.943 1814.736 1503.023
80 1857.903 1590.656 1350.374 1745.381 1452.302
81.25 1891.295 1632.772 1373.066 1793.368 1491.376
82.5 2256.586 1930.785 1643.035 2274.728 1904.858
83.75 3032.64 2550.296 2265.087 3273.036 2832.606
85 3893.433 3241.493 2920.304 4375.398 3814.215
86.25 4289.417 3536.577 3202.971 4976.946 4296.398
87.5 4003.703 3296.837 2959.154 4775.947 4012.039
88.75 3353.947 2780.455 2468.533 4013.188 3259.937
90 2927.363 2486.165 2206.492 3429.139 2874.475
91.25 3010.481 2500.348 2256.308 3605.082 3144.132
92.5 3270.289 2662.422 2435.885 4039.486 3509.754
93.75 3531.669 2932.5 2681.423 4351.877 3724.246
95 3712.358 3199.43 2868.372 4422.934 3654.024
96.25 3801.851 3422.553 2990.085 4251.597 3456.148
97.5 4020.297 3722.512 3205.133 4166.532 3409.59
98.75 4348.758 3987.626 3418.382 4323.909 3563.432
100 4482.127 4030.122 3420.075 4404.096 3619.52
101.25 4411.723 3946.613 3300.605 4321.317 3545.57
102.5 4216.722 3731.155 3085.105 4152.981 3380.275
103.75 3858.561 3363.523 2788.301 3810.304 3070.462
105 3496.021 3084.928 2572.364 3442.991 2776.16
106.25 3287.035 2924.82 2452.207 3219.314 2615.733
107.5 3131.203 2789.283 2342.786 3081.384 2494.108
