AD362_DARK 1 2 3 4 5
angle 0.294 -4.039 -5.601 -0.563 -4.734
whole 322.401 321.632 322.158 321.127 321.815
RPEtoOLM 70.054 69.399 69.16 68.84 69.121
RNFL 34.584 35.445 34.294 34.874 34.419
-3.75 581.095 540.162 477.326 629.396 427.725
-2.5 776.06 835.629 633.577 907.499 634.568
-1.25 1425.454 1531.159 1289.786 1638.76 1224.53
0 2090.128 2174.247 1939.39 2335.653 1856.736
1.25 2667.72 2817.028 2583.917 3016.173 2455.236
2.5 3162.611 3310.543 3086.302 3550.517 2957.4
3.75 3467.466 3588.889 3341.562 3818.502 3215.801
5 3603.856 3708.935 3433.435 3940.658 3337.673
6.25 3669.406 3741.354 3495.42 4000.703 3331.606
7.5 3620.505 3684.636 3444.346 3922.63 3271.797
8.75 3337.426 3423.419 3213.212 3629.043 3094.13
10 2851.903 2942.2 2837.701 3145.882 2743.833
11.25 2513.57 2620.189 2563.449 2801.345 2469.582
12.5 2367.947 2473.985 2432.997 2637.058 2345.155
13.75 2316.322 2428.488 2388.003 2588.793 2314.008
15 2311.595 2405.523 2375.139 2561.392 2299.313
16.25 2310.799 2405.606 2363.609 2541.501 2288.634
17.5 2308.443 2414.924 2357.508 2538.327 2291.347
18.75 2307.737 2436.626 2353.275 2543.918 2297.761
20 2314.483 2447.652 2361.928 2549.803 2303.373
21.25 2327.723 2453.949 2366.986 2552.298 2308.936
22.5 2359.667 2456.555 2374.407 2565.761 2328.171
23.75 2374.001 2463.639 2403.346 2581.669 2339.18
25 2399.72 2488.949 2443.632 2599.056 2372.487
26.25 2420.041 2509.036 2439.651 2624.228 2394.765
27.5 2426.873 2518.576 2430.36 2647.441 2396.039
28.75 2442.697 2542.438 2455.605 2668.592 2398.554
30 2463.574 2565.043 2476.783 2678.632 2414.67
31.25 2483.243 2575.64 2482.134 2680.234 2421.522
32.5 2494.439 2580.409 2492.691 2691.762 2426.66
33.75 2492.984 2576.011 2484.307 2688.091 2421.269
35 2435.252 2527.136 2424.863 2627.698 2363.472
36.25 2304.252 2404.651 2297.78 2489.567 2249.861
37.5 2163.191 2238.374 2145.471 2328.421 2111.357
38.75 2022.083 2077.619 1995.957 2174.563 1963.132
40 1927.739 1973.439 1899.571 2066.784 1864.653
41.25 1884.076 1928.487 1846.888 2003.511 1819.768
42.5 1861.822 1911.73 1830.352 1987.727 1798.34
43.75 1849.481 1919.954 1836.04 1987.305 1788.486
45 1866.314 1944.735 1867.415 1995.432 1822.952
46.25 1920.122 2004.499 1941.952 2051.585 1889.932
47.5 1994.474 2081.497 2026.251 2123.147 1955.037
48.75 2069.778 2166.664 2101.008 2175.662 2039.955
50 2159.537 2257.648 2166.946 2265.01 2128.887
51.25 2243.659 2317.432 2198.841 2361.079 2167.017
52.5 2275.845 2320.976 2222.164 2390.252 2182.797
53.75 2250.825 2301.359 2248.042 2362.287 2215.138
55 2169.409 2263.83 2233.49 2310.233 2208.021
56.25 2045.799 2177.786 2184.116 2203.018 2152.621
57.5 1924.407 2064.168 2091.068 2076.579 2069.394
58.75 1815.576 1957.451 1993.885 1963.978 1977.44
60 1729.97 1862.765 1915.85 1871.381 1906.905
61.25 1666.316 1799.211 1854.539 1784.323 1841.201
62.5 1614.018 1745.291 1807.234 1739.679 1786.779
63.75 1559.303 1697.32 1759.712 1697.633 1730.289
65 1517.768 1649.721 1694.216 1636.672 1659.307
66.25 1498.095 1594.357 1620.625 1587.143 1588.676
67.5 1480.662 1550.677 1545.794 1548.411 1510.327
68.75 1459.168 1518.461 1469.545 1519.483 1437.738
70 1441.199 1487.148 1402.071 1494.601 1373.23
71.25 1418.038 1462.814 1364.762 1485.97 1332.894
72.5 1418.031 1451.743 1352.724 1463.908 1328.397
73.75 1438.103 1489.465 1379.73 1492.593 1353.559
75 1560.383 1619.371 1496.275 1608.882 1464.296
76.25 1753.138 1813.018 1636.595 1811.816 1621.251
77.5 1830.342 1884.947 1682.923 1907.367 1686.348
78.75 1786.837 1839.02 1643.064 1864.879 1639.986
80 1703.265 1755.339 1593.178 1764.275 1558.863
81.25 1807.683 1848.527 1724.334 1828.056 1636.702
82.5 2493.644 2452.72 2207.91 2506.995 2141.561
83.75 3585.123 3401.727 2874.417 3652.842 2898.403
85 4562.372 4216.17 3355.421 4541.386 3487.844
86.25 4821.857 4495.84 3389.9 4810.102 3528.18
87.5 4262.251 4118.498 2994.792 4325.142 3052.019
88.75 3416.159 3426.702 2542.558 3463.675 2555.299
90 3102.628 3042.847 2414.343 3112.756 2415.138
91.25 3588.041 3341.497 2576.371 3559.407 2584.045
92.5 4152.808 3767.044 2805.986 4064.677 2792.966
93.75 4292.157 3968.871 3017.518 4272.555 2976.718
95 4098.236 3935.713 3243.17 4124.287 3187.172
96.25 3917.257 3905.718 3550.845 3981.862 3440.872
97.5 4072.523 4120.757 3925.552 4112.679 3778.038
98.75 4421.495 4415.739 4188.027 4437.232 4052.02
100 4539.789 4504.029 4170.643 4619.337 4102.735
101.25 4411.617 4328.523 3923.408 4506.517 3924.763
102.5 4161.819 4003.628 3576.064 4211.053 3589.316
103.75 3840.398 3607.622 3191.574 3788.554 3181.994
105 3512.894 3234.956 2886.427 3392.671 2839.287
106.25 3278.967 2955.26 2665.738 3129.446 2601.095
107.5 3082.327 2732.502 2457.449 2898.442 2400.755
