AD362_LIGHT 1 2 3 4 5
angle -1.516 -1.615 -2.026 -0.974 -1.176
whole 321.198 322.102 322.613 321.441 322.369
RPEtoOLM 69.896 69.402 69.77 69.152 69.466
RNFL 34.065 35.189 34.597 35.087 34.356
-3.75 604.107 584.319 573.775 572.355 563.812
-2.5 803.63 955.584 873.3 720.254 866.317
-1.25 1403.428 1627.678 1503.352 1476.128 1513.339
0 2073.727 2339.522 2178.865 2190.885 2200.809
1.25 2765.492 3084.832 2894.021 2868.892 2904.908
2.5 3289.834 3671.62 3452.988 3407.506 3417.817
3.75 3525 3902.171 3667.476 3696.629 3680.06
5 3635.082 3955.992 3715.712 3811.638 3765.762
6.25 3694.924 4008.685 3763.834 3849.068 3796.404
7.5 3654.965 3935.219 3690.66 3789.272 3748.049
8.75 3389.273 3627.137 3445.524 3517.337 3483.65
10 2912.838 3145.029 2971.526 3051.055 3007.148
11.25 2566.867 2805.702 2636.259 2707.498 2689.565
12.5 2420.611 2655.99 2492.771 2557.627 2551.439
13.75 2372.091 2608.69 2449.333 2527.286 2506.665
15 2362.71 2595.349 2432.813 2527.526 2503.09
16.25 2361.612 2590.301 2423.364 2526.927 2498.678
17.5 2361.817 2589.996 2432.582 2526.903 2496.94
18.75 2352.818 2594.031 2443.799 2518.979 2493.847
20 2355.748 2596.672 2450.666 2511.632 2496.775
21.25 2359.484 2601.22 2458.195 2508.521 2508.626
22.5 2364.741 2606.824 2460.632 2521.082 2526.466
23.75 2390.98 2621.768 2470.125 2548.247 2545.208
25 2436.385 2644.662 2511.03 2585.048 2570.651
26.25 2472.886 2661.77 2541.342 2614.549 2598.089
27.5 2489.328 2680.513 2548.056 2626.834 2616.829
28.75 2510.295 2709.82 2562.912 2640.525 2645.204
30 2535.559 2730.908 2601.124 2676.293 2660.818
31.25 2548.973 2738.315 2623.13 2698.217 2667.569
32.5 2554.813 2754.173 2625.244 2700.963 2677.11
33.75 2545.754 2741.059 2617.774 2686.282 2669.189
35 2471.324 2676.5 2564.022 2629.144 2607.48
36.25 2344.148 2535.844 2432.686 2500.19 2482.854
37.5 2206.304 2366.69 2269.141 2334.404 2327.809
38.75 2049.336 2202.078 2116.809 2185.988 2160.374
40 1945.199 2080.8 2013.19 2066.193 2052.091
41.25 1892.223 2031.825 1963.429 2004.371 2006.77
42.5 1868.85 2015.854 1946.767 1993.524 1996.319
43.75 1862.194 2016.044 1940.446 1995.327 1993.707
45 1881.61 2035.886 1949.785 2026.064 2015.155
46.25 1954.567 2104.244 2005.545 2104.054 2082.605
47.5 2055.866 2179.203 2096.642 2191.299 2168.818
48.75 2153.058 2249.058 2174.192 2269.184 2238.921
50 2233.861 2331.877 2253.371 2347.944 2322.249
51.25 2273.786 2400.471 2314.392 2395.424 2387.844
52.5 2274.225 2416.607 2326.894 2414.63 2398.215
53.75 2262.281 2404.275 2317.646 2400.036 2392.466
55 2226.844 2364.105 2269.887 2343.578 2356.213
56.25 2129.527 2267.291 2174.032 2243.512 2240.087
57.5 2000.074 2143.614 2052.702 2135.801 2101.066
58.75 1905.79 2038.506 1946.466 2024.404 1988.845
60 1836.402 1933.489 1856.393 1925.485 1900.708
61.25 1771.402 1858.849 1794.471 1849.15 1826.894
62.5 1708.856 1804.176 1740.64 1789.777 1771.972
63.75 1649.282 1746.534 1678.185 1741.76 1722.986
65 1611.099 1692.434 1626.822 1694.138 1670.547
66.25 1571.729 1637.462 1581.062 1655.151 1635.021
67.5 1529.35 1598.415 1544.959 1611.277 1605.569
68.75 1496.312 1559.264 1512.475 1562.132 1558.782
70 1464.737 1533.215 1494.549 1516.93 1524.35
71.25 1442.751 1512.762 1475.032 1491.964 1505.012
72.5 1433.263 1499.829 1461.326 1483.496 1504.961
73.75 1449.85 1521.943 1479.811 1521.021 1538.636
75 1589.471 1680.06 1608.858 1670.744 1683.588
76.25 1781.498 1878.432 1816.682 1853.712 1872.854
77.5 1852.95 1958.11 1912.586 1941.666 1959.872
78.75 1803.873 1899.41 1857.243 1894.094 1898.396
80 1718.483 1783.381 1750.692 1828.593 1813.935
81.25 1810.62 1875.032 1809.645 2005.059 2014.085
82.5 2438.616 2598.165 2414.36 2737.05 2775.594
83.75 3435.236 3663.429 3491.052 3727.628 3855.93
85 4304.286 4547.836 4418.243 4556.889 4752.705
86.25 4481.31 4778.581 4651.589 4832.85 4987.112
87.5 3982.976 4272.139 4144.989 4456.045 4457.423
88.75 3223.267 3459.781 3356.736 3621.199 3568.7
90 2967.73 3137.873 2992.207 3164.945 3202.785
91.25 3314.15 3505.976 3390.094 3452.123 3625.489
92.5 3725.29 4014.977 3887.969 3934.28 4155.031
93.75 3871.562 4232.333 4141.142 4201.475 4393.013
95 3757.048 4118.634 4078.171 4172.085 4285.922
96.25 3760.949 4038.054 4000.071 4092.229 4146.351
97.5 4023.59 4273.75 4173.723 4291.094 4271.875
98.75 4387.545 4604.036 4523.294 4598.854 4596.103
100 4505.2 4706.112 4605.447 4751.043 4753.667
101.25 4328.206 4523.768 4375.346 4624.983 4627.815
102.5 3976.922 4184.317 4001.037 4308.841 4312.036
103.75 3541.668 3756.508 3565.422 3896.378 3869.334
105 3171.955 3357.997 3190.162 3482.335 3451.417
106.25 2926.837 3068.988 2929.787 3172.213 3144.686
107.5 2693.487 2823.43 2688.79 2927.46 2890.431
