AD414_LIGHT 1 2 3 4 5
angle 1.283 -0.677 1.683 0.752 0.347
whole 303.104 302.444 300.92 302.681 303.564
RPEtoOLM 66.775 65.25 66.187 67.534 65.603
RNFL 32.132 31.885 30.25 30.246 32.545
-3.75 497.862 486.706 759.623 474.915 441.291
-2.5 722.879 675.815 958.093 711.65 703.375
-1.25 1358.049 1250.422 1569.004 1340.247 1345.492
0 2113.938 1891.998 2291.683 2055.732 2063.64
1.25 2765.455 2476.932 2807.101 2651.621 2708.284
2.5 3191.023 2838.231 3193.814 3065.728 3094.833
3.75 3497.635 3116.479 3486.241 3345.492 3325.996
5 3627.506 3273.522 3623.285 3449.47 3480.286
6.25 3640.99 3294.688 3639.785 3493.412 3532.41
7.5 3520.641 3206.405 3531.543 3406.049 3452.025
8.75 3247.163 2946.961 3236.874 3134.616 3193.678
10 2827.897 2548.745 2844.663 2693.432 2781.21
11.25 2518.294 2264.693 2521.646 2371.054 2465.123
12.5 2364.521 2127.337 2370.283 2237.62 2296.782
13.75 2314.742 2098.07 2321.792 2202.915 2262.379
15 2315.438 2110.441 2319.541 2209.72 2277.148
16.25 2345.76 2130.766 2341.66 2221.042 2304.672
17.5 2364.465 2138.326 2363.461 2229.918 2321.755
18.75 2365.904 2136.111 2370.222 2219.534 2327.835
20 2353.751 2133.09 2373.55 2218.337 2330.223
21.25 2357.595 2140.194 2400.268 2245.569 2344.198
22.5 2388.293 2163.019 2442.452 2290.957 2364.945
23.75 2437.911 2198.32 2480.42 2330.414 2402.035
25 2465.684 2223.961 2501.37 2359.805 2439.453
26.25 2471.207 2245.486 2506.419 2377.057 2449.158
27.5 2485.082 2253.406 2513.386 2383.81 2448.051
28.75 2505.978 2272.908 2534.393 2393.694 2447.609
30 2536.994 2296.688 2554.171 2417.52 2462.993
31.25 2564.889 2304.089 2561.077 2431.387 2474.455
32.5 2565.131 2304.837 2565.405 2433.093 2485.868
33.75 2558.903 2300.468 2581.137 2441.046 2501.789
35 2507.577 2259.21 2545.32 2387.413 2458.943
36.25 2381.29 2158.805 2423.435 2273.271 2341.633
37.5 2221.551 2002.363 2252.547 2114.885 2190.497
38.75 2044.564 1866.771 2088.196 1940.157 2034.383
40 1938.418 1785.962 1987.681 1852.498 1939.798
41.25 1907.359 1760.522 1947.453 1826.274 1909.108
42.5 1908.252 1758.955 1944.628 1827.084 1899.959
43.75 1911.373 1770.994 1955.062 1837.527 1902.953
45 1938.581 1796.872 1972.681 1846.882 1925.524
46.25 1996.355 1840.059 2032.009 1890.406 1966.544
47.5 2071.824 1925.894 2127.668 1970.207 2043.328
48.75 2174.537 2031.274 2222.839 2078.512 2145.422
50 2270.579 2100.931 2296.542 2167.448 2230.171
51.25 2325.073 2145.187 2358.666 2214.931 2279.997
52.5 2329.168 2164.285 2379.772 2229.592 2310.425
53.75 2298.22 2148.27 2357.675 2213.398 2291.382
55 2220.978 2075.734 2282.878 2144.926 2210.967
56.25 2093.718 1946.606 2151.079 2006.582 2092.721
57.5 1940.644 1809.863 2006.088 1856.454 1956.873
58.75 1817.845 1687.482 1879.973 1733.929 1856.86
60 1723.181 1618.451 1795.515 1664.49 1775.699
61.25 1647.553 1556.296 1733.524 1603.679 1728.517
62.5 1614.826 1508.152 1681.367 1556.534 1714.334
63.75 1573.463 1480.406 1643.371 1516.501 1696.965
65 1545.481 1455.571 1614.81 1488.203 1650.518
66.25 1527.234 1437.168 1593.898 1457.873 1599.718
67.5 1516.595 1431.618 1583.074 1442.738 1565.516
68.75 1512.36 1425.932 1581.221 1430.695 1555.82
70 1496.256 1423.235 1574.112 1427.181 1528.418
71.25 1487.36 1412.976 1558.282 1415.647 1511.17
72.5 1493.502 1406.863 1545.946 1423.352 1520.496
73.75 1551.228 1460.64 1597.827 1462.483 1606.935
75 1731.931 1623.724 1740.511 1614.216 1720.676
76.25 1931.604 1800.168 1933.883 1821.971 1868.652
77.5 1985.385 1854.098 1995.811 1909.17 1926.077
78.75 1900.793 1786.747 1944.172 1840.714 1877.507
80 1817.095 1758.744 1911.605 1736.392 1885.563
81.25 2009.975 2010.97 2095.025 1841.487 2304.405
82.5 2704.184 2740.651 2847.375 2454.018 3077.638
83.75 3666.395 3670.638 3845.801 3434.054 3989.079
85 4414.719 4386.09 4759.138 4324.946 4727.086
86.25 4636.687 4605.588 5056.135 4636.59 4887.887
87.5 4295.966 4286.891 4700.904 4323.442 4507.729
88.75 3805.89 3762.139 4058.037 3663.064 3968.329
90 3683.567 3559.01 3870.75 3418.173 3876.34
91.25 4042.836 3850.754 4294.394 3787.708 4253.172
92.5 4374.356 4252.621 4713.104 4204.915 4596.882
93.75 4408.673 4383.07 4828.191 4298.302 4588.18
95 4215.766 4202.517 4565.736 4018.744 4405.6
96.25 3962.13 3905.339 4207.908 3686.712 4105.109
97.5 3867.04 3737.573 4056.731 3609.1 3961.476
98.75 4009.744 3827.45 4196.912 3765.816 4054.487
100 4057.75 3912.522 4317.94 3869.936 4126.41
101.25 3903.681 3847.482 4247.467 3775.446 4055.89
102.5 3619.754 3629.477 3998.013 3522.901 3811.886
103.75 3218.83 3292.846 3625.128 3128.708 3439.32
105 2788.431 2909.744 3235.591 2711.945 3042.134
106.25 2513.158 2639.21 2955.493 2449.366 2749.179
107.5 2339.911 2473.226 2762.003 2289.765 2553.243
