AD414_DARK 1 2 3 4 5
angle 0.818 0.689 -0.179 2.346 1.517
whole 301.839 302.509 302.987 302.783 300.748
RPEtoOLM 66.168 65.079 66.422 65.511 63.583
RNFL 31.09 32.256 31.966 34.053 30.274
-3.75 540.911 600.466 497.572 449.695 639.759
-2.5 984.211 882.035 814.303 784.34 1033.972
-1.25 1633.604 1491.608 1404.047 1455.388 1656.805
0 2377.487 2156.309 2105.137 2221.109 2304.517
1.25 3022.201 2764.416 2703.851 2941.953 2864.458
2.5 3537.601 3200.225 3073.013 3415.84 3404.512
3.75 3930.465 3518.375 3328.296 3710.234 3774.964
5 4137.042 3637.951 3479.256 3879.646 3949.084
6.25 4170.993 3656.693 3516.199 3913.317 3959.643
7.5 4047.098 3540.654 3412.831 3822.786 3826.454
8.75 3732.203 3263.873 3115.104 3497.685 3512.797
10 3235.761 2829.486 2683.942 3025.251 3053.8
11.25 2865.322 2524.669 2390.23 2662.004 2705.66
12.5 2682.293 2363.659 2253.461 2476.657 2523.536
13.75 2628.227 2311.634 2221.067 2419.948 2466.79
15 2645.627 2319.896 2235.526 2423.504 2479.586
16.25 2671.628 2345.93 2264.542 2448.967 2498.682
17.5 2674.786 2367.56 2273.689 2459.626 2497.253
18.75 2663.083 2364.987 2269.885 2458.179 2498.2
20 2644.134 2355.14 2273.471 2454.417 2506.223
21.25 2648.511 2366.929 2289.456 2468.05 2522.376
22.5 2695.487 2388.743 2320.761 2514.056 2550.115
23.75 2758.741 2432.25 2365.979 2570.719 2593.328
25 2791.228 2470.058 2401.393 2595.39 2632.408
26.25 2794.455 2484.331 2408.77 2593.652 2645.116
27.5 2804.723 2475.775 2410.805 2589.129 2647.522
28.75 2814.662 2475.674 2434.473 2606.714 2655.336
30 2831.932 2479.485 2452.114 2635.491 2669.352
31.25 2835.926 2490.701 2459.244 2638.501 2683.857
32.5 2833.803 2506.398 2462.802 2646.733 2695.845
33.75 2830.971 2512.976 2470.656 2639.592 2690.121
35 2782.002 2469.678 2429.329 2579.108 2634.309
36.25 2647.038 2347.408 2312 2469.491 2502.607
37.5 2453.588 2179.293 2146.129 2315.359 2321.556
38.75 2264.672 2006.897 1978.938 2137.691 2145.024
40 2156.763 1911.266 1880.613 2022.945 2036.676
41.25 2121.26 1883.734 1851.1 1982.207 2007.43
42.5 2117.476 1883.935 1853.458 1981.209 2016.109
43.75 2114.266 1898.975 1872.523 1988.06 2016.669
45 2125.74 1922.615 1907.269 2004.3 2027.513
46.25 2174.642 1962.279 1954.266 2058.843 2080.235
47.5 2270.644 2041.347 2040.176 2152.069 2173.308
48.75 2398.678 2142.314 2136.473 2258.597 2278.271
50 2505.868 2232.494 2222.989 2350.773 2374.294
51.25 2562.641 2291.795 2281.281 2401.366 2428.703
52.5 2579.268 2296.125 2299.01 2399.835 2436.485
53.75 2563.653 2277.375 2283.105 2359.858 2395.237
55 2483.746 2209.937 2217.035 2276.648 2314.784
56.25 2317.463 2072.496 2075.965 2136.512 2178.525
57.5 2120.567 1917.255 1902.458 1967.777 2012.895
58.75 1957.546 1788.47 1769.549 1822.951 1870.125
60 1872.167 1707.355 1690.493 1730.353 1776.189
61.25 1811.775 1644.58 1617.449 1672.599 1703.72
62.5 1757.255 1592.154 1575.495 1633.713 1655.101
63.75 1713.1 1553.551 1550.304 1598.093 1619.317
65 1686.926 1529.37 1531.667 1571.601 1597.922
66.25 1667.614 1515.816 1520.341 1551.556 1587.037
67.5 1650.428 1508.605 1516.578 1545.014 1588.814
68.75 1641.622 1501.991 1518.333 1547.796 1577.867
70 1637.008 1496.391 1513.542 1540.516 1561.635
71.25 1623.157 1500.187 1495.665 1530.357 1554.22
72.5 1622.45 1519.426 1490.08 1536.686 1586.171
73.75 1656.526 1592.751 1549.176 1596.175 1658.538
75 1802.357 1753.264 1713.006 1725.312 1769.395
76.25 1987.933 1903.085 1912.52 1878.782 1857.183
77.5 2034.524 1978.894 1958.38 1941.594 1916.619
78.75 1988.691 1994.146 1872.296 1899.25 2016.709
80 1924.8 2097.047 1827.723 1955.874 2246.877
81.25 2097.741 2388.995 2093.217 2276.546 2747.86
82.5 2761.643 2935.312 2816.614 3005.928 3398.331
83.75 3701.834 3765.571 3832.379 3865.088 4055.95
85 4408.141 4363.772 4572.927 4518.092 4428.651
86.25 4604.101 4577.806 4773.279 4707.354 4375.881
87.5 4245.075 4309.101 4417.462 4407.789 4005.938
88.75 3737.974 3900.331 3866.459 3934.159 3720.056
90 3765.488 3729.225 3817.425 3809.664 3776.618
91.25 4120.561 4063.833 4182.761 4140.275 4055.371
92.5 4422.95 4410.171 4578.945 4401.024 4192.857
93.75 4421.927 4468.098 4598.326 4372.384 4097.19
95 4218.407 4257.532 4337.729 4152.458 3905.544
96.25 4068.209 4037.622 3992.271 3952.14 3825.048
97.5 4089.748 3930.441 3876.125 3922.183 3963.107
98.75 4292.867 3985.809 4010.156 4060.057 4136.672
100 4371.442 4074.414 4100.897 4122.285 4216.01
101.25 4226.323 4018.646 4005.308 4041.092 4102.306
102.5 3892.088 3758.669 3768.028 3778.906 3821.267
103.75 3442.724 3384.964 3402.915 3366.377 3435.064
105 2992.015 2978.414 2984.453 2925.014 3083.508
106.25 2710.698 2700.969 2703.755 2617.525 2849.151
107.5 2528.244 2531.837 2535.199 2423.83 2674.822
