CO100_LIGHT 1 2 3 4 5
angle -1.809 -0.453 -1.766 -0.122 -0.298
whole 341.129 341.645 341.79 342.645 340.834
RPEtoOLM 67.458 67.12 67.62 67.92 67.289
RNFL 39.973 37.76 40.061 40.043 39.974
-3.75 492.365 432.471 465.507 505.83 312.404
-2.5 706.93 618.597 616.64 740.858 546.299
-1.25 1307.884 1190.351 1153.354 1328.699 1143.763
0 2021.573 1886.02 1820.861 2026.376 1757.42
1.25 2772.486 2591.395 2517.844 2816.098 2456.462
2.5 3174.09 2970.443 2869.108 3235.812 2797.221
3.75 3318.408 3131.498 3002.644 3358.995 2921.126
5 3302.392 3159.771 3034.374 3392.372 2950.099
6.25 3254.651 3063.626 3020.777 3367.819 2973.922
7.5 3184.084 2978.586 2983.33 3325.751 2936.882
8.75 3037.033 2847.95 2824.827 3134.457 2775.831
10 2700.21 2554.544 2500.413 2783.275 2447.983
11.25 2445.186 2288.372 2273.073 2509.204 2206.863
12.5 2306.27 2146.411 2200.684 2383.341 2106.125
13.75 2282.735 2102.967 2202.58 2353.966 2100.893
15 2285.487 2113.617 2208.464 2346.54 2102.206
16.25 2260.642 2117.109 2189.77 2332.574 2083.562
17.5 2242.496 2118.718 2163.197 2309.226 2058.697
18.75 2251.175 2113.954 2161.633 2302.813 2050.216
20 2266.449 2108.003 2172.157 2319.325 2050.863
21.25 2260.878 2102.32 2178.419 2314.808 2050.53
22.5 2233.067 2096.736 2152.99 2271.443 2027.831
23.75 2211.327 2087.686 2131.471 2240.552 1986.426
25 2217.392 2083.812 2140.591 2245.627 1995.185
26.25 2233.155 2101.759 2156.417 2274.79 2021.184
27.5 2246.365 2126.919 2165.708 2306.693 2034.476
28.75 2277.31 2152.514 2181.767 2330.32 2037.063
30 2320.538 2188.246 2207.667 2359.384 2047.457
31.25 2336.712 2206.17 2229.894 2377.66 2058.647
32.5 2333.701 2203.865 2212.487 2362.753 2060.335
33.75 2337.399 2201.633 2195.469 2355.143 2048.679
35 2304.538 2181.163 2164.576 2324.695 2017.095
36.25 2190.031 2090.467 2060.77 2211.052 1909.368
37.5 2036.141 1933.706 1927.103 2048.966 1775.945
38.75 1898.1 1804.992 1790.004 1896.561 1651.661
40 1818.268 1733.14 1712.532 1802.19 1574.161
41.25 1770.372 1692.168 1679.319 1755.11 1526.609
42.5 1748.815 1673.563 1660.992 1728.573 1503.664
43.75 1744.544 1668.054 1646.366 1718.727 1502.307
45 1761.639 1675.81 1655.313 1730.542 1515.628
46.25 1825.603 1723.451 1710.792 1767.587 1564.048
47.5 1918.975 1804.876 1793.202 1844.108 1631.323
48.75 1986.834 1876.971 1859.154 1921.251 1688.063
50 2046.888 1938.752 1908.141 1981.867 1733.905
51.25 2090.877 1999.412 1941.301 2027.31 1764.3
52.5 2105.504 2014.115 1961.607 2047.94 1780.547
53.75 2111.21 2024.702 1987.05 2042.999 1792.206
55 2082.399 2022.572 1974.566 2013.069 1780.025
56.25 1991.543 1942.743 1909.804 1928.563 1703.965
57.5 1871.436 1803.006 1808.666 1809.091 1596.672
58.75 1749.008 1674.852 1700.192 1689.172 1494.521
60 1662.52 1599.374 1625.092 1597.468 1420.947
61.25 1585.7 1548.917 1561.43 1535.226 1351.638
62.5 1521.823 1502.478 1506.5 1476.464 1295.65
63.75 1469.498 1444.048 1452.517 1424.384 1255.223
65 1426.931 1395.313 1389.415 1377.441 1208.401
66.25 1392.093 1368.082 1333.822 1337.614 1158.72
67.5 1362.582 1344.759 1282.791 1309.93 1126.893
68.75 1353.217 1333.493 1263.23 1290.431 1115.827
70 1348.362 1327.064 1255.74 1283.072 1109.692
71.25 1341.25 1323.053 1246.249 1276.138 1098.991
72.5 1331.756 1312.982 1232.439 1256.027 1082.911
73.75 1330.699 1303.265 1223.351 1254.266 1074.788
75 1405.343 1371.289 1282.544 1301.361 1123.108
76.25 1565.601 1572.46 1436.691 1456.36 1248.883
77.5 1680.761 1714.558 1538.054 1544.34 1329.092
78.75 1626.177 1644.051 1484.183 1492.816 1277.163
80 1526.994 1513.312 1379.057 1401.419 1202.378
81.25 1558.409 1524.822 1402.591 1435.316 1204.047
82.5 2008.475 2004.559 1733.289 1924.46 1545.404
83.75 2789.203 2818.506 2364.607 2719.683 2153.237
85 3534.009 3572.425 2947.226 3393.569 2724.043
86.25 3902.015 3980.467 3229.587 3614.77 2978.09
87.5 3775.854 3828.136 3086.092 3347.205 2799.719
88.75 3316.06 3299.308 2659.351 2819.731 2357.197
90 2897.916 2887.006 2311.742 2501.891 2044.589
91.25 2888.809 2857.51 2289.431 2570.301 2092.455
92.5 3180.06 3170.695 2438.227 2810.819 2267.28
93.75 3488.492 3548.454 2632.392 3057.136 2461.018
95 3683.461 3770.671 2844.199 3228.252 2610.887
96.25 3719.864 3812.413 3033.045 3328.765 2701.52
97.5 3727.479 3740.28 3284.719 3415.185 2849.342
98.75 3844.352 3854.298 3497.865 3608.963 3079.308
100 3934.394 4003.867 3635.974 3717.091 3189.906
101.25 3803.832 3895.169 3529.388 3583.204 3077.245
102.5 3500.15 3570.329 3237.1 3268.649 2817.981
103.75 3125.02 3146.433 2855.624 2871.453 2487.827
105 2751.212 2729.901 2515.062 2534.994 2182.234
106.25 2502.628 2503.737 2320.366 2353.412 2017.313
107.5 2346.073 2376.678 2193.897 2226.013 1907.936
