CO100_DARK 1 2 3 4 5
angle 4.147 -0.965 2.086 1.771 -0.821
whole 341.625 342.718 342.13 341.672 343.231
RPEtoOLM 67.216 67.944 68.159 67.771 67.919
RNFL 40.496 39.962 40.268 40.735 40.435
-3.75 583.161 410.775 588.103 610.811 549.769
-2.5 798.69 503.568 866.633 866.31 910.862
-1.25 1403.624 1015.271 1507.976 1665.106 1649.192
0 2257.057 1631.301 2261.298 2573.314 2502.991
1.25 3166.848 2283.431 3101.656 3556.562 3432.771
2.5 3486.264 2643.317 3590.016 4090.739 3919.093
3.75 3497.062 2750.202 3791.127 4270.997 4103.775
5 3569.445 2725.542 3923.079 4374.531 4252.563
6.25 3626.898 2678.712 3944.123 4369.496 4287.394
7.5 3598.757 2644.155 3896.111 4308.246 4162.007
8.75 3399.278 2514.34 3658.32 4059.121 3921.154
10 2972.401 2247.384 3178.638 3534.426 3477.831
11.25 2670.165 2018.352 2837.657 3192.922 3128.65
12.5 2528.556 1933.538 2714.373 3055.062 3006.938
13.75 2491.603 1912.383 2712.519 3025.081 3014.193
15 2501.925 1923.962 2702.923 3022.58 3023.962
16.25 2499.517 1921.485 2676.745 3008.315 2984.774
17.5 2490.743 1896.139 2650.742 2992.582 2934.861
18.75 2491.033 1899.496 2660.172 3003.736 2931.728
20 2489.784 1914.308 2685.052 3015.611 2946.235
21.25 2492.987 1915.52 2702.553 3015.757 2934.439
22.5 2469.186 1892.117 2674.548 2991.322 2891.346
23.75 2435.676 1866.385 2635.379 2981.502 2863.858
25 2442.544 1865.986 2648.621 2988.425 2881.505
26.25 2460.992 1885.77 2668.834 3006.694 2912.5
27.5 2488.596 1907.349 2690.764 3034.246 2927.799
28.75 2525.691 1923.317 2719.42 3071.291 2922.858
30 2569.353 1939.466 2760.034 3107.123 2950.512
31.25 2575.416 1945.862 2751.264 3122.207 2963.087
32.5 2553.377 1950.054 2739.676 3096.868 2937.946
33.75 2549.839 1947.44 2737.761 3077.043 2926.247
35 2524.404 1920.988 2697.361 3042.013 2879.399
36.25 2413.606 1819.377 2557.706 2892.973 2708.565
37.5 2238.611 1682.714 2369.058 2684.63 2522.42
38.75 2088.826 1571.47 2214.568 2475.939 2359.09
40 2008.899 1503.527 2123.797 2368.81 2263.649
41.25 1961.661 1470.657 2071.315 2324.68 2207.399
42.5 1925.582 1455.367 2045.883 2299.615 2172.296
43.75 1906.411 1448.928 2049.673 2284.79 2157.1
45 1912.316 1463.221 2062.968 2296.227 2167.9
46.25 1954.354 1510.912 2099.475 2366.725 2232.135
47.5 2043.019 1583.752 2183.991 2467.466 2335.306
48.75 2132.758 1656.092 2279.483 2571.171 2411.158
50 2200.129 1729.026 2370.595 2670.356 2487.014
51.25 2262.735 1779.595 2451.587 2741.308 2557.58
52.5 2316.38 1788.792 2471.725 2739.068 2576.516
53.75 2309.467 1786.394 2450.977 2746.683 2580.251
55 2237.942 1762.742 2394.625 2732.43 2550.539
56.25 2099.134 1695.758 2263.204 2645.041 2455.15
57.5 1908.647 1603.056 2093.291 2512.562 2313.186
58.75 1706.008 1503.043 1907.75 2373.515 2184.964
60 1613.582 1443.827 1823.938 2278.436 2087.385
61.25 1548.297 1379.744 1744.086 2154.878 1982.674
62.5 1502.621 1322.91 1677.044 2062.73 1903.722
63.75 1474.761 1265.085 1640.468 1954.006 1798.895
65 1452.043 1210.683 1603.155 1871.263 1719.431
66.25 1445.07 1164.355 1570.521 1801.131 1656.122
67.5 1457.444 1135.009 1562.06 1746.415 1620.124
68.75 1476.025 1120.961 1567.83 1709.419 1595.682
70 1489.477 1118.777 1556.288 1703.379 1572.895
71.25 1492.494 1108.693 1538.061 1681.021 1555.665
72.5 1470.828 1092.828 1531.303 1657.315 1541.56
73.75 1456.599 1090.06 1525.593 1648.575 1534.729
75 1522.757 1145.624 1584.176 1716.967 1601.268
76.25 1699.596 1274.404 1754.579 1899.506 1760.207
77.5 1812.042 1360.801 1874.369 2008.116 1860.89
78.75 1744.817 1306.062 1805.217 1945.842 1782.298
80 1640.817 1218.265 1693.329 1821.036 1657.665
81.25 1691.839 1218.662 1692.68 1843.071 1646.21
82.5 2217.673 1525.802 2050.047 2250.775 1989.322
83.75 3077.466 2130.983 2737.068 3042.815 2684.822
85 3892.062 2744.821 3457.114 3746.754 3295.841
86.25 4225.469 3020.987 3754.845 4068.444 3540.008
87.5 3951.463 2867.992 3517.253 3873.101 3304.893
88.75 3378.691 2438.975 3032.374 3371.46 2787.275
90 3036.262 2149.854 2699.168 2945.207 2445.71
91.25 3089.922 2197.266 2671.832 2862.141 2398.157
92.5 3325.329 2383.762 2811.475 3006.607 2528.051
93.75 3564.222 2589.43 3079.721 3266.186 2819.813
95 3762.231 2733.878 3397.771 3611.52 3177.934
96.25 3885.544 2846.252 3691.515 3971.874 3534.76
97.5 4050.733 2975.759 4035.787 4303.131 3924.493
98.75 4285.817 3160.894 4336.681 4630.332 4253.536
100 4402.37 3240.217 4437.326 4752.494 4370.468
101.25 4250.241 3092.186 4218.222 4552.498 4171.051
102.5 3897.301 2808.278 3790.511 4123.381 3758.903
103.75 3459.105 2477.264 3296.258 3631.003 3277.938
105 3096.594 2213.386 2914.549 3205.892 2875.484
106.25 2903.993 2068.78 2714.184 2958.113 2668.775
107.5 2760.292 1956.439 2560.537 2778.181 2510.92
