AD786_LIGHT 1 2 3 4 5
angle 0.529 0.647 -1.017 -0.69 0.443
whole 343.923 342.252 345.714 343.924 347.029
RPEtoOLM 72.423 72.068 72.672 72.111 72.055
RNFL 34.569 35.226 37.553 34.906 37.634
-3.75 828.208 796.256 734.093 686.862 706.375
-2.5 1057.512 1069.314 862.997 915.352 927.265
-1.25 1488.343 1550.116 1292.891 1371.094 1374.772
0 2042.448 2117.211 1860.74 1886.646 1914.674
1.25 2638.585 2776.821 2427.328 2427.889 2531.858
2.5 3010.695 3208.646 2760.641 2806.125 2948.738
3.75 3217.087 3431.559 2936.064 2995.996 3132.859
5 3336.837 3571.174 2969.391 3135.08 3201.903
6.25 3367.55 3612.756 2983.139 3200.243 3233.239
7.5 3320.462 3529.656 2952.769 3142.343 3157.594
8.75 3118.21 3324.867 2784.814 2951.625 2953.313
10 2759.032 2925.66 2414.752 2605.559 2620.279
11.25 2490.472 2649.255 2153.736 2350.132 2367.165
12.5 2384.167 2517.787 2047.9 2233.184 2246.319
13.75 2355.929 2471.738 2014.185 2188.216 2202.697
15 2352.561 2466.689 2010.511 2186.244 2196.545
16.25 2359.266 2482.044 2013.467 2195.832 2203.475
17.5 2357.575 2501.385 2027.565 2209.674 2220.451
18.75 2362.713 2498.267 2039.273 2212.849 2228.716
20 2388.205 2495.328 2047.034 2201.658 2229.103
21.25 2396.364 2502.994 2054.78 2203.413 2217.334
22.5 2409.101 2506.99 2066.678 2221.792 2221.038
23.75 2427.933 2525.686 2082.286 2242.988 2247.92
25 2446.039 2573.366 2110.584 2265.816 2274.825
26.25 2471.471 2593.082 2123.939 2279.674 2289.493
27.5 2499.913 2600.264 2121.511 2284.068 2293.214
28.75 2516.927 2630.032 2135.644 2317.693 2316.728
30 2541.627 2671.979 2173.625 2351.883 2346.23
31.25 2581.713 2696.879 2193.636 2362.654 2370.909
32.5 2588.844 2727.087 2207.189 2365.31 2383.282
33.75 2598.367 2738.888 2214.149 2380.817 2386.297
35 2587.766 2716.308 2197.98 2368.068 2360.838
36.25 2497.843 2608.963 2105.524 2271.59 2252.17
37.5 2320.671 2420.511 1958.434 2112.502 2095.277
38.75 2127.634 2241.204 1808.238 1952.947 1940.374
40 2046.987 2141.947 1733.961 1868.641 1861.533
41.25 2022.517 2100.38 1687.795 1841.607 1823.213
42.5 2014.654 2092.601 1678.552 1861.546 1802.488
43.75 2019.388 2107.356 1692.144 1853.698 1816.88
45 2059.301 2132.731 1721.657 1873.725 1846.336
46.25 2126.595 2182.799 1765.774 1924.573 1891.041
47.5 2197.704 2261.823 1825.606 1991.244 1964.626
48.75 2287.927 2355.794 1889.46 2061.966 2025.593
50 2338.925 2415.667 1926.047 2125.92 2079.906
51.25 2393.93 2476.579 1975.122 2181.522 2110.011
52.5 2446.296 2524.248 2018.582 2233.352 2146.041
53.75 2465.958 2546.046 2035.322 2242.475 2169.561
55 2427.661 2496.628 1996.227 2209.903 2151.007
56.25 2293.135 2351.09 1882.394 2087.585 2018.83
57.5 2085.348 2139.211 1725.446 1908.89 1839.13
58.75 1920.524 1956.034 1601.729 1754.528 1711.815
60 1810.023 1847.59 1504.309 1663.175 1621.421
61.25 1733.688 1782.343 1438.741 1598.736 1551.354
62.5 1682.101 1735.8 1400.148 1551.262 1499.133
63.75 1657.768 1712.932 1383.021 1512.658 1461.599
65 1658.752 1695.162 1366.422 1496.317 1436.794
66.25 1656.632 1685.402 1353.595 1495.159 1434.037
67.5 1673.147 1688.346 1348.295 1494.964 1431.683
68.75 1682.278 1694.361 1349.971 1492.586 1422.987
70 1669.95 1694.278 1351.147 1480.496 1427.911
71.25 1661.441 1680.378 1341.13 1479.144 1423.522
72.5 1642.073 1656.437 1328.303 1470.673 1405.128
73.75 1635.042 1652.046 1320.627 1468.702 1423.407
75 1702.471 1726.279 1394.035 1527.482 1504.371
76.25 1897.511 1910.453 1587.597 1710.911 1637.491
77.5 2012.393 1997.145 1688.437 1812.713 1708.809
78.75 1957.236 1946.146 1620.184 1746.009 1653.797
80 1844.729 1868.478 1521.465 1655.616 1636.512
81.25 1885.361 1932.622 1579.193 1702.073 1866.983
82.5 2357.033 2431.412 2077.735 2149.6 2499.03
83.75 3295.334 3340.753 2974.702 3055.649 3282.63
85 4258.613 4165.502 3885.123 4029.511 3955.272
86.25 4743.327 4543.16 4308.793 4568.161 4328.242
87.5 4519.083 4298.805 4050.603 4424.864 4217.67
88.75 3858.794 3722.903 3437.967 3745.906 3661.838
90 3553.968 3422.311 3144.339 3239.06 3192.282
91.25 3800.671 3554.955 3353.21 3325.619 3265.551
92.5 4151.462 3833.121 3699.795 3659.913 3562.847
93.75 4424.633 4085.896 3964.783 3946.743 3828.701
95 4513.084 4238.975 3994.368 4075.073 3937.952
96.25 4413.242 4306.04 3859.233 4029.248 3899.706
97.5 4348.985 4397.37 3741.224 3960.743 3856.639
98.75 4477.411 4551.734 3835.17 4082.146 3925.554
100 4533.066 4615.233 3869.883 4185.145 3993.452
101.25 4368.924 4462.893 3694.077 4068.48 3904.971
102.5 4009.246 4143.573 3406.094 3781.801 3623.305
103.75 3531.821 3681.989 3023.107 3388.451 3261.788
105 3001.936 3148.999 2594.164 2909.212 2841.053
106.25 2594.645 2739.912 2270.394 2485.523 2457.356
107.5 2381.553 2505.757 2085.562 2240.115 2221.496
