YA976_LIGHT-dim 1 2 3 4 5
angle 1.365 2.127 3.551 3.446 4.868
whole 322.449 325.119 321.736 323.654 322.449
RPEtoOLM 73.254 73.686 73.451 73.006 72.626
RNFL 32.125 35.092 31.897 33.801 33.187
-3.75 912.221 696.555 886.329 837.371 819.196
-2.5 1064.692 854.146 1024.371 1035.941 934.181
-1.25 1608.052 1519.078 1448.898 1590.315 1373.367
0 2492.835 2409.937 2060.505 2343.119 1965.622
1.25 3283.862 3370.318 2619.953 3008.506 2574.983
2.5 3415.039 3672.203 2965.987 3443.189 2957.298
3.75 3258.025 3630.075 3137.244 3658.821 3083.62
5 3234.291 3673.57 3153.684 3709.001 3146.121
6.25 3226.776 3657.185 3149.547 3713.244 3173.332
7.5 3201.959 3589.702 3087.603 3610.339 3094.727
8.75 3051.446 3391.891 2866.007 3360.051 2912.308
10 2662.722 2928.354 2453.786 2882.244 2516.194
11.25 2312.809 2514.381 2132.506 2537.848 2209.955
12.5 2143.087 2311.277 1988.55 2373.54 2082.815
13.75 2080.855 2258.263 1952.929 2311.592 2049.646
15 2060.665 2263.743 1960.645 2295.789 2058.923
16.25 2072.783 2277.508 1972.965 2312.762 2076.041
17.5 2094.95 2292.327 1980.216 2332.705 2082.086
18.75 2102.969 2287.137 1980.269 2339.35 2087.782
20 2101.067 2276.785 1979.681 2339.265 2064.172
21.25 2098.776 2257.437 1961.024 2317.368 2038.39
22.5 2102.092 2271.742 1962.66 2284.083 2047.634
23.75 2120.028 2303.036 2005.91 2306.223 2089.301
25 2140.521 2326.156 2040.441 2374.608 2130.758
26.25 2152.735 2333.434 2040.523 2413.023 2144.766
27.5 2153.973 2343.07 2051.939 2416.697 2155.456
28.75 2156.674 2374.271 2077.886 2430.652 2171.995
30 2184.247 2398.374 2078.03 2441.054 2191.278
31.25 2196.497 2395.18 2064.376 2440.333 2199.892
32.5 2199.235 2402.944 2068.335 2446.125 2207.291
33.75 2204.94 2413.994 2083.909 2443.803 2223.895
35 2162.433 2362.888 2064.95 2425.45 2188.318
36.25 2057.191 2237.526 1951.523 2298.144 2066.016
37.5 1905.5 2074.507 1795.427 2107.497 1917.327
38.75 1770.628 1925.402 1673.511 1964.316 1791.051
40 1685.559 1840.078 1597.878 1878.211 1709.175
41.25 1638.453 1786.393 1558.815 1827.884 1669.284
42.5 1618.423 1756.922 1539.711 1807.131 1645.472
43.75 1617.889 1744.381 1530.104 1786.895 1629.186
45 1624.553 1756.837 1525.97 1785.408 1628.971
46.25 1643.455 1803.781 1540.894 1823.985 1657.368
47.5 1693.551 1862.823 1596.927 1893.926 1720.371
48.75 1765.285 1941.215 1664.598 1966.636 1803.092
50 1830.033 2003.202 1725.374 2035.196 1866.282
51.25 1884.668 2054.566 1778.385 2100.488 1916.25
52.5 1909.994 2088.437 1813.293 2140.497 1950.01
53.75 1900 2076.444 1819.143 2121.029 1942.21
55 1849.589 2018.224 1772.252 2038.323 1877.144
56.25 1744.26 1903.63 1655.787 1926.152 1753.772
57.5 1618.727 1744.898 1517.683 1774.107 1596.664
58.75 1492.446 1599.66 1375.533 1614.716 1442.124
60 1420.167 1530.128 1300.632 1528.239 1366.751
61.25 1367.479 1478.604 1257.652 1481.782 1316.44
62.5 1340.31 1442.293 1233.884 1452.193 1295.874
63.75 1331.101 1413.795 1220.986 1427.936 1287.271
65 1308.635 1404.493 1205.738 1409.359 1277.986
66.25 1291.99 1388.858 1193.246 1392.737 1256.188
67.5 1273.492 1367.081 1189.358 1377.513 1257.938
68.75 1259.022 1356.534 1178.408 1364.814 1262.597
70 1248.334 1349.156 1173.957 1359.522 1244.368
71.25 1233.993 1334.299 1166.637 1354.637 1237.972
72.5 1208.92 1304.36 1150.52 1337.091 1249.901
73.75 1201.455 1304.308 1146.542 1326.811 1239.647
75 1242.692 1358.4 1180.425 1365.379 1266.393
76.25 1423.825 1551.194 1320.086 1519.564 1424.141
77.5 1501.15 1651.628 1395.865 1608.119 1490.658
78.75 1427.263 1575.289 1333.129 1543.553 1436.08
80 1333.873 1468.181 1261.397 1454.016 1387.276
81.25 1374.654 1531.921 1335.711 1531.82 1471.855
82.5 1853.148 2100.55 1873.164 2149.443 2029.033
83.75 2839.783 3167.776 2857.683 3303.097 2986.577
85 3844.294 4240.293 3717.462 4354.131 3815.517
86.25 4223.715 4688.055 3994.888 4728.655 4072.9
87.5 3851.942 4275.826 3582.838 4279.639 3701.453
88.75 3186.721 3531.374 2993.879 3536.997 3128.211
90 2934.356 3257.651 2841.484 3291.961 2905.396
91.25 3218.449 3565.084 3136.5 3641.013 3100.503
92.5 3661.961 4042.616 3519.383 4103.062 3360.218
93.75 3824.331 4248.265 3592.106 4270.263 3398.725
95 3559.823 3946.492 3313.499 3951.91 3232.867
96.25 3227.374 3532.458 3040.901 3506.051 3126.919
97.5 3182.735 3427.019 3071.981 3440.443 3232.488
98.75 3338.958 3582.558 3192.515 3613.841 3420.184
100 3386.538 3675.032 3237.748 3716.411 3486.029
101.25 3310.942 3602.332 3199.647 3663.641 3430.297
102.5 3135.583 3436.266 3047.051 3474.741 3290.493
103.75 2835.405 3158.338 2746.2 3136.271 2998.755
105 2551.934 2826.598 2451.452 2777.518 2708.713
106.25 2388.052 2609.905 2278.558 2548.554 2516.053
107.5 2273.85 2463.356 2160.675 2390.571 2367.454
