CO267_DARK 1 2 3 4 5
angle -3.764 -2.023 -0.048 1.793 -4.586
whole 328.108 325.519 326.086 328.668 326.663
RPEtoOLM 67.498 66.24 66.17 66.097 66.818
RNFL 33.464 34.197 36.394 36.66 33.823
-3.75 1195.069 990.726 1031.126 952.484 1133.311
-2.5 1447.028 1194.627 1187.717 1194.859 1375.629
-1.25 1820.372 1502.033 1523.639 1696.096 1715.373
0 2379.893 1957.013 2045.833 2508.683 2195.563
1.25 2976.257 2491.384 2563.442 3323.764 2735.504
2.5 3467.02 2924.504 2896.828 3698.517 3177.818
3.75 3707.407 3157.351 3098.663 3660.317 3444.501
5 3830.332 3286.393 3217.314 3652.236 3595.342
6.25 3869.153 3350.665 3260.993 3696.522 3631.092
7.5 3789.939 3331.14 3257.199 3695.79 3549.519
8.75 3593.636 3150.176 3050.151 3493.769 3334.045
10 3228.898 2750.506 2611.22 3023.515 2998.135
11.25 2942.913 2461.182 2317.439 2649.132 2719.26
12.5 2812.305 2349.274 2188.459 2434.908 2585.289
13.75 2770.362 2319.029 2160.127 2382.2 2526.934
15 2781.11 2341.472 2166.155 2398.023 2510.452
16.25 2802.383 2360.621 2177.345 2404.351 2522.569
17.5 2821.943 2368.4 2190.45 2403.057 2531.934
18.75 2841.548 2374.605 2219.188 2420.455 2542.101
20 2845.08 2395.488 2243.065 2435.461 2569.874
21.25 2852.728 2397.04 2254.522 2453.836 2579.748
22.5 2859.324 2395.449 2252.617 2440.476 2585.665
23.75 2876.511 2418.33 2269.666 2425.321 2589.16
25 2900.196 2450.383 2304.61 2453.037 2612.62
26.25 2925.047 2468.306 2339.403 2488.924 2629.654
27.5 2934.378 2473.855 2328.96 2491.118 2615.979
28.75 2938.484 2467.863 2329.061 2478.501 2600.842
30 2954.595 2489.945 2372.331 2509.612 2615.828
31.25 2987.811 2536.857 2406.104 2529.328 2652.566
32.5 3010.71 2575.576 2424.602 2504.361 2694.557
33.75 3004.193 2583.327 2431.761 2508.73 2720.603
35 2976.724 2554.637 2432.407 2517.694 2690.155
36.25 2850.673 2447.265 2333.867 2416.218 2573.37
37.5 2645.061 2263.498 2150.835 2236.502 2388.134
38.75 2457.229 2089.429 1993.787 2069.042 2225.271
40 2345.17 1983 1892.882 1964.365 2117.252
41.25 2287.364 1931.039 1845 1903.497 2058.742
42.5 2288.82 1927.432 1827.58 1873.714 2033.545
43.75 2290.727 1941.695 1838.193 1868.396 2038.659
45 2301.056 1947.361 1854.953 1872.966 2046.143
46.25 2349.334 1975.016 1882.234 1895.628 2075.944
47.5 2435.775 2056.458 1951.117 1959.123 2158.472
48.75 2560.125 2170.7 2057.067 2048.992 2265.124
50 2678.008 2305.863 2154.502 2139.059 2385.792
51.25 2756.986 2423.433 2251.049 2223.559 2476.406
52.5 2779.845 2441.757 2304.957 2291.747 2505.559
53.75 2753.08 2411.466 2284.16 2296.392 2496.239
55 2727.659 2368.506 2212.237 2213.385 2494.427
56.25 2680.103 2292.074 2105.304 2067.063 2476.655
57.5 2581.028 2183.527 1963.716 1897.843 2418.796
58.75 2491.765 2058.573 1821.982 1740.37 2360.52
60 2408.39 1950.605 1712.52 1616.918 2305.542
61.25 2326.326 1870.501 1646.967 1539.047 2216.915
62.5 2257.577 1822.862 1600.739 1511.587 2143.423
63.75 2190.754 1770.643 1573.382 1487.726 2066.22
65 2117.079 1732.658 1552.742 1465.182 1978.212
66.25 2033.968 1694.192 1531.565 1453.653 1887.068
67.5 1950.542 1664.247 1528.479 1452.553 1806.314
68.75 1868.914 1630.091 1536.835 1456.985 1711.153
70 1802.667 1599.452 1524.698 1459.355 1644.311
71.25 1767.867 1575.775 1511.611 1449.893 1607.746
72.5 1746.881 1562.26 1501.385 1433.286 1590.429
73.75 1747.975 1563.132 1498.9 1425.566 1579.44
75 1815.006 1624.859 1548.839 1469.096 1624.712
76.25 1962.251 1806.716 1745.369 1595.554 1768.087
77.5 2049.752 1923.201 1865.198 1707.659 1865.738
78.75 2001.713 1874.426 1810.708 1677.716 1834.654
80 1913.342 1795.544 1745.064 1630.583 1764.092
81.25 1988.338 2010.248 1910.061 1878.993 1877.86
82.5 2470.775 2806.089 2564.41 2658.554 2479.902
83.75 3143.252 3919.185 3656.21 3789.988 3379.342
85 3607.047 4738.978 4673.396 4591.716 3973.345
86.25 3608.795 4852.276 4983.555 4764.621 4018.221
87.5 3202.561 4312.848 4490.272 4257.631 3552.355
88.75 2730.051 3470.572 3619.226 3468.436 2941.979
90 2519.325 3212.625 3268.383 3112.96 2739.315
91.25 2575.311 3597.036 3681.517 3510.954 2869.986
92.5 2781.437 4037.387 4238.143 4097.251 3072.303
93.75 3183.551 4225.827 4489.579 4377.589 3247.887
95 3635.912 4110.164 4357.781 4243.81 3464.614
96.25 4077.107 3983.564 4100.804 3959.72 3773.778
97.5 4492.122 4101.312 4045.248 3885.784 4116.202
98.75 4756.753 4362.344 4222.826 4080.17 4389.633
100 4774.719 4510.741 4392.367 4213.998 4476.452
101.25 4462.935 4290.009 4218.133 4046.844 4264.832
102.5 3972.594 3850.742 3798.489 3662.337 3868.766
103.75 3429.825 3348.003 3274.331 3186.658 3365.392
105 3039.332 2919.296 2823.915 2775.584 2961.433
106.25 2848.001 2697.6 2614.179 2555.786 2759.274
107.5 2673.465 2534.565 2455.662 2397.956 2587.093
