CO443_LIGHT 1 2 3 4 5
angle -2.741 -5.68 -1.348 -3.144 -2.245
whole 313.635 314.707 312.628 312.037 310.628
RPEtoOLM 67.656 67.557 67.103 67.183 67.439
RNFL 29.642 30.307 29.705 29.323 28.813
-3.75 715.548 671.452 568.903 718.587 662.622
-2.5 897.991 871.652 768.504 962.444 844.707
-1.25 1450.352 1513.103 1243.093 1442.684 1273.937
0 2076.878 2163.445 1777.13 2081.473 1828.557
1.25 2684.1 2794.924 2307.816 2693.387 2350.533
2.5 3139.734 3282.323 2731.745 3144.465 2743.886
3.75 3378.01 3548.638 2961.186 3394.794 2957.318
5 3507.233 3680.769 3040.992 3520.065 3064.285
6.25 3538.774 3699.432 3071.539 3577.843 3093.655
7.5 3487.188 3639.546 3044.299 3535.327 3035.108
8.75 3299.283 3471.496 2868.532 3351.353 2867.251
10 2993.313 3166.555 2526.245 3014.596 2594.242
11.25 2717.152 2905.577 2269.88 2731.004 2352.32
12.5 2611.602 2795.874 2149.018 2613.485 2244.77
13.75 2592.503 2774.031 2121.474 2597.268 2225.666
15 2588.229 2768.11 2130.824 2595.333 2225.477
16.25 2596.793 2767.215 2145.299 2596.368 2232.487
17.5 2597.962 2774.911 2156.942 2598.19 2230.848
18.75 2601.018 2769.964 2154.844 2608.86 2238.568
20 2604.164 2773.373 2155.593 2621.913 2259.061
21.25 2611.712 2781.607 2158.821 2634.17 2275.824
22.5 2613.615 2779.784 2157.99 2640.677 2277.971
23.75 2619.703 2786.616 2155.372 2660.274 2289.023
25 2642.079 2824.418 2174.297 2685.94 2299.545
26.25 2656.183 2848.233 2201.799 2709.554 2314.477
27.5 2663.5 2850.543 2210.488 2720.982 2326.387
28.75 2678.236 2862.701 2230.303 2746.612 2347.385
30 2713.816 2889.967 2259.141 2768.631 2384.641
31.25 2753.646 2918.524 2271.632 2789.239 2414.119
32.5 2756.297 2918.889 2270.751 2801.462 2426.534
33.75 2737.254 2890.141 2255.266 2802.031 2407.979
35 2695.405 2826.543 2213.197 2760.449 2360.842
36.25 2569.614 2693.117 2118.499 2641.196 2260.348
37.5 2407.175 2535.81 1980.44 2468.216 2116.041
38.75 2235.561 2363.843 1839.893 2283.056 1967.194
40 2142.63 2250.278 1751.153 2184.957 1886.199
41.25 2090.754 2205.263 1714.407 2144.233 1843.694
42.5 2084.427 2203.9 1707.155 2141.598 1835.566
43.75 2101.217 2208.594 1715.289 2146.588 1844.212
45 2140.749 2249.989 1726.111 2175.234 1874.989
46.25 2229.818 2346.931 1763.029 2262.957 1946.752
47.5 2344.302 2475.532 1843.543 2385.902 2043.543
48.75 2452.511 2578.448 1924.025 2490.405 2138.148
50 2523.634 2632.158 1990.305 2552.924 2212.666
51.25 2562.261 2680.208 2051.402 2605.019 2250.662
52.5 2603.154 2761.133 2078.719 2670.958 2269.336
53.75 2652.896 2809.728 2094.287 2719.435 2296.329
55 2598.502 2764.229 2061.748 2682.818 2251.944
56.25 2497.801 2668.103 1933.039 2553.285 2130.291
57.5 2368.794 2537.769 1779.221 2405.399 1991.738
58.75 2262.926 2411.688 1679.101 2279.113 1889.675
60 2147.692 2292.902 1603.374 2180.447 1807.26
61.25 2052.525 2189.537 1538.173 2099.434 1738.285
62.5 1972.895 2105.531 1488.704 2024.437 1676.957
63.75 1912.121 2022.381 1450.087 1956.689 1632.098
65 1845.654 1946.689 1432.775 1908.681 1602.24
66.25 1780.729 1863.553 1418.043 1861.053 1575.733
67.5 1719.939 1785.644 1396.762 1812.624 1551.231
68.75 1670.36 1732.459 1380.818 1766.92 1524.47
70 1646.751 1697.113 1366.501 1733.853 1503.819
71.25 1631.948 1675.605 1355.332 1715.985 1491.83
72.5 1626.807 1676.328 1343.054 1707.574 1486.885
73.75 1654.009 1722.372 1350.693 1724.006 1501.033
75 1760.847 1842.03 1442.821 1838.573 1595.251
76.25 1922.095 1981.683 1617.524 2010.68 1766.976
77.5 1988.433 2033.352 1697.356 2081.474 1846.268
78.75 1926.873 1978.314 1636.03 2025.309 1793.171
80 1819.518 1899.788 1536.846 1932.107 1707.372
81.25 1867.046 2012.965 1599.276 1969.794 1770.312
82.5 2334.644 2537.772 2100.419 2475.158 2287.991
83.75 3103.927 3248.707 2943.603 3318.693 3110.754
85 3677.568 3688.391 3553.159 4026.18 3758.315
86.25 3735.867 3691.119 3724.514 4164.246 3858.414
87.5 3335.566 3320.438 3352.375 3757.799 3461.216
88.75 2876.398 2908.471 2816.015 3247.611 2952.317
90 2735.569 2750.334 2590.799 3038.336 2771.453
91.25 2845.537 2829.225 2777.457 3175.171 2974.764
92.5 3070.194 3009.913 3211.739 3422.844 3320.922
93.75 3330.773 3271.057 3551.082 3681.837 3618.22
95 3628.391 3692.32 3689.16 3953.972 3800.227
96.25 3980.012 4129.301 3718.069 4232.274 3941.757
97.5 4390.468 4549.386 3811.251 4589.488 4161.984
98.75 4676.907 4866.11 3972.977 4894.521 4407.517
100 4792.28 4992.198 4106.686 5111.589 4530.234
101.25 4628.22 4831.396 4041.926 5009.509 4393.713
102.5 4258.805 4472.392 3754.4 4625.185 4054.075
103.75 3755.823 3965.698 3327.243 4076.665 3569.956
105 3245.696 3456.584 2874.612 3522.688 3095.412
106.25 2951.721 3152.342 2603.36 3192.589 2830.591
107.5 2805.878 2999.303 2490.11 3021.341 2699.121
