CO443_DARK 1 2 3 4 5
angle -1.192 -4.906 -0.991 -1.356 -1.913
whole 312.032 313.2 311.302 311.909 312.481
RPEtoOLM 66.884 68.245 67.653 67.186 67.73
RNFL 29.396 30.468 28.881 29.121 29.209
-3.75 731.106 625.285 757.337 673.675 658.448
-2.5 948.303 686.518 1036.952 961.761 835.218
-1.25 1472.965 1072.121 1539.171 1480.779 1325.764
0 2105.61 1574.814 2156.475 2095.127 1913.3
1.25 2747.786 2019.509 2692.508 2672.552 2480.471
2.5 3219.645 2360.253 3154.432 3103.908 2928.564
3.75 3464.592 2561.75 3416.739 3387.628 3156.7
5 3558.8 2663.227 3481.851 3501.972 3254.146
6.25 3591.81 2688.046 3499.588 3551.214 3311.275
7.5 3509.339 2663.983 3436.85 3480.604 3282.647
8.75 3301.236 2534.215 3223.122 3255.649 3109.962
10 2948.613 2295.362 2883.328 2898.224 2766.621
11.25 2667.97 2105.709 2582.244 2612.231 2502.314
12.5 2539.106 2029.368 2443.267 2479.523 2389.99
13.75 2511.827 2012.345 2419.63 2448.787 2367.21
15 2523.173 2021.749 2426.224 2446.067 2371.671
16.25 2528.838 2024.042 2439.5 2452.556 2383.442
17.5 2516.297 2016.177 2444.834 2455.818 2397.416
18.75 2509.57 2009.353 2442.242 2453.753 2394.1
20 2522.395 2019.504 2449.648 2468.332 2397.637
21.25 2540.304 2029.574 2472.745 2476.956 2403.586
22.5 2552.62 2019.278 2469.877 2487.075 2420.574
23.75 2573.767 2015.858 2466.995 2499.797 2447.017
25 2596.103 2037.397 2492.789 2521.813 2470.989
26.25 2614.282 2056.959 2526.476 2543.437 2475.966
27.5 2621.982 2055.268 2520.149 2549.745 2476.71
28.75 2638.19 2067.596 2541.146 2569.192 2497.629
30 2672.976 2093.162 2585.057 2603.015 2528.156
31.25 2696.811 2117.677 2609.242 2612.754 2542.372
32.5 2692.829 2111.688 2603.725 2606.472 2525.813
33.75 2669.073 2093.267 2586.597 2596.599 2505.785
35 2630.613 2049.458 2550.605 2563.713 2459.692
36.25 2526.252 1954.082 2446.847 2465.451 2357.899
37.5 2355.457 1839.64 2284.192 2297.756 2220.435
38.75 2192.761 1719.128 2113.39 2132.665 2069.343
40 2106.089 1645.641 2012.512 2044.065 1981.388
41.25 2057.892 1600.772 1964.654 2003.774 1948.266
42.5 2052.376 1588.328 1956.596 1992.885 1938.938
43.75 2056.451 1594.141 1968.261 1990.602 1949.339
45 2075.739 1619.808 1990.862 2007.961 1969.098
46.25 2139.489 1687.414 2041.468 2061.032 2026.295
47.5 2247.559 1778.026 2140.229 2158.085 2136.101
48.75 2352.849 1848.987 2252.103 2265.262 2237.866
50 2455.942 1915.5 2315.696 2359.56 2330.416
51.25 2521.434 1960.81 2363.664 2452.824 2398.009
52.5 2545.732 2007.958 2393.063 2490.368 2421.889
53.75 2550.256 2025.045 2407.552 2485.487 2437.937
55 2507.185 1988.169 2365.92 2436.125 2408.911
56.25 2376.773 1947.252 2231.923 2301.431 2269.955
57.5 2202.49 1866.771 2058.915 2130.312 2104.963
58.75 2073.377 1782.921 1906.059 1993.147 2002.876
60 1977.683 1689.796 1818.812 1906.864 1913.753
61.25 1908.72 1604.013 1769.46 1838.603 1839.782
62.5 1842.146 1536.231 1717.539 1776.886 1770.783
63.75 1786.742 1483.257 1681.307 1733.25 1711.859
65 1738.853 1433.792 1650.956 1709.1 1681.249
66.25 1713.616 1373.812 1622.456 1686.928 1665.446
67.5 1701.348 1320.074 1599.841 1665.428 1633.794
68.75 1682.446 1275.758 1583.497 1640.047 1592.552
70 1653.997 1244.358 1569.644 1614.17 1567.73
71.25 1642.849 1220.692 1559.648 1601.89 1552.658
72.5 1630.414 1220.249 1553.782 1591.694 1543.335
73.75 1636.092 1253.037 1560.138 1597.165 1556.43
75 1737.877 1336.194 1644.15 1696.729 1653.48
76.25 1935.992 1439.764 1864.047 1890.189 1836.835
77.5 2027.963 1470.862 1986.683 1980.036 1915.831
78.75 1961.58 1425.419 1908.306 1915.072 1848.134
80 1857.392 1370.621 1785.253 1810.152 1746.846
81.25 1895.293 1429.184 1791.489 1865.266 1779.393
82.5 2365.862 1789.02 2269.514 2429.387 2261.578
83.75 3264.021 2298.555 3191.321 3288.738 3104.885
85 3958.784 2601.006 3970.252 4010.14 3744.52
86.25 4141.673 2556.867 4186.346 4153.714 3839.653
87.5 3770.693 2254.113 3773.399 3739.94 3429.805
88.75 3202.261 1998.816 3192.559 3194.919 2951.638
90 3019.412 1953.112 2980.875 2992.925 2825.41
91.25 3213.744 2024.694 3234.707 3223.752 3018.351
92.5 3596.971 2144.389 3689.784 3656.9 3325.653
93.75 3930.105 2386.955 4077.63 4026.229 3564.856
95 4129.684 2746.469 4231.561 4128.432 3730.616
96.25 4237.378 3102.804 4219.358 4165.455 3908.344
97.5 4426.246 3417.263 4331.991 4365.911 4226.599
98.75 4678.697 3635.214 4559.022 4621.023 4495.854
100 4893.99 3677.49 4712.252 4744.626 4610.68
101.25 4821.048 3511.418 4597.403 4621.742 4435.939
102.5 4476.886 3212.936 4266.589 4270.366 4065.598
103.75 3956.081 2865.263 3771.113 3730.745 3557.885
105 3407.064 2627.523 3254.803 3196.016 3084.125
106.25 3060.323 2492.099 2957.165 2893.817 2837.041
107.5 2901.703 2380.362 2800.649 2742.724 2697.373
