AD387_LIGHT 1 2 3 4 5
angle 0.362 0.119 -0.397 0.11 -0.672
whole 299.729 302.012 300.655 298.719 300.869
RPEtoOLM 67.309 67.548 67.49 67.977 67.928
RNFL 35.077 35.305 34.687 34.732 34.697
-3.75 573.857 649.905 683.455 866.742 592.985
-2.5 924.744 909.622 1037.991 1093.162 904.006
-1.25 1733.981 1531.976 1662.391 1815.988 1566.237
0 2655.235 2305.336 2489.873 2722.153 2345.299
1.25 3610.352 3148.451 3390.692 3556.095 3093.052
2.5 4238.371 3648.539 3898.945 4113.967 3665.422
3.75 4508.887 3902.495 4219.844 4391.988 3918.877
5 4618.142 4002.129 4353.32 4505.735 4017.618
6.25 4639.788 4017.037 4365.42 4495.105 4028.218
7.5 4535.426 3959.459 4246.997 4390.572 3926.179
8.75 4292.293 3733.057 3995.58 4100.495 3688.698
10 3743.361 3305.086 3529.141 3596.514 3231.658
11.25 3372.204 3002.071 3201.118 3245.307 2907.955
12.5 3129.964 2817.199 3002.157 3042.609 2754.989
13.75 3052.134 2761.846 2926.437 2980.926 2700.183
15 3024.317 2739.165 2894.401 2955.397 2686.254
16.25 3019.644 2727.8 2889.911 2938.87 2667.498
17.5 3025.428 2725.99 2905.038 2928.978 2658.824
18.75 3029.392 2733.994 2930.372 2942.735 2653.015
20 3041.627 2748.585 2941.547 2950.866 2656.706
21.25 3048.491 2764.336 2938.704 2953.867 2671.962
22.5 3048.147 2789.125 2931.396 2959.212 2691.982
23.75 3047.183 2792.941 2920.192 2966.231 2696.932
25 3058.533 2807.793 2930.151 2978.206 2714.358
26.25 3066.816 2825.576 2952.938 3006.285 2738.337
27.5 3075.426 2836.64 2969.88 3017.286 2741.641
28.75 3097.925 2846.163 2985.208 3034.359 2750.339
30 3134.981 2871.145 3008.444 3053.747 2778.628
31.25 3171.282 2889.283 3018.845 3075.768 2809.708
32.5 3172.937 2909.779 3029.662 3080.392 2830.821
33.75 3162.111 2912.64 3024.679 3067.579 2837.948
35 3106.889 2870.534 2983.824 3043.71 2781.209
36.25 2963.003 2731.169 2861.012 2926.095 2647.952
37.5 2757.113 2543.723 2654.946 2715.986 2460.874
38.75 2533.714 2355.637 2450.029 2484.966 2257.778
40 2390.932 2243.422 2336.715 2350.123 2154.583
41.25 2330.023 2198.397 2285.844 2299.242 2112.62
42.5 2322.061 2196.245 2273.385 2296.999 2095.291
43.75 2329.252 2217.188 2276.705 2297.858 2093.818
45 2347.062 2238.691 2294.398 2305.786 2106.281
46.25 2389.206 2276.055 2323.915 2359.625 2129.314
47.5 2488.951 2360.519 2378.859 2453.117 2193.378
48.75 2614.882 2464.192 2472.421 2562.242 2287.336
50 2721.608 2562.956 2576.405 2658.308 2386.281
51.25 2796.027 2628.628 2656.49 2718.229 2449.054
52.5 2804.685 2650.72 2697.202 2732.239 2466.223
53.75 2783.743 2632.209 2677.797 2718.354 2478.346
55 2732.621 2574.987 2617.506 2665.908 2449.025
56.25 2604.579 2470.987 2507.375 2538.661 2333.612
57.5 2417.791 2306.557 2359.847 2364.223 2178.737
58.75 2273.559 2151.839 2221.285 2221.784 2052.546
60 2159.947 2043.823 2104.759 2110.645 1953.759
61.25 2075.609 1972.363 2020.801 2034.323 1886.239
62.5 2008.586 1918.281 1949.827 1978.006 1836.127
63.75 1960.791 1883.928 1903.942 1942.331 1792.628
65 1930.487 1858.643 1867.884 1908.441 1755.093
66.25 1892.086 1850.745 1834.32 1875.477 1728.743
67.5 1865.414 1835.999 1812.214 1871.084 1703.546
68.75 1836.008 1812.228 1791.203 1860.543 1652.84
70 1805.626 1781.54 1759.481 1813.73 1612.989
71.25 1789.122 1765.651 1739.441 1787.132 1590.213
72.5 1776.053 1758.375 1731.734 1768.703 1578.517
73.75 1790.689 1768.447 1751.119 1777.519 1595.836
75 1892.26 1875.502 1847.535 1869.684 1696.064
76.25 2079.228 2073.398 2022.366 2064.572 1865.453
77.5 2191.119 2170.863 2118.752 2184.064 1950.018
78.75 2133.235 2123.323 2073.369 2141.426 1896.056
80 2021.121 1995.304 2001.593 2018.209 1782.33
81.25 2087.613 2001.789 2145.533 2091.671 1837.405
82.5 2610.005 2393.23 2570.253 2713.222 2259.159
83.75 3320.904 2959.194 3209.425 3569.05 2826.902
85 3793.341 3348.594 3554.42 4118.411 3245.462
86.25 3737.81 3264.433 3484.779 4039.251 3165.981
87.5 3252.886 2805.053 3031.167 3474.829 2695.851
88.75 2735.841 2471.11 2544.299 2939.754 2254.479
90 2628.599 2342.084 2386.38 2821.386 2114.29
91.25 2730.661 2407.755 2457.173 2923.473 2186.894
92.5 2861.471 2565.251 2632.965 3071.915 2335.792
93.75 3166.124 2902.923 3016.078 3390.299 2659.973
95 3662.295 3491.966 3480.932 3908.898 3187.486
96.25 4185.327 4091.711 3884.468 4399.437 3622.056
97.5 4620.384 4586.892 4317.593 4741.167 4000.861
98.75 5054.342 5008.466 4687.617 5157.32 4300.448
100 5243.097 5121.835 4873.665 5370.718 4475.412
101.25 5028.314 4894.584 4717.441 5176.108 4313.97
102.5 4557.229 4388.06 4285.839 4675.867 3897.532
103.75 3970.247 3798.252 3723.51 4072.398 3382.568
105 3453.302 3357.564 3178.669 3557.712 2944.237
106.25 3148.043 3083.488 2831.68 3257.514 2667.32
107.5 2952.967 2874.785 2606.539 3025.137 2469.77
