CO787_LIGHT 1 2 3 4 5
angle -0.036 0.518 -1.938 0.323 -0.377
whole 317.424 321.186 318.832 319.778 318.797
RPEtoOLM 65.79 65.438 65.986 66.166 66.222
RNFL 32.906 37.667 33.396 33.571 33.123
-3.75 513.264 475.901 507.589 523.206 542.358
-2.5 811.608 673.253 809.07 786.295 901.502
-1.25 1311.194 1255.66 1420.379 1317.168 1558.034
0 1944.576 2089.468 2121.616 1919.76 2334.097
1.25 2653.777 3007.952 2841.063 2554.556 3169.376
2.5 3152.283 3282.331 3361.394 3067.032 3736.556
3.75 3345.994 3487.231 3618.534 3276.978 3989.805
5 3497.155 3670.175 3704.469 3391.175 4189.483
6.25 3563.352 3781.707 3780.721 3453.075 4232.743
7.5 3524.849 3806.992 3736.884 3369.702 4170.432
8.75 3304.081 3617.256 3541.246 3127.759 3869.576
10 2850.307 3135.878 3063.475 2718.789 3362.609
11.25 2515.972 2731.126 2732.976 2404.068 2976.393
12.5 2362.462 2525.069 2579.573 2237.92 2786.716
13.75 2320.689 2474.495 2549.512 2187.648 2731.46
15 2322.236 2494.274 2549.056 2204.918 2729.667
16.25 2345.098 2510.169 2564.819 2246.84 2753.403
17.5 2371.255 2518.178 2599.197 2276.867 2786.465
18.75 2378.648 2544.142 2619.83 2281.043 2809.322
20 2367.74 2543.868 2629.233 2255.892 2805.555
21.25 2348.036 2514.588 2604.946 2225.139 2766.729
22.5 2325.759 2509.22 2588.141 2209.443 2717.225
23.75 2309.163 2522.238 2579.855 2223.4 2696.812
25 2327.264 2547.102 2579.289 2240.832 2712.011
26.25 2338.744 2564.525 2584.53 2255.028 2730.537
27.5 2347.627 2573.701 2606.347 2258.45 2749.764
28.75 2362.405 2586.66 2617.621 2270.611 2767.67
30 2393.983 2596.625 2631.898 2282.353 2776.168
31.25 2412.193 2599.833 2641.649 2293.523 2787.688
32.5 2422.293 2619.474 2643.114 2303.457 2782.65
33.75 2422.408 2635.333 2638.778 2317.797 2788.674
35 2400.506 2612.871 2621.19 2292.958 2754.88
36.25 2294.697 2502.45 2512.708 2199.846 2620.097
37.5 2120.419 2304.142 2323.189 2023.593 2427.886
38.75 1948.121 2128.854 2132.294 1859.169 2225.291
40 1861.659 2026.007 2025.179 1764.966 2116.824
41.25 1816.694 1970.892 1988.166 1723.001 2069.846
42.5 1799.586 1949.931 1980.366 1702.641 2044.056
43.75 1795.49 1955.376 1969.062 1701.217 2029.414
45 1796.667 1963.129 1964.445 1712.722 2039.737
46.25 1837.902 1987.608 1994.775 1751.23 2083.772
47.5 1896.227 2050.974 2069.377 1808.927 2155.885
48.75 1962.193 2132.932 2154.041 1878.877 2252.15
50 2051.292 2220.503 2222.699 1948.874 2339.064
51.25 2132.044 2310.442 2294.727 2011.332 2417.068
52.5 2160.481 2350.875 2352.159 2036.594 2450.182
53.75 2148.711 2344.931 2401.897 2025.491 2442.004
55 2121.342 2296.928 2390.905 1987.04 2395.551
56.25 2024.231 2170.341 2277.63 1889.61 2283.72
57.5 1894.318 2010.438 2150.241 1744.788 2144.297
58.75 1778.239 1869.024 2054.177 1605.685 2010.353
60 1677.714 1771.993 1981.934 1526.788 1904.618
61.25 1601.032 1707.944 1889.205 1478.909 1818.631
62.5 1543.684 1658.676 1809.523 1436.042 1757.896
63.75 1496.42 1615.277 1754.385 1401.285 1708.945
65 1459.866 1581.932 1686.773 1361.951 1656.207
66.25 1427.925 1548.242 1612.325 1329.611 1606.529
67.5 1409.692 1539.144 1559.148 1324.442 1583.886
68.75 1397.541 1528.642 1525.743 1322.763 1567.513
70 1371.977 1515.887 1502.985 1307.542 1545.739
71.25 1360.665 1503.575 1483.619 1295.628 1529.965
72.5 1356.236 1488.853 1472.605 1295.649 1519.571
73.75 1372.887 1507.89 1491.078 1321.518 1532.288
75 1450.774 1607.852 1582.22 1400.777 1630.611
76.25 1620.573 1789.055 1746.461 1541.847 1793.603
77.5 1715.917 1903.346 1828.778 1613.513 1857.914
78.75 1669.129 1861.856 1787.045 1572.586 1807.368
80 1570.015 1761.866 1700.39 1506.241 1741.359
81.25 1570.816 1782.68 1746.405 1553.64 1822.888
82.5 1882.963 2198.653 2150.642 1892.048 2195.574
83.75 2511.701 2973.571 2868.98 2564.349 3023.886
85 3229.849 3973.011 3587.997 3267.001 3796.91
86.25 3677.68 4614.016 3958.878 3624.358 4160.476
87.5 3618.221 4636.815 3787.043 3473.577 3954.914
88.75 3213.38 4089.061 3269.352 3088.765 3410.178
90 2836.433 3589.847 2931.378 2704.37 3012.969
91.25 2764.939 3584.876 2865.352 2616.471 2941.175
92.5 2847.725 3833.179 2931.3 2716.374 3015.687
93.75 3022.48 4078.161 3128.333 2878.908 3207.766
95 3244.587 4240.657 3405.147 3101.692 3518.646
96.25 3512.381 4321.932 3718.279 3365.741 3884.093
97.5 3795.183 4395.371 4058.391 3618.33 4276.561
98.75 4027.863 4470.112 4381.553 3850.742 4543.719
100 4057.077 4526.137 4469.467 3929.754 4558.257
101.25 3840.938 4358.404 4288.393 3765.065 4301.915
102.5 3448.659 3961.58 3885.327 3431.068 3878.69
103.75 2953.898 3363.724 3330.396 2977.841 3369.39
105 2479.195 2794.021 2840.075 2543.312 2931.122
106.25 2200.381 2448.459 2540.798 2261.456 2639.434
107.5 2042.426 2238.077 2353.447 2082.905 2445.156
