CO787_DARK 1 2 3 4 5
angle -5.947 -0.743 -5.655 -0.857 0.507
whole 322.066 320.804 319.764 318.364 318.361
RPEtoOLM 66.982 66.054 66.491 65.823 66.348
RNFL 34.414 36.476 33.324 33.509 33.105
-3.75 733.796 508.118 587.929 503.036 460.101
-2.5 972.295 750.709 842.28 815.397 752.818
-1.25 1506.108 1361.903 1397.536 1341.048 1267.966
0 2089.932 2128.605 2039.403 1959.342 1913.304
1.25 2680.992 2928.214 2686.018 2641.657 2610.625
2.5 3096.522 3269.268 3144.757 3120.262 3088.214
3.75 3336.851 3569.843 3371.523 3367.706 3285.717
5 3459.576 3747.015 3510.008 3499.008 3442.251
6.25 3497.08 3832.425 3553.426 3561.506 3496.176
7.5 3457.075 3803.382 3487.63 3489.543 3427.155
8.75 3320.156 3632.56 3321.518 3240.196 3203.117
10 3049.637 3110.462 2983.53 2780.826 2716.007
11.25 2847.104 2721.042 2708.27 2447.81 2386.803
12.5 2752.211 2536.496 2592.516 2307.105 2239.022
13.75 2721.238 2499.149 2563.138 2271.78 2194.705
15 2733.034 2513.038 2573.439 2282.233 2206.105
16.25 2760.248 2550.146 2599.693 2301.109 2236.159
17.5 2778.427 2570.093 2627.83 2323.062 2247.5
18.75 2785.06 2558.84 2645.722 2332.918 2257.189
20 2772.053 2545.814 2635.467 2316.648 2239.625
21.25 2749.314 2540.399 2614.187 2289.38 2212.08
22.5 2738.191 2546.694 2604.239 2275.905 2184.666
23.75 2744.639 2564.25 2612.889 2279.327 2184.739
25 2750.513 2579.753 2630.135 2288.592 2190.715
26.25 2756.914 2601.127 2638 2303.481 2196.874
27.5 2772.673 2616.637 2627.83 2322.346 2197.958
28.75 2786.745 2616.693 2641.93 2335.529 2205.873
30 2799.641 2626.689 2674.405 2335.422 2211.698
31.25 2800.181 2644.504 2686.06 2333.164 2211.629
32.5 2786.607 2657.921 2694.472 2334.535 2207.367
33.75 2779.678 2661.026 2708.185 2333.113 2209.214
35 2739.583 2631.371 2671.385 2325.659 2192.656
36.25 2619.535 2526.014 2546.908 2233.664 2089.123
37.5 2452.992 2355.912 2359.909 2063.746 1925.143
38.75 2287.264 2174.084 2164.332 1898.887 1776.766
40 2181.796 2061.37 2065.204 1802.653 1690.646
41.25 2129.191 2016.69 2025.505 1755.423 1657.739
42.5 2109.137 1999.479 2000.69 1750.172 1649.126
43.75 2110.721 2002.391 2000.761 1747.681 1643.681
45 2126.095 2023.247 2031.972 1755.469 1648.734
46.25 2167.027 2064.455 2084.324 1790.611 1678.548
47.5 2239.274 2134.179 2162.199 1843.563 1718.989
48.75 2336.384 2218.277 2243.827 1923.136 1788.903
50 2427.686 2318.044 2336.416 2022.354 1870.824
51.25 2507.842 2423.631 2436.152 2110.963 1945.706
52.5 2577.477 2482.826 2478.515 2142.471 1969.837
53.75 2640.23 2475.688 2508.067 2111.386 1952.286
55 2691.348 2415.291 2565.453 2062.528 1916.66
56.25 2707.67 2290.682 2577.09 1965.877 1816.149
57.5 2673.364 2130.482 2529.363 1816.022 1656.872
58.75 2643.364 1987.726 2469.624 1692.371 1517.675
60 2629.859 1884.539 2415.607 1602.913 1443.235
61.25 2614.207 1810.366 2373.559 1539.015 1394.065
62.5 2608.029 1739.772 2287.45 1479.792 1339.829
63.75 2542.011 1687.337 2164.565 1439.285 1293.87
65 2417.099 1654.145 2020.813 1407.629 1257.252
66.25 2243.026 1626.061 1866.799 1376.66 1239.45
67.5 2027.466 1605.683 1716.618 1365.135 1231.148
68.75 1826.049 1580.32 1614.88 1362.52 1228.787
70 1677.752 1558.379 1559.003 1348.688 1219.49
71.25 1621.306 1550.367 1530.026 1343.499 1208.344
72.5 1620.009 1540.59 1527.29 1339.416 1199.092
73.75 1656.118 1552.182 1552.065 1356.71 1209.795
75 1744.268 1668.503 1647.296 1449.897 1271.02
76.25 1882.762 1879.238 1798.056 1604.44 1397.688
77.5 1949.746 1972.744 1866.825 1682.851 1476.375
78.75 1908.053 1924.476 1816.154 1632.861 1443.533
80 1845.103 1816.082 1726.498 1536.806 1366.551
81.25 1912.711 1774.956 1731.236 1547.966 1351.928
82.5 2226.031 2043.247 2030.913 1931.568 1598.881
83.75 2698.101 2893.788 2610.141 2661.619 2097.054
85 3144.353 3940.946 3253.301 3264.231 2646.813
86.25 3328.129 4673.413 3548.115 3578.852 2895.647
87.5 3176.235 4655.935 3387.658 3512.155 2772.093
88.75 2834.246 4145.895 2980.293 3154.218 2405.703
90 2599.02 3724.428 2671.223 2779.083 2114.384
91.25 2584.574 3736.23 2592.901 2677.853 2031.366
92.5 2739.028 4010.771 2648.636 2738.278 2106.981
93.75 3068.494 4226.955 2876.622 2867.05 2329.224
95 3532.101 4305.606 3250.446 3129.074 2617.134
96.25 4039.444 4395.27 3725.488 3447.195 2946.615
97.5 4480.4 4482.121 4201.035 3790.916 3294.691
98.75 4739.694 4626.355 4525.273 4018.675 3550.234
100 4749.349 4685.477 4569.439 4073.453 3598.854
101.25 4514.17 4477.604 4304.716 3843.321 3413.372
102.5 4122.529 4052.014 3867.725 3407.688 3073.993
103.75 3667.538 3466.675 3376.491 2934.627 2667.873
105 3258.499 2903.207 2960.024 2565.706 2326.533
106.25 2997.529 2549.792 2696.521 2311.646 2109.221
107.5 2789.773 2334.155 2496.195 2119.96 1955.457
