AD727_LIGHT 1 2 3 4 5
angle -3.225 -4.416 -4.159 -4.368 -3.149
whole 327.93 330.285 328.428 328.27 328.543
RPEtoOLM 66.026 66.333 66.279 66.096 66.944
RNFL 33.883 35.007 36.058 35.094 34.095
-3.75 479.955 504.885 545.157 633.698 478.753
-2.5 580.148 534.586 715.836 733.919 747.539
-1.25 1121.339 1123.592 1254.529 1371.93 1373.206
0 1772.388 1846.103 1901.735 2081.226 2101.604
1.25 2333.292 2503.513 2570.807 2774.055 2830.295
2.5 2712.761 2928.539 2982.921 3228.988 3314.923
3.75 2915.095 3108.399 3166.923 3441.72 3520.96
5 2994.876 3180.442 3240.862 3524.678 3576.657
6.25 2988.498 3192.071 3252.72 3518.808 3568.458
7.5 2903.124 3111.097 3173.65 3439.747 3465.939
8.75 2724.578 2910.922 2982.81 3232.827 3260.182
10 2402.219 2592.552 2646.495 2866.251 2891.394
11.25 2128.57 2339.567 2383.855 2584.433 2552.709
12.5 2005.108 2217.17 2246.665 2444.315 2397.731
13.75 1973.156 2188.786 2213.631 2398.506 2346.614
15 1965.866 2192.108 2217.931 2405.482 2343.442
16.25 1985.358 2222.907 2236.173 2446.098 2373.628
17.5 2016.547 2250.684 2264.64 2479.157 2412.205
18.75 2037.058 2249.984 2277.031 2484.199 2436.032
20 2019.591 2216.334 2256.477 2448.096 2426.185
21.25 1994.509 2174.222 2216.577 2394.761 2378.184
22.5 1994.038 2162.806 2197.403 2369.808 2351.263
23.75 2006.455 2187.188 2201.85 2384.651 2344.472
25 2021.143 2219.654 2224.666 2405.853 2357.044
26.25 2043.89 2251.426 2263.757 2431.085 2382.02
27.5 2069.38 2270.915 2285.188 2446.269 2404.338
28.75 2083.204 2280.672 2300.576 2462.758 2410.58
30 2101.185 2293.516 2322.952 2496.166 2431.082
31.25 2111.542 2314.789 2338.672 2515.137 2466.446
32.5 2122.248 2324.04 2334.318 2506.201 2485.623
33.75 2125.147 2315.879 2319.18 2493.074 2479.42
35 2088.928 2262.279 2273.932 2444.016 2436.712
36.25 1997.875 2161.307 2176.927 2330.385 2327.13
37.5 1855.381 2020.434 2031.718 2179.043 2174.93
38.75 1730.055 1879.222 1874.417 2015.21 2018.327
40 1656.562 1798.928 1787.503 1916.249 1921.977
41.25 1617.747 1751.008 1750.791 1884.273 1879.723
42.5 1608.401 1727.707 1742.625 1873.121 1871.539
43.75 1614.277 1746.405 1749.551 1882.908 1869.455
45 1630.91 1794.489 1785.935 1930.141 1887.058
46.25 1679.684 1854.915 1851.788 1986.841 1928.944
47.5 1739.069 1911.904 1917.175 2030.406 1997.556
48.75 1779.436 1963.474 1971.286 2076.758 2052.459
50 1839.642 2031.96 2044.21 2163.525 2120.685
51.25 1916.861 2100.102 2104.649 2222.632 2197.83
52.5 1956.95 2136.855 2140.059 2252.251 2237.85
53.75 1958.197 2168.875 2142.569 2291.427 2258.747
55 1918.669 2151.256 2102.628 2267.034 2231.329
56.25 1828.538 2050.911 2031.893 2175.846 2137.158
57.5 1708.376 1934.448 1931.109 2057.716 1979.809
58.75 1610.013 1852.092 1826.19 1947.689 1852.416
60 1529.024 1764.135 1726.423 1859.824 1772.319
61.25 1465.545 1672.467 1633.636 1770.324 1704.718
62.5 1414.927 1585.825 1551.965 1679.087 1625.037
63.75 1365.047 1514.126 1497.254 1602.922 1561.625
65 1335.985 1470.193 1444.17 1557.613 1516.02
66.25 1314.429 1429.012 1408.667 1523.258 1492.867
67.5 1286.862 1399.523 1388.655 1483.423 1484.207
68.75 1277.522 1380.412 1367.421 1439.282 1471.93
70 1278.19 1375.131 1354.365 1420.374 1464.067
71.25 1275.578 1368.012 1346.543 1416.153 1446.866
72.5 1249.242 1360.906 1345.696 1433.064 1435.482
73.75 1260.51 1393.031 1386.228 1477.547 1444.12
75 1356.255 1478.229 1477.292 1562.549 1513.73
76.25 1480.995 1560.416 1570.257 1653.517 1646.055
77.5 1528.225 1581.189 1586.038 1668.273 1711.695
78.75 1477.616 1574.338 1549.53 1647.4 1661.904
80 1414.655 1649.694 1557.911 1715.713 1582.678
81.25 1597.299 1967.068 1818.351 1972.855 1691.421
82.5 2221.683 2547.053 2389.966 2540.251 2208.854
83.75 2994.091 3163.49 3052.418 3145.029 2956.31
85 3560.204 3485.439 3437.493 3503.79 3565.129
86.25 3672.867 3453.755 3471.853 3496.315 3705.206
87.5 3329.445 3101.113 3183.328 3203.341 3375.841
88.75 2820.208 2707.268 2831.232 2856.03 2887.613
90 2521.84 2530.205 2652.502 2652.143 2658.714
91.25 2610.483 2548.758 2642.474 2642.32 2736.373
92.5 2833.243 2626.552 2691.132 2726.331 2859.149
93.75 2924.627 2748.898 2787.766 2879.272 2950.075
95 2985.901 3018.538 2998.304 3172.679 3140.629
96.25 3195.979 3400.383 3342.539 3578.335 3527.949
97.5 3484.358 3731.209 3684.306 3907.614 3941.379
98.75 3671.079 3926.507 3903.599 4105.601 4134.568
100 3780.385 3977.497 3990.193 4138.289 4224.715
101.25 3775.111 3907.22 3919.331 4023.826 4167.212
102.5 3611.637 3653.504 3670.024 3748.979 3904.511
103.75 3257.054 3242.153 3312.307 3352.962 3410.082
105 2850.623 2878.944 2973.785 3015.905 2976.506
106.25 2592.876 2647.28 2724.125 2782.877 2729.416
107.5 2415.632 2480.42 2533.161 2606.459 2528.407
