YA246_DARK-dim 1 2 3 4 5
angle -1.33 1.023 -0.723 0.67 -2.098
whole 330.848 330.236 330.91 332.672 330.701
RPEtoOLM 68.409 67.206 67.847 68.961 67.387
RNFL 36.947 37.486 36.248 36.924 38.774
-3.75 1025.981 979.723 1010.655 985.184 1190.41
-2.5 1236.569 1251.263 1265.588 1229.284 1325.307
-1.25 1721.362 1728.451 1836.921 1786.387 1850.989
0 2389.348 2284.879 2584.493 2520.142 2594.8
1.25 3076.947 2908.948 3310.68 3249.812 3415.668
2.5 3433.476 3328.856 3779.87 3672.489 3780.767
3.75 3521.014 3540.953 3966.952 3866.773 3952.531
5 3634.01 3638.061 4063.487 3920.767 4043.027
6.25 3634.243 3659.682 4032.871 3910.925 4074.397
7.5 3555.195 3563.718 3926.372 3790.499 3986.453
8.75 3324.205 3307.837 3634.753 3551.143 3728.18
10 2837.531 2859.315 3121.515 3016.603 3221.743
11.25 2458.312 2500.025 2756.72 2639.732 2863.157
12.5 2280.094 2300.786 2547.857 2433.106 2659.341
13.75 2229.699 2253.053 2457.415 2391.67 2603.349
15 2218.264 2245.692 2447.233 2381.971 2590.058
16.25 2234.947 2253.905 2463.91 2398.792 2602.684
17.5 2241.78 2274.041 2483.089 2407.309 2643.878
18.75 2249.479 2274.684 2500.068 2410.383 2675.401
20 2257.725 2301.133 2525.779 2419.389 2668.94
21.25 2259.568 2303.399 2531.653 2418.651 2658.984
22.5 2236.358 2272.154 2504.741 2390.495 2640.791
23.75 2193.77 2246.468 2477.003 2350.575 2610.424
25 2192.458 2256.195 2476.242 2342.474 2597.32
26.25 2233.374 2291.921 2510.611 2389.3 2649.976
27.5 2243.688 2311.247 2522.122 2419.384 2682.706
28.75 2246.982 2294.226 2513.914 2426.188 2687.091
30 2252.886 2297.126 2532.499 2450.47 2707.903
31.25 2260.407 2329.74 2561.457 2472.495 2728.679
32.5 2249.589 2347.146 2557.287 2454.895 2738.212
33.75 2234.858 2341.801 2553.516 2440.593 2735.647
35 2214.151 2321.005 2535.397 2424.208 2717.94
36.25 2120.628 2215.515 2429.191 2328.955 2594.037
37.5 1960.482 2041.099 2234.26 2134.702 2369.563
38.75 1785.086 1874.996 2048.609 1951.727 2160.221
40 1697.168 1779.827 1941.093 1853.548 2053.929
41.25 1685.273 1734.174 1904.103 1812.035 2010.762
42.5 1689.009 1735.023 1911.957 1814.645 2000.02
43.75 1679.603 1752.419 1914.962 1835.382 2017.687
45 1690.208 1762.482 1920.877 1851.197 2051.754
46.25 1754.438 1792.95 1956.371 1892.241 2139.981
47.5 1843.08 1873.273 2040.529 1975.346 2254.363
48.75 1909.747 1958.152 2135.454 2069.396 2344.028
50 1950.892 2011.328 2181.561 2118.487 2376.193
51.25 1967.954 2039.649 2221.531 2158.57 2388.419
52.5 1967.27 2046.413 2244.868 2176.732 2409.152
53.75 1961.51 2044.699 2244.289 2152.808 2418.021
55 1916.866 1991.164 2189.211 2088.881 2359.506
56.25 1801.082 1854.046 2049.069 1957.633 2239.002
57.5 1659.403 1708.853 1882.622 1780.495 2114.689
58.75 1547.562 1581.783 1752.394 1629.455 2004.65
60 1464.651 1494.734 1664.535 1542.876 1907.853
61.25 1406.962 1444.366 1597.219 1493.577 1841.206
62.5 1367.835 1406.997 1554.103 1457.575 1791.122
63.75 1355.903 1380.104 1528.642 1428.651 1741.916
65 1337.838 1358.875 1511.316 1412.222 1692.328
66.25 1314.676 1343.302 1500.382 1414.127 1660.693
67.5 1301.835 1343.931 1492.203 1424.705 1621.256
68.75 1296.15 1345.069 1485.973 1439.353 1605.398
70 1279.914 1345.95 1490.812 1427.39 1587.735
71.25 1269.787 1339.259 1487.55 1404.19 1560.875
72.5 1261.509 1303.68 1475.973 1387.208 1549.019
73.75 1254.837 1311.378 1463.921 1384.481 1544.453
75 1287.964 1356.068 1491.254 1413.62 1601.809
76.25 1377.525 1478.436 1599.615 1522.278 1745.784
77.5 1420.44 1542.794 1660.958 1576.184 1821.872
78.75 1381.319 1499.978 1612.837 1528.085 1762.343
80 1340.931 1450.629 1575.242 1482.428 1675.941
81.25 1382.12 1567.181 1633.967 1561.925 1772.162
82.5 1726.744 2125.078 1955.525 1919.153 2334.915
83.75 2347.348 2979.639 2508.086 2560.391 3304.408
85 2844.3 3702.319 3036.08 3171.539 4211.889
86.25 2965.941 3917.356 3232.526 3369.285 4598.446
87.5 2644.253 3579.452 2927.025 3044.022 4283.924
88.75 2171.055 2948.346 2392.225 2453.642 3534.816
90 1939.376 2559.198 2073.833 2143.929 3059.042
91.25 2004.841 2770.173 2111.456 2237.716 3231.87
92.5 2213.003 3244.71 2322.748 2467.502 3667.583
93.75 2447.815 3492.671 2742.053 2781.016 3959.363
95 2780.587 3467.092 3202.686 3128.255 3944.335
96.25 3143.082 3472.479 3577.547 3451.639 3879.684
97.5 3495.368 3662.036 3983.25 3826.654 4084.536
98.75 3727.054 3935.073 4352.033 4194.632 4482.859
100 3708.892 3992.538 4438.228 4259.143 4712.539
101.25 3505.363 3816.906 4187.24 4028.11 4606.981
102.5 3214.597 3575.602 3821.124 3711.344 4251.466
103.75 2879.488 3281.307 3437.379 3364.821 3835.901
105 2600.027 2971.266 3056.631 3074.303 3429.188
106.25 2458.145 2800.143 2835.863 2893.793 3155.92
107.5 2343.431 2698.715 2684.156 2745.269 3001.241
